,2022,2021,2020,2019
intangibleAssets,4773000000.0,981000000.0,831000000.0,1107000000.0
capitalSurplus,5325000000.0,5320000000.0,5311000000.0,5277000000.0
totalLiab,5227000000.0,5316000000.0,4754000000.0,4704000000.0
totalStockholderEquity,5289000000.0,5389000000.0,4873000000.0,4748000000.0
otherCurrentLiab,461000000.0,584000000.0,496000000.0,666000000.0
totalAssets,10516000000.0,10705000000.0,9627000000.0,9452000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,282000000.0,156000000.0,127000000.0,130000000.0
retainedEarnings,324000000.0,348000000.0,81000000.0,-18000000.0
otherLiab,633000000.0,749000000.0,876000000.0,833000000.0
treasuryStock,-363000000.0,-282000000.0,-522000000.0,-514000000.0
otherAssets,670000000.0,642000000.0,601000000.0,611000000.0
cash,1053000000.0,1484000000.0,1441000000.0,1382000000.0
totalCurrentLiabilities,1861000000.0,1708000000.0,1467000000.0,2080000000.0
otherStockholderEquity,-363000000.0,-282000000.0,-522000000.0,-514000000.0
propertyPlantEquipment,1100000000.0,1123000000.0,1020000000.0,850000000.0
totalCurrentAssets,3778000000.0,3799000000.0,3415000000.0,3189000000.0
longTermInvestments,195000000.0,185000000.0,158000000.0,102000000.0
netTangibleAssets,516000000.0,433000000.0,440000000.0,48000000.0
netReceivables,1405000000.0,1238000000.0,1127000000.0,998000000.0
longTermDebt,2733000000.0,2729000000.0,2284000000.0,1791000000.0
inventory,1038000000.0,830000000.0,720000000.0,679000000.0
accountsPayable,580000000.0,446000000.0,354000000.0,354000000.0
goodWill,,3975000000.0,3602000000.0,3593000000.0
deferredLongTermAssetCharges,,309000000.0,380000000.0,410000000.0
shortTermInvestments,,91000000.0,,
researchDevelopment,467000000,441000000,397000000,404000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1504000000,1360000000,842000000,919000000
minorityInterest,,,,
netIncome,1254000000,1210000000,719000000,1071000000
sellingGeneralAdministrative,1637000000,1562000000,1395000000,1358000000
grossProfit,3722000000,3407000000,2837000000,2805000000
ebit,1618000000,1404000000,1045000000,1043000000
operatingIncome,1618000000,1404000000,1045000000,1043000000
otherOperatingExpenses,,,,
interestExpense,-84000000,-81000000,-78000000,-74000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,250000000,150000000,123000000,-152000000
totalRevenue,6848000000,6319000000,5339000000,5163000000
totalOperatingExpenses,5230000000,4915000000,4294000000,4120000000
costOfRevenue,3126000000,2912000000,2502000000,2358000000
totalOtherIncomeExpenseNet,-114000000,-44000000,-203000000,-124000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1254000000,1210000000,719000000,1071000000
netIncomeApplicableToCommonShares,1254000000,1210000000,719000000,1071000000
investments,9000000.0,-10000000.0,-20000000.0,-23000000.0
changeToLiabilities,121000000.0,64000000.0,2000000.0,29000000.0
totalCashflowsFromInvestingActivities,-338000000.0,-749000000.0,-147000000.0,-1590000000.0
netBorrowings,26000000.0,356000000.0,-45000000.0,600000000.0
totalCashFromFinancingActivities,-1372000000.0,-696000000.0,-717000000.0,-299000000.0
changeToOperatingActivities,-30000000.0,98000000.0,-153000000.0,-23000000.0
issuanceOfStock,58000000.0,55000000.0,60000000.0,54000000.0
changeInCash,-434000000.0,43000000.0,59000000.0,-866000000.0
repurchaseOfStock,-1206000000.0,-864000000.0,-506000000.0,-739000000.0
effectOfExchangeRate,-36000000.0,3000000.0,2000000.0,2000000.0
totalCashFromOperatingActivities,1312000000.0,1485000000.0,921000000.0,1021000000.0
depreciation,317000000.0,321000000.0,308000000.0,238000000.0
otherCashflowsFromInvestingActivities,-4000000.0,-5000000.0,-9000000.0,-3000000.0
dividendsPaid,-250000000.0,-236000000.0,-222000000.0,-206000000.0
changeToInventory,-248000000.0,-136000000.0,-68000000.0,-36000000.0
changeToAccountReceivables,-321000000.0,-128000000.0,-107000000.0,-106000000.0
changeToNetincome,219000000.0,56000000.0,220000000.0,-152000000.0
capitalExpenditures,-291000000.0,-188000000.0,-119000000.0,-155000000.0
otherCashflowsFromFinancingActivities,,-7000000.0,-4000000.0,-8000000.0
annualDilutedAverageShares,,307000000.0,312000000.0,318000000.0
