,2021,2020,2019,2018
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-2548000000,-11453000000,2256000000,1884000000
minorityInterest,,,,
netIncome,-1993000000,-8885000000,1686000000,1412000000
sellingGeneralAdministrative,1098000000,666000000,2004000000,1520000000
grossProfit,1934000000,-5166000000,13303000000,12204000000
ebit,-5177000000,-11058000000,3889000000,3757000000
operatingIncome,-5177000000,-11058000000,3889000000,3757000000
otherOperatingExpenses,3994000000,3186000000,5428000000,5088000000
interestExpense,-1800000000,-1227000000,-1095000000,-1056000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-555000000,-2568000000,570000000,472000000
totalRevenue,29882000000,17337000000,45768000000,44541000000
totalOperatingExpenses,35059000000,28395000000,41879000000,40784000000
costOfRevenue,27948000000,22503000000,32465000000,32337000000
totalOtherIncomeExpenseNet,2629000000,-395000000,-1633000000,-1873000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1993000000,-8885000000,1686000000,1412000000
netIncomeApplicableToCommonShares,-1993000000,-8885000000,1686000000,1412000000
annualDilutedAverageShares,644015000,483888000,444269000,465660000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-2548000000,-11453000000,2256000000,1884000000
minorityInterest,,,,
netIncome,-1993000000,-8885000000,1686000000,1412000000
sellingGeneralAdministrative,1098000000,666000000,2004000000,1520000000
grossProfit,1934000000,-5166000000,13303000000,12204000000
ebit,-5177000000,-11058000000,3889000000,3757000000
operatingIncome,-5177000000,-11058000000,3889000000,3757000000
otherOperatingExpenses,3994000000,3186000000,5428000000,5088000000
interestExpense,-1800000000,-1227000000,-1095000000,-1056000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-555000000,-2568000000,570000000,472000000
totalRevenue,29882000000,17337000000,45768000000,44541000000
totalOperatingExpenses,35059000000,28395000000,41879000000,40784000000
costOfRevenue,27948000000,22503000000,32465000000,32337000000
totalOtherIncomeExpenseNet,2629000000,-395000000,-1633000000,-1873000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1993000000,-8885000000,1686000000,1412000000
netIncomeApplicableToCommonShares,-1993000000,-8885000000,1686000000,1412000000
annualDilutedAverageShares,644015000,483888000,444269000,465660000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-2548000000,-11453000000,2256000000,1884000000
minorityInterest,,,,
netIncome,-1993000000,-8885000000,1686000000,1412000000
sellingGeneralAdministrative,1098000000,666000000,2004000000,1520000000
grossProfit,1934000000,-5166000000,13303000000,12204000000
ebit,-5177000000,-11058000000,3889000000,3757000000
operatingIncome,-5177000000,-11058000000,3889000000,3757000000
otherOperatingExpenses,3994000000,3186000000,5428000000,5088000000
interestExpense,-1800000000,-1227000000,-1095000000,-1056000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-555000000,-2568000000,570000000,472000000
totalRevenue,29882000000,17337000000,45768000000,44541000000
totalOperatingExpenses,35059000000,28395000000,41879000000,40784000000
costOfRevenue,27948000000,22503000000,32465000000,32337000000
totalOtherIncomeExpenseNet,2629000000,-395000000,-1633000000,-1873000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1993000000,-8885000000,1686000000,1412000000
netIncomeApplicableToCommonShares,-1993000000,-8885000000,1686000000,1412000000
annualDilutedAverageShares,644015000,483888000,444269000,465660000
