,2022,2021,2020,2019
totalLiab,302083000000,287912000000,258549000000,248028000000
totalStockholderEquity,50672000000,63090000000,65339000000,90488000000
otherCurrentLiab,67094000000,53577000000,47867000000,43242000000
totalAssets,352755000000,351002000000,323888000000,338516000000
commonStock,64849000000,57365000000,50779000000,45174000000
otherCurrentAssets,21223000000,14111000000,11264000000,12352000000
retainedEarnings,-3068000000,5562000000,14966000000,45898000000
otherLiab,38394000000,43050000000,46108000000,50503000000
treasuryStock,-11109000000,163000000,-406000000,-584000000
otherAssets,44011000000,38762000000,33952000000,32978000000
cash,23646000000,34940000000,38016000000,48844000000
totalCurrentLiabilities,153982000000,125481000000,105392000000,105718000000
shortLongTermDebt,11128000000,9613000000,8773000000,10260000000
otherStockholderEquity,-11109000000,163000000,-406000000,-584000000
propertyPlantEquipment,52534000000,49527000000,45336000000,37378000000
totalCurrentAssets,135405000000,134836000000,143713000000,162819000000
longTermInvestments,120805000000,127877000000,100887000000,105341000000
netTangibleAssets,50672000000,63090000000,65339000000,90488000000
shortTermInvestments,24658000000,27699000000,52927000000,51713000000
netReceivables,60932000000,51506000000,37445000000,45804000000
longTermDebt,98959000000,109106000000,98667000000,91807000000
inventory,4946000000,6580000000,4061000000,4106000000
accountsPayable,64115000000,54763000000,42296000000,46236000000
researchDevelopment,26251000000,21914000000,18752000000,16217000000
effectOfAccountingCharges,,,,
incomeBeforeTax,119103000000,109207000000,67091000000,65737000000
minorityInterest,,,,
netIncome,99803000000,94680000000,57411000000,55256000000
sellingGeneralAdministrative,25094000000,21973000000,19916000000,18245000000
grossProfit,170782000000,152836000000,104956000000,98392000000
ebit,119437000000,108949000000,66288000000,63930000000
operatingIncome,119437000000,108949000000,66288000000,63930000000
otherOperatingExpenses,,,,
interestExpense,-2931000000,-2645000000,-2873000000,-3576000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,19300000000,14527000000,9680000000,10481000000
totalRevenue,394328000000,365817000000,274515000000,260174000000
totalOperatingExpenses,274891000000,256868000000,208227000000,196244000000
costOfRevenue,223546000000,212981000000,169559000000,161782000000
totalOtherIncomeExpenseNet,-334000000,258000000,803000000,1807000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,99803000000,94680000000,57411000000,55256000000
netIncomeApplicableToCommonShares,99803000000,94680000000,57411000000,55256000000
annualDilutedAverageShares,,16864919000.0,17528214000.0,18595652000.0
investments,-9560000000.0,-3075000000.0,5453000000.0,58093000000.0
changeToLiabilities,9926000000.0,14002000000.0,-1981000000.0,-2548000000.0
totalCashflowsFromInvestingActivities,-22354000000.0,-14545000000.0,-4289000000.0,45896000000.0
netBorrowings,-123000000.0,12665000000.0,2499000000.0,-7819000000.0
totalCashFromFinancingActivities,-110749000000.0,-93353000000.0,-86820000000.0,-90976000000.0
changeToOperatingActivities,-8387000000.0,-6146000000.0,881000000.0,-896000000.0
netIncome,99803000000.0,94680000000.0,57411000000.0,55256000000.0
changeInCash,-10952000000.0,-3860000000.0,-10435000000.0,24311000000.0
repurchaseOfStock,-95625000000.0,-92527000000.0,-75992000000.0,-69714000000.0
totalCashFromOperatingActivities,122151000000.0,104038000000.0,80674000000.0,69391000000.0
depreciation,11104000000.0,11284000000.0,11056000000.0,12547000000.0
otherCashflowsFromInvestingActivities,-1780000000.0,-352000000.0,-909000000.0,-1078000000.0
dividendsPaid,-14841000000.0,-14467000000.0,-14081000000.0,-14119000000.0
changeToInventory,1484000000.0,-2642000000.0,-127000000.0,-289000000.0
changeToAccountReceivables,-1823000000.0,-10125000000.0,6917000000.0,245000000.0
otherCashflowsFromFinancingActivities,-160000000.0,976000000.0,754000000.0,-105000000.0
changeToNetincome,10044000000.0,2985000000.0,6517000000.0,5076000000.0
capitalExpenditures,-10708000000.0,-11085000000.0,-7309000000.0,-10495000000.0
issuanceOfStock,,,,781000000.0
