,2021,2020,2019,2018
intangibleAssets,75951000000.0,82876000000.0,18649000000.0,21233000000.0
capitalSurplus,18305000000.0,17384000000.0,15193000000.0,14756000000.0
totalLiab,131093000000.0,137468000000.0,97287000000.0,67798000000.0
totalStockholderEquity,15408000000.0,13076000000.0,-8172000000.0,-8446000000.0
minorityInterest,28000000.0,21000000.0,,
otherCurrentLiab,8932000000.0,8354000000.0,4631000000.0,5355000000.0
totalAssets,146529000000.0,150565000000.0,89115000000.0,59352000000.0
commonStock,18000000.0,18000000.0,18000000.0,18000000.0
otherCurrentAssets,226000000.0,51000000.0,22000000.0,132000000.0
retainedEarnings,3127000000.0,1055000000.0,4717000000.0,3368000000.0
otherLiab,30982000000.0,30401000000.0,18402000000.0,15557000000.0
goodWill,32379000000.0,33124000000.0,15604000000.0,15663000000.0
treasuryStock,-6042000000.0,-5381000000.0,-28100000000.0,-26588000000.0
otherAssets,4081000000.0,3825000000.0,1913000000.0,1208000000.0
cash,9746000000.0,8449000000.0,39924000000.0,7289000000.0
totalCurrentLiabilities,35194000000.0,28661000000.0,15585000000.0,17239000000.0
shortLongTermDebt,12479000000.0,8474000000.0,3748000000.0,1609000000.0
otherStockholderEquity,-2899000000.0,-3117000000.0,-3596000000.0,-2480000000.0
propertyPlantEquipment,5872000000.0,6143000000.0,3306000000.0,2883000000.0
totalCurrentAssets,27928000000.0,24173000000.0,49519000000.0,16945000000.0
longTermInvestments,318000000.0,424000000.0,124000000.0,1420000000.0
netTangibleAssets,-92922000000.0,-102924000000.0,-42425000000.0,-45342000000.0
shortTermInvestments,84000000.0,30000000.0,,772000000.0
netReceivables,9977000000.0,8822000000.0,5428000000.0,5384000000.0
longTermDebt,64179000000.0,77553000000.0,63029000000.0,35002000000.0
inventory,3128000000.0,3310000000.0,1813000000.0,1605000000.0
accountsPayable,2882000000.0,2276000000.0,1452000000.0,1546000000.0
researchDevelopment,6982000000.0,6181000000.0,5377000000.0,5259000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,12989000000.0,3398000000.0,8426000000.0,5197000000.0
netIncome,11542000000.0,4616000000.0,7882000000.0,5687000000.0
sellingGeneralAdministrative,11872000000.0,9867000000.0,6763000000.0,7353000000.0
grossProfit,38883000000.0,31747000000.0,25827000000.0,25035000000.0
ebit,19529000000.0,15699000000.0,14247000000.0,11923000000.0
operatingIncome,19529000000.0,15699000000.0,14247000000.0,11923000000.0
otherOperatingExpenses,500000000.0,500000000.0,-560000000.0,500000000.0
interestExpense,-2423000000.0,-2454000000.0,-1784000000.0,-1348000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1440000000.0,-1224000000.0,544000000.0,-490000000.0
totalRevenue,56197000000.0,45804000000.0,33266000000.0,32753000000.0
totalOperatingExpenses,36668000000.0,30105000000.0,19019000000.0,20830000000.0
costOfRevenue,17314000000.0,14057000000.0,7439000000.0,7718000000.0
totalOtherIncomeExpenseNet,-6540000000.0,-12301000000.0,-5821000000.0,-6726000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,11549000000.0,4622000000.0,7882000000.0,5687000000.0
netIncomeApplicableToCommonShares,11468000000.0,4556000000.0,7842000000.0,5657000000.0
investments,-21000000.0,1464000000.0,2116000000.0,368000000.0
changeToLiabilities,1628000000.0,1514000000.0,97000000.0,734000000.0
totalCashflowsFromInvestingActivities,-2344000000.0,-37557000000.0,596000000.0,-1006000000.0
netBorrowings,-8414000000.0,-2683000000.0,26247000000.0,3229000000.0
totalCashFromFinancingActivities,-19039000000.0,-11501000000.0,18708000000.0,-14396000000.0
changeToOperatingActivities,-197000000.0,134000000.0,-225000000.0,-200000000.0
issuanceOfStock,244000000.0,209000000.0,8000000.0,73000000.0
changeInCash,1297000000.0,-31475000000.0,32635000000.0,-2014000000.0
repurchaseOfStock,-934000000.0,-978000000.0,-629000000.0,-12014000000.0
effectOfExchangeRate,-97000000.0,-5000000.0,7000000.0,-39000000.0
totalCashFromOperatingActivities,22777000000.0,17588000000.0,13324000000.0,13427000000.0
depreciation,8521000000.0,6471000000.0,2017000000.0,1765000000.0
otherCashflowsFromInvestingActivities,366000000.0,1387000000.0,167000000.0,167000000.0
dividendsPaid,-9261000000.0,-7716000000.0,-6366000000.0,-5580000000.0
changeToInventory,-142000000.0,-40000000.0,-231000000.0,-226000000.0
changeToAccountReceivables,-1321000000.0,-929000000.0,-74000000.0,-591000000.0
otherCashflowsFromFinancingActivities,-674000000.0,-333000000.0,-552000000.0,-104000000.0
changeToNetincome,4036000000.0,6395000000.0,4876000000.0,5584000000.0
capitalExpenditures,-787000000.0,-798000000.0,-552000000.0,-638000000.0
annualDilutedAverageShares,1777000000.0,1765132819.0,1484000000.0,1546000000.0
