,2022,2021,2020,2019
intangibleAssets,4332737000.0,5256927000.0,1886107000.0,2294836000.0
capitalSurplus,5658733000.0,5465104000.0,5081776000.0,4850142000.0
totalLiab,56489343000.0,56753394000.0,45114466000.0,36178774000.0
totalStockholderEquity,-211559000.0,223354000.0,-1018924000.0,2878917000.0
minorityInterest,282832000.0,361057000.0,179288000.0,114289000.0
otherCurrentLiab,528700000.0,192069000.0,,66700000.0
totalAssets,56560616000.0,57337805000.0,44274830000.0,39171980000.0
commonStock,2927000.0,2907000.0,2878000.0,2853000.0
otherCurrentAssets,1677041000.0,2107451000.0,1344649000.0,1147483000.0
retainedEarnings,2977646000.0,1670513000.0,518335000.0,4235491000.0
otherLiab,7514740000.0,8064887000.0,7257621000.0,2243082000.0
goodWill,8503886000.0,9030531000.0,6706719000.0,6705507000.0
treasuryStock,-8850865000.0,-6915170000.0,-6621913000.0,-6209569000.0
otherAssets,1054258000.0,1017602000.0,697972000.0,269067000.0
cash,3388189000.0,2547142000.0,4597746000.0,3374194000.0
totalCurrentLiabilities,43477955000.0,41358641000.0,33853077000.0,29581294000.0
deferredLongTermAssetCharges,237571000.0,290791000.0,361640000.0,
shortLongTermDebt,1070473000.0,300213000.0,501259000.0,139012000.0
otherStockholderEquity,-1830970000.0,-445442000.0,-108830000.0,-111965000.0
propertyPlantEquipment,3079977000.0,3230136000.0,1928330000.0,1770516000.0
totalCurrentAssets,39589758000.0,38802609000.0,33055702000.0,28132054000.0
netTangibleAssets,-13048182000.0,-14064104000.0,-9611750000.0,-6121426000.0
netReceivables,18625243000.0,18389050000.0,14334729000.0,12392738000.0
longTermDebt,4632360000.0,6383711000.0,3618261000.0,4354398000.0
inventory,15556394000.0,15368352000.0,12589278000.0,11060254000.0
accountsPayable,40192890000.0,38009954000.0,31705055000.0,28385074000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2183057000.0,2221859000.0,-5293831000.0,967106000.0
netIncome,1698820000.0,1539932000.0,-3408716000.0,855365000.0
sellingGeneralAdministrative,4848962000.0,3594251000.0,2767217000.0,2663508000.0
grossProfit,8334565000.0,6774434000.0,5195364000.0,5138312000.0
ebit,2791708000.0,2675011000.0,2037085000.0,2012397000.0
operatingIncome,2791708000.0,2675011000.0,2037085000.0,2012397000.0
otherOperatingExpenses,,,,
interestExpense,-231982000.0,-182544000.0,-158522000.0,-157769000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,516517000.0,677251000.0,-1894273000.0,112971000.0
totalRevenue,238587006000.0,213988843000.0,189893926000.0,179589121000.0
totalOperatingExpenses,235795298000.0,211313832000.0,187856841000.0,177576724000.0
costOfRevenue,230252441000.0,207214409000.0,184698562000.0,174450809000.0
totalOtherIncomeExpenseNet,-608651000.0,-453152000.0,-7330916000.0,-1045291000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1666540000.0,1544608000.0,-3399558000.0,854135000.0
netIncomeApplicableToCommonShares,1698820000.0,1539932000.0,-3408716000.0,855365000.0
investments,-18491000.0,-162620000.0,-56080000.0,-56080000.0
changeToLiabilities,3320725000.0,2049167000.0,3300832000.0,1561048000.0
totalCashflowsFromInvestingActivities,-368437000.0,-6141577000.0,-379871000.0,-375832000.0
netBorrowings,-923103000.0,2216552000.0,-32006000.0,-133073000.0
totalCashFromFinancingActivities,-1752780000.0,1952849000.0,-603617000.0,-1086513000.0
changeToOperatingActivities,-854720000.0,276145000.0,6751014000.0,234217000.0
issuanceOfStock,93912000.0,198750000.0,159533000.0,76234000.0
changeInCash,523411000.0,-1527618000.0,1223552000.0,881678000.0
repurchaseOfStock,-521780000.0,-105697000.0,-430236000.0,-680018000.0
effectOfExchangeRate,-57850000.0,-3725000.0,-3725000.0,-3725000.0
totalCashFromOperatingActivities,2703088000.0,2666586000.0,2207040000.0,2344023000.0
depreciation,697943000.0,505061000.0,401619000.0,490412000.0
otherCashflowsFromInvestingActivities,1298000.0,7861000.0,9522000.0,-2954000.0
dividendsPaid,-391687000.0,-366648000.0,-343578000.0,-338974000.0
changeToInventory,-665370000.0,-1116344000.0,-1621143000.0,-167990000.0
changeToAccountReceivables,-1659525000.0,-930078000.0,-1628991000.0,-1241890000.0
otherCashflowsFromFinancingActivities,-10122000.0,9892000.0,42670000.0,-10682000.0
changeToNetincome,434095000.0,244546000.0,-1061285000.0,621948000.0
capitalExpenditures,-496318000.0,-438217000.0,-369677000.0,-310222000.0
annualDilutedAverageShares,,208465000.0,204783000.0,211840000.0
