,2022,2021,2020,2019
intangibleAssets,39518000.0,31573000.0,7664000.0,4336000.0
capitalSurplus,870074000.0,800690000.0,739133000.0,690507000.0
totalLiab,170067000.0,164684000.0,150996000.0,117456000.0
totalStockholderEquity,1503326000.0,1329675000.0,1065466000.0,936890000.0
deferredLongTermLiab,15068000.0,15900000.0,14913000.0,15208000.0
otherCurrentLiab,26362000.0,27675000.0,22151000.0,17665000.0
totalAssets,1673393000.0,1494359000.0,1216462000.0,1054346000.0
commonStock,455000.0,453000.0,451000.0,451000.0
retainedEarnings,964512000.0,828007000.0,602482000.0,399473000.0
otherLiab,22291000.0,27760000.0,10562000.0,11458000.0
goodWill,76786000.0,78568000.0,31969000.0,32601000.0
treasuryStock,-331715000.0,-299475000.0,-276600000.0,-153541000.0
otherAssets,158037000.0,27280000.0,58249000.0,92710000.0
cash,132818000.0,232710000.0,192341000.0,121021000.0
totalCurrentLiabilities,138457000.0,128969000.0,131885000.0,105998000.0
deferredLongTermAssetCharges,10552000.0,11380000.0,43336000.0,77502000.0
otherStockholderEquity,-27160000.0,-11445000.0,-11189000.0,-14689000.0
propertyPlantEquipment,202490000.0,203238000.0,176691000.0,145005000.0
totalCurrentAssets,976473000.0,787965000.0,635863000.0,677197000.0
longTermInvestments,220089000.0,365735000.0,306026000.0,102497000.0
netTangibleAssets,1387022000.0,1219534000.0,1025833000.0,899953000.0
shortTermInvestments,625789000.0,350985000.0,250775000.0,370677000.0
netReceivables,90608000.0,97179000.0,84650000.0,90809000.0
longTermDebt,9319000.0,4298000.0,,
inventory,93981000.0,81059000.0,90088000.0,80942000.0
accountsPayable,35346000.0,34842000.0,32774000.0,32185000.0
researchDevelopment,163403000.0,119469000.0,99334000.0,94418000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,190560000.0,288220000.0,256825000.0,263360000.0
minorityInterest,,,,
netIncome,136505000.0,225525000.0,203009000.0,259016000.0
sellingGeneralAdministrative,423486000.0,333283000.0,341600000.0,321550000.0
grossProfit,843595000.0,685615000.0,689578000.0,639865000.0
ebit,256706000.0,232863000.0,248644000.0,223897000.0
operatingIncome,256706000.0,232863000.0,248644000.0,223897000.0
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,54055000.0,62695000.0,53816000.0,4344000.0
totalRevenue,1031753000.0,847522000.0,840883000.0,769432000.0
totalOperatingExpenses,775047000.0,614659000.0,592239000.0,545535000.0
costOfRevenue,188158000.0,161907000.0,151305000.0,129567000.0
totalOtherIncomeExpenseNet,-66146000.0,55357000.0,8181000.0,39463000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,136505000.0,225525000.0,203009000.0,259016000.0
netIncomeApplicableToCommonShares,136505000.0,225525000.0,203009000.0,259016000.0
investments,-262406000.0,-117778000.0,-81449000.0,-72451000.0
changeToLiabilities,2958000.0,7802000.0,5368000.0,9484000.0
totalCashflowsFromInvestingActivities,-380990000.0,-223344000.0,-125455000.0,-116455000.0
totalCashFromFinancingActivities,-2202000.0,-8067000.0,-117715000.0,-55775000.0
changeToOperatingActivities,-9166000.0,-15664000.0,10343000.0,10879000.0
issuanceOfStock,16658000.0,14554000.0,8851000.0,16001000.0
changeInCash,-99892000.0,40369000.0,71320000.0,78046000.0
repurchaseOfStock,-16526000.0,-22621000.0,-126566000.0,-71776000.0
effectOfExchangeRate,-2090000.0,-2798000.0,-430000.0,-1921000.0
totalCashFromOperatingActivities,285390000.0,274578000.0,314920000.0,252197000.0
depreciation,28089000.0,23347000.0,20430000.0,14121000.0
changeToInventory,-29323000.0,2535000.0,-13237000.0,-37181000.0
changeToAccountReceivables,5335000.0,-12059000.0,5551000.0,-22023000.0
otherCashflowsFromFinancingActivities,-2334000.0,-2334000.0,-2334000.0,-2334000.0
changeToNetincome,150992000.0,42342000.0,83456000.0,17901000.0
capitalExpenditures,-35763000.0,-53383000.0,-44006000.0,-44004000.0
annualDilutedAverageShares,45881000.0,45674000.0,45816000.0,46151000.0
