,2021,2020,2019,2018
intangibleAssets,12739000000.0,14784000000.0,17025000000.0,18942000000.0
totalLiab,39172000000.0,39545000000.0,36586000000.0,36451000000.0
totalStockholderEquity,35802000000.0,32784000000.0,31088000000.0,30524000000.0
minorityInterest,222000000.0,219000000.0,213000000.0,198000000.0
otherCurrentLiab,1234000000.0,1658000000.0,950000000.0,868000000.0
totalAssets,75196000000.0,72548000000.0,67887000000.0,67173000000.0
commonStock,24470000000.0,24145000000.0,23853000000.0,23512000000.0
otherCurrentAssets,292000000.0,90000000.0,148000000.0,114000000.0
retainedEarnings,31528000000.0,27627000000.0,25847000000.0,24560000000.0
otherLiab,7815000000.0,8209000000.0,8307000000.0,8080000000.0
goodWill,23231000000.0,23744000000.0,23195000000.0,23254000000.0
treasuryStock,-20196000000.0,-18988000000.0,-18612000000.0,-17548000000.0
otherAssets,4363000000.0,2784000000.0,2443000000.0,2192000000.0
cash,9799000000.0,6838000000.0,3860000000.0,3844000000.0
totalCurrentLiabilities,13105000000.0,11907000000.0,10863000000.0,9012000000.0
deferredLongTermAssetCharges,3972000000.0,2418000000.0,2097000000.0,1885000000.0
shortLongTermDebt,754000000.0,7000000.0,1277000000.0,7000000.0
otherStockholderEquity,-8374000000.0,-8946000000.0,-8465000000.0,-7586000000.0
propertyPlantEquipment,10112000000.0,10130000000.0,8972000000.0,7563000000.0
totalCurrentAssets,24239000000.0,20441000000.0,15667000000.0,14632000000.0
longTermInvestments,512000000.0,665000000.0,585000000.0,590000000.0
netTangibleAssets,-168000000.0,-5744000000.0,-9132000000.0,-11672000000.0
shortTermInvestments,450000000.0,310000000.0,280000000.0,242000000.0
netReceivables,6487000000.0,6414000000.0,5425000000.0,5182000000.0
longTermDebt,17296000000.0,18527000000.0,16661000000.0,19359000000.0
inventory,5157000000.0,5012000000.0,4316000000.0,3796000000.0
accountsPayable,4408000000.0,3946000000.0,3252000000.0,2975000000.0
researchDevelopment,2738000000.0,2365000000.0,2440000000.0,2298000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,8211000000.0,4968000000.0,4077000000.0,2873000000.0
netIncome,7071000000.0,4495000000.0,3687000000.0,2368000000.0
sellingGeneralAdministrative,11006000000.0,9591000000.0,9540000000.0,9568000000.0
grossProfit,25009000000.0,19753000000.0,18673000000.0,17882000000.0
ebit,9218000000.0,5665000000.0,4757000000.0,3838000000.0
operatingIncome,9218000000.0,5665000000.0,4757000000.0,3838000000.0
otherOperatingExpenses,,,,
interestExpense,-533000000.0,-546000000.0,-670000000.0,-826000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1140000000.0,497000000.0,390000000.0,539000000.0
totalRevenue,43075000000.0,34608000000.0,31904000000.0,30578000000.0
totalOperatingExpenses,33857000000.0,28943000000.0,27147000000.0,26740000000.0
costOfRevenue,18066000000.0,14855000000.0,13231000000.0,12696000000.0
totalOtherIncomeExpenseNet,-1007000000.0,-697000000.0,-680000000.0,-965000000.0
discontinuedOperations,,24000000.0,24000000.0,34000000.0
netIncomeFromContinuingOps,7071000000.0,4471000000.0,3687000000.0,2334000000.0
netIncomeApplicableToCommonShares,7042000000.0,4473000000.0,3666000000.0,2353000000.0
investments,-96000000.0,-73000000.0,-82000000.0,-58000000.0
changeToLiabilities,1288000000.0,1766000000.0,220000000.0,747000000.0
totalCashflowsFromInvestingActivities,-2008000000.0,-2215000000.0,-1815000000.0,-1356000000.0
netBorrowings,-248000000.0,-50000000.0,-1599000000.0,-8450000000.0
totalCashFromFinancingActivities,-5494000000.0,-2779000000.0,-4289000000.0,-10391000000.0
changeToOperatingActivities,-312000000.0,-627000000.0,-138000000.0,23000000.0
issuanceOfStock,255000000.0,245000000.0,298000000.0,271000000.0
changeInCash,2961000000.0,2978000000.0,16000000.0,-5563000000.0
repurchaseOfStock,-2299000000.0,-403000000.0,-718000000.0,-238000000.0
effectOfExchangeRate,-70000000.0,71000000.0,-16000000.0,-116000000.0
totalCashFromOperatingActivities,10533000000.0,7901000000.0,6136000000.0,6300000000.0
depreciation,3538000000.0,3327000000.0,3014000000.0,3278000000.0
otherCashflowsFromInvestingActivities,26000000.0,19000000.0,27000000.0,102000000.0
dividendsPaid,-3202000000.0,-2560000000.0,-2270000000.0,-1974000000.0
changeToInventory,-456000000.0,-493000000.0,-593000000.0,-514000000.0
changeToAccountReceivables,-383000000.0,-924000000.0,-275000000.0,-190000000.0
changeToNetincome,695000000.0,971000000.0,766000000.0,802000000.0
capitalExpenditures,-1885000000.0,-2177000000.0,-1638000000.0,-1394000000.0
otherCashflowsFromFinancingActivities,,-11000000.0,-11000000.0,-11000000.0
annualDilutedAverageShares,1789000000.0,1786000000.0,1781000000.0,1770000000.0
