,2021,2020,2019,2018
intangibleAssets,1501959000.0,1168942000.0,1044932000.0,954874000.0
capitalSurplus,2085075000.0,1977794000.0,1889683000.0,1793781000.0
totalLiab,31545816000.0,29294856000.0,25569809000.0,21780650000.0
totalStockholderEquity,12715896000.0,12325886000.0,10717371000.0,8659827000.0
minorityInterest,9233000.0,881555000.0,818181000.0,997852000.0
otherCurrentLiab,6080966000.0,4969349000.0,4445556000.0,3782090000.0
totalAssets,45100945000.0,43282297000.0,37885361000.0,32218329000.0
commonStock,648000.0,643000.0,638000.0,634000.0
otherCurrentAssets,6538185000.0,5165580000.0,4746177000.0,3194285000.0
retainedEarnings,14455868000.0,12362463000.0,11021006000.0,9426299000.0
otherLiab,15551519000.0,20188340000.0,17562383000.0,15142118000.0
goodWill,344865000.0,314629000.0,326551000.0,249620000.0
treasuryStock,-3825695000.0,-2015014000.0,-2193956000.0,-2560887000.0
otherAssets,2764711000.0,3377186000.0,3533095000.0,2957810000.0
cash,858668000.0,906448000.0,726230000.0,646556000.0
totalCurrentLiabilities,13174874000.0,5953701000.0,5500994000.0,4449322000.0
otherStockholderEquity,-64600000.0,488895000.0,212091000.0,-178720000.0
propertyPlantEquipment,106836000.0,115911000.0,131661000.0,
totalCurrentAssets,15480980000.0,14432286000.0,11962960000.0,9508874000.0
longTermInvestments,24901594000.0,23873343000.0,20886162000.0,18547151000.0
netTangibleAssets,11770913000.0,11633023000.0,9979288000.0,8024907000.0
shortTermInvestments,1832522000.0,2981930000.0,1333560000.0,1278057000.0
netReceivables,4522150000.0,4144253000.0,3922310000.0,3414507000.0
longTermDebt,2724394000.0,3016800000.0,2355913000.0,2189210000.0
accountsPayable,7062226000.0,683263000.0,667072000.0,393107000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2368044000.0,1577549000.0,1849110000.0,841772000.0
netIncome,2156849000.0,1405521000.0,1636319000.0,757971000.0
sellingGeneralAdministrative,77119000.0,68492000.0,65667000.0,58608000.0
grossProfit,3361999000.0,2814068000.0,2951570000.0,1755327000.0
ebit,2203330000.0,1801369000.0,2002802000.0,913240000.0
operatingIncome,2203330000.0,1801369000.0,2002802000.0,913240000.0
otherOperatingExpenses,998595000.0,875176000.0,800997000.0,677809000.0
interestExpense,-139470000.0,-143456000.0,-120872000.0,-120484000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,128582000.0,111838000.0,155810000.0,113951000.0
totalRevenue,9249980000.0,8508509000.0,6925967000.0,5450568000.0
totalOperatingExpenses,7046650000.0,6707140000.0,4923165000.0,4537328000.0
costOfRevenue,5887981000.0,5694441000.0,3974397000.0,3695241000.0
totalOtherIncomeExpenseNet,164714000.0,-223820000.0,-153692000.0,-71468000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2239462000.0,1465711000.0,1693300000.0,727821000.0
netIncomeApplicableToCommonShares,2093405000.0,1363909000.0,1594707000.0,713616000.0
investments,-1185200000.0,-3201373000.0,-1417949000.0,-771529000.0
changeToLiabilities,936039000.0,445781000.0,252569000.0,114772000.0
totalCashflowsFromInvestingActivities,-2139732000.0,-3043226000.0,-1806483000.0,-554020000.0
totalCashFromFinancingActivities,-1229549000.0,521278000.0,-80662000.0,-988810000.0
changeToOperatingActivities,1658636000.0,2045939000.0,583801000.0,339506000.0
issuanceOfStock,6418000.0,1876000.0,6203000.0,6203000.0
changeInCash,24227000.0,386846000.0,179055000.0,-2641000.0
repurchaseOfStock,-1234294000.0,-83472000.0,-2871000.0,-282762000.0
effectOfExchangeRate,-34047000.0,22289000.0,17741000.0,-19133000.0
totalCashFromOperatingActivities,3427555000.0,2886505000.0,2048459000.0,1559322000.0
depreciation,82955000.0,69031000.0,82104000.0,105670000.0
otherCashflowsFromInvestingActivities,-563936000.0,198019000.0,-350697000.0,247318000.0
dividendsPaid,-48280000.0,-41612000.0,-41612000.0,-41645000.0
changeToAccountReceivables,-685214000.0,-318643000.0,-237752000.0,-211296000.0
otherCashflowsFromFinancingActivities,10786000.0,-15307000.0,-193283000.0,-213706000.0
changeToNetincome,-721710000.0,-761124000.0,-268582000.0,452699000.0
capitalExpenditures,-41394000.0,-39872000.0,-37837000.0,-29809000.0
netBorrowings,,659793000.0,150901000.0,-358142000.0
annualDilutedAverageShares,400345936.0,410259455.0,411609478.0,412906478.0
