,2022,2021,2020,2019,2018
intangibleAssets,,1820000000.0,1359000000.0,1721000000.0,2069001000.0
capitalSurplus,,8428000000.0,7357000000.0,6504000000.0,5685337000.0
totalLiab,,12444000000.0,11020000000.0,10232000000.0,9406568000.0
totalStockholderEquity,,14797000000.0,13264000000.0,10530000000.0,9362114000.0
deferredLongTermLiab,,406000000.0,352000000.0,315000000.0,
otherCurrentLiab,,4923000000.0,3823000000.0,3593000000.0,2952499000.0
totalAssets,,27241000000.0,24284000000.0,20762000000.0,18768682000.0
otherCurrentAssets,,303000000.0,193000000.0,188000000.0,44259000.0
retainedEarnings,,23905000000.0,19611000000.0,14829000000.0,11815597000.0
otherLiab,,936000000.0,892000000.0,1052000000.0,970898000.0
goodWill,,12668000000.0,10742000000.0,10691000000.0,10581048000.0
treasuryStock,,-17536000000.0,-13704000000.0,-10803000000.0,-8138881000.0
otherAssets,,1968000000.0,2033000000.0,562000000.0,186522000.0
cash,,3844000000.0,4478000000.0,2650000000.0,1642775000.0
totalCurrentLiabilities,,6932000000.0,5512000000.0,8191000000.0,4301126000.0
deferredLongTermAssetCharges,,1085000000.0,1370000000.0,,
otherStockholderEquity,,-137000000.0,-158000000.0,-188000000.0,-148130000.0
propertyPlantEquipment,,2116000000.0,2004000000.0,1293000000.0,1075072000.0
totalCurrentAssets,,8669000000.0,8146000000.0,6495000000.0,4857039000.0
netTangibleAssets,,309000000.0,1163000000.0,-1882000000.0,-3287935000.0
shortTermInvestments,,1954000000.0,1514000000.0,1527000000.0,1586187000.0
netReceivables,,1878000000.0,1398000000.0,1535000000.0,1315578000.0
longTermDebt,,4123000000.0,4117000000.0,989000000.0,4134544000.0
accountsPayable,,312000000.0,306000000.0,209000000.0,186258000.0
shortLongTermDebt,,,,3149000000.0,
commonStock,,,,,61000.0
researchDevelopment,,2540000000.0,2188000000.0,1930000000.0,1538000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,,5705000000.0,4176000000.0,3205000000.0,2794000000.0
minorityInterest,,,,,
netIncome,,4822000000.0,5260000000.0,2951000000.0,2591000000.0
sellingGeneralAdministrative,,5406000000.0,4559000000.0,4125000000.0,3366000000.0
grossProfit,,13920000000.0,11146000000.0,9498000000.0,7835000000.0
ebit,,5802000000.0,4237000000.0,3268000000.0,2840000000.0
operatingIncome,,5802000000.0,4237000000.0,3268000000.0,2840000000.0
otherOperatingExpenses,,,,,
interestExpense,,-113000000.0,-116000000.0,-157000000.0,-89000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,,883000000.0,-1084000000.0,254000000.0,203000000.0
totalRevenue,,15785000000.0,12868000000.0,11171000000.0,9030000000.0
totalOperatingExpenses,,9983000000.0,8631000000.0,7903000000.0,6190000000.0
costOfRevenue,,1865000000.0,1722000000.0,1673000000.0,1195000000.0
totalOtherIncomeExpenseNet,,-97000000.0,-61000000.0,-63000000.0,-46000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,,4822000000.0,5260000000.0,2951000000.0,2591000000.0
netIncomeApplicableToCommonShares,,4822000000.0,5260000000.0,2951000000.0,2591000000.0
investments,,-507000000.0,5000000.0,40000000.0,1896000000.0
changeToLiabilities,,1033000000.0,354000000.0,520000000.0,499000000.0
totalCashflowsFromInvestingActivities,,-3537000000.0,-414000000.0,-456000000.0,-4685000000.0
totalCashFromFinancingActivities,,-4301000000.0,-3488000000.0,-2946000000.0,-5000000.0
changeToOperatingActivities,,-313000000.0,-202000000.0,-379000000.0,-33000000.0
issuanceOfStock,,291000000.0,270000000.0,233000000.0,191000000.0
changeInCash,,-634000000.0,1828000000.0,1007000000.0,-663000000.0
repurchaseOfStock,,-4669000000.0,-3731000000.0,-3190000000.0,-2443000000.0
effectOfExchangeRate,,-26000000.0,3000000.0,-13000000.0,-2000000.0
totalCashFromOperatingActivities,,7230000000.0,5727000000.0,4422000000.0,4029000000.0
depreciation,,576000000.0,571000000.0,757000000.0,346000000.0
changeToAccountReceivables,,-430000000.0,106000000.0,-188000000.0,-2000000.0
otherCashflowsFromFinancingActivities,,77000000.0,-21000000.0,11000000.0,-1000000.0
changeToNetincome,,1328000000.0,-476000000.0,757000000.0,149000000.0
capitalExpenditures,,-348000000.0,-419000000.0,-395000000.0,-267000000.0
netBorrowings,,,-6000000.0,-6000000.0,2248000000.0
annualDilutedAverageShares,,481000000.0,485000000.0,491572000.0,
