,2021,2020,2019,2018
intangibleAssets,2565000000.0,2134000000.0,2091000000.0,1545000000.0
totalLiab,33369000000.0,29623000000.0,24714000000.0,21788000000.0
totalStockholderEquity,22477000000.0,20000000000.0,19208000000.0,18981000000.0
minorityInterest,290000000.0,96000000.0,75000000.0,64000000.0
otherCurrentLiab,11628000000.0,9696000000.0,6397000000.0,5870000000.0
totalAssets,56136000000.0,49719000000.0,43997000000.0,40833000000.0
commonStock,2994000000.0,2824000000.0,2655000000.0,2560000000.0
otherCurrentAssets,10298000000.0,9572000000.0,5352000000.0,5371000000.0
retainedEarnings,21655000000.0,19780000000.0,18958000000.0,18527000000.0
otherLiab,2645000000.0,2693000000.0,2527000000.0,2314000000.0
goodWill,4182000000.0,3451000000.0,3385000000.0,2496000000.0
treasuryStock,-2172000000.0,-2604000000.0,-2405000000.0,-2106000000.0
otherAssets,1072000000.0,876000000.0,965000000.0,934000000.0
cash,943000000.0,666000000.0,852000000.0,1997000000.0
totalCurrentLiabilities,21948000000.0,18182000000.0,13734000000.0,11776000000.0
shortLongTermDebt,570000000.0,17000000.0,50000000.0,602000000.0
otherStockholderEquity,-2172000000.0,-2604000000.0,-2405000000.0,-2106000000.0
propertyPlantEquipment,10826000000.0,10881000000.0,11077000000.0,9953000000.0
totalCurrentAssets,31909000000.0,27286000000.0,21347000000.0,20588000000.0
longTermInvestments,5582000000.0,5091000000.0,5132000000.0,5317000000.0
netTangibleAssets,15730000000.0,14415000000.0,13732000000.0,14940000000.0
netReceivables,5771000000.0,4984000000.0,5652000000.0,4223000000.0
longTermDebt,8011000000.0,7885000000.0,7672000000.0,7698000000.0
inventory,14481000000.0,11713000000.0,9170000000.0,8813000000.0
accountsPayable,6388000000.0,4474000000.0,3746000000.0,3545000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3313000000.0,1883000000.0,1588000000.0,2060000000.0
netIncome,2709000000.0,1772000000.0,1379000000.0,1810000000.0
sellingGeneralAdministrative,3006000000.0,2591000000.0,2519000000.0,2213000000.0
grossProfit,5987000000.0,4453000000.0,4147000000.0,4181000000.0
ebit,2938000000.0,1806000000.0,1587000000.0,1924000000.0
operatingIncome,2938000000.0,1806000000.0,1587000000.0,1924000000.0
otherOperatingExpenses,11000000.0,9000000.0,18000000.0,18000000.0
interestExpense,-265000000.0,-339000000.0,-402000000.0,-364000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,578000000.0,101000000.0,209000000.0,245000000.0
totalRevenue,85249000000.0,64355000000.0,64656000000.0,64341000000.0
totalOperatingExpenses,82311000000.0,62549000000.0,63069000000.0,62417000000.0
costOfRevenue,79262000000.0,59902000000.0,60509000000.0,60160000000.0
totalOtherIncomeExpenseNet,375000000.0,77000000.0,1000000.0,136000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2735000000.0,1782000000.0,1379000000.0,1815000000.0
netIncomeApplicableToCommonShares,2709000000.0,1772000000.0,1379000000.0,1810000000.0
investments,-33000000.0,-1000000.0,64000000.0,-144000000.0
changeToLiabilities,1919000000.0,694000000.0,-64000000.0,-300000000.0
totalCashflowsFromInvestingActivities,-2669000000.0,4465000000.0,5259000000.0,6582000000.0
netBorrowings,-290000000.0,492000000.0,301000000.0,989000000.0
totalCashFromFinancingActivities,-1118000000.0,-423000000.0,-660000000.0,187000000.0
changeToOperatingActivities,4152000000.0,-3634000000.0,-7940000000.0,-7006000000.0
changeInCash,2808000000.0,1656000000.0,-853000000.0,1985000000.0
totalCashFromOperatingActivities,6595000000.0,-2386000000.0,-5452000000.0,-4784000000.0
depreciation,996000000.0,976000000.0,993000000.0,941000000.0
otherCashflowsFromInvestingActivities,-148000000.0,-27000000.0,-5000000.0,3000000.0
dividendsPaid,-834000000.0,-809000000.0,-789000000.0,-758000000.0
changeToInventory,-2839000000.0,-2426000000.0,-21000000.0,226000000.0
changeToAccountReceivables,-578000000.0,-149000000.0,287000000.0,-376000000.0
otherCashflowsFromFinancingActivities,6000000.0,27000000.0,-22000000.0,33000000.0
changeToNetincome,236000000.0,381000000.0,-86000000.0,-79000000.0
capitalExpenditures,-1169000000.0,-823000000.0,-828000000.0,-842000000.0
repurchaseOfStock,,-133000000.0,-150000000.0,-77000000.0
annualDilutedAverageShares,566000000.0,563000000.0,565000000.0,567000000.0
