,2022,2021,2020,2019
intangibleAssets,1333100000.0,1210100000.0,1215800000.0,1071500000.0
capitalSurplus,1794200000.0,1531300000.0,1333800000.0,1183200000.0
totalLiab,59842900000.0,43102400000.0,33413300000.0,36487800000.0
totalStockholderEquity,3225300000.0,5670100000.0,5752200000.0,5399900000.0
deferredLongTermLiab,2579700000.0,2498200000.0,2401600000.0,2428500000.0
otherCurrentLiab,51941700000.0,35056700000.0,26471500000.0,29760100000.0
totalAssets,63068200000.0,48772500000.0,39165500000.0,41887700000.0
commonStock,63900000.0,63900000.0,63900000.0,63900000.0
otherCurrentAssets,50198000000.0,35439200000.0,27214300000.0,29943300000.0
retainedEarnings,20696300000.0,19451100000.0,18436300000.0,17500600000.0
otherLiab,1326200000.0,1679400000.0,1939500000.0,1857900000.0
goodWill,2300500000.0,2338400000.0,2309400000.0,2323000000.0
treasuryStock,-19329100000.0,-15376200000.0,-14081800000.0,-13347800000.0
otherAssets,3526200000.0,3335500000.0,2878600000.0,3386700000.0
cash,1436300000.0,2575200000.0,1908500000.0,1949200000.0
totalCurrentLiabilities,55158700000.0,38094800000.0,30126600000.0,32627700000.0
deferredLongTermAssetCharges,157400000.0,48300000.0,38800000.0,64000000.0
shortLongTermDebt,1200000.0,,1001800000.0,
otherStockholderEquity,-1993700000.0,10600000.0,-14800000.0,-257300000.0
propertyPlantEquipment,1103500000.0,1146700000.0,1197600000.0,764200000.0
totalCurrentAssets,54804900000.0,40741800000.0,31564100000.0,34342300000.0
netTangibleAssets,-408300000.0,2121600000.0,2227000000.0,2005400000.0
netReceivables,3170600000.0,2727400000.0,2441300000.0,2439300000.0
longTermDebt,2987100000.0,2985000000.0,1002800000.0,2002200000.0
accountsPayable,110200000.0,141100000.0,102000000.0,125500000.0
shortTermInvestments,,,,10500000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3804100000.0,3361200000.0,3182600000.0,3005600000.0
minorityInterest,,,,
netIncome,2948900000.0,2598500000.0,2466500000.0,2292800000.0
sellingGeneralAdministrative,3178900000.0,3009700000.0,2928500000.0,3057500000.0
grossProfit,7447100000.0,6768100000.0,6511600000.0,6393000000.0
ebit,3857500000.0,3355400000.0,3216200000.0,3031100000.0
operatingIncome,3857500000.0,3355400000.0,3216200000.0,3031100000.0
otherOperatingExpenses,,,,
interestExpense,-81900000.0,-59700000.0,-107100000.0,-129900000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,855200000.0,762700000.0,716100000.0,712800000.0
totalRevenue,16498300000.0,15005400000.0,14589800000.0,14110200000.0
totalOperatingExpenses,12640800000.0,11650000000.0,11373600000.0,11079100000.0
costOfRevenue,9051200000.0,8237300000.0,8078200000.0,7717200000.0
totalOtherIncomeExpenseNet,-53400000.0,5800000.0,-33600000.0,-25500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2948900000.0,2598500000.0,2466500000.0,2292800000.0
netIncomeApplicableToCommonShares,2948900000.0,2598500000.0,2466500000.0,2292800000.0
investments,-6483500000.0,-3027900000.0,3743300000.0,-1513600000.0
changeToLiabilities,-16400000.0,36900000.0,-18300000.0,-10700000.0
totalCashflowsFromInvestingActivities,-7014400000.0,-3515000000.0,3156300000.0,-2197700000.0
netBorrowings,127400000.0,989600000.0,-250600000.0,259900000.0
totalCashFromFinancingActivities,13653400000.0,6437500000.0,-5890600000.0,-207700000.0
changeToOperatingActivities,-1135400000.0,-634500000.0,-987900000.0,-721200000.0
issuanceOfStock,96500000.0,104100000.0,50000000.0,72900000.0
changeInCash,9639800000.0,6089600000.0,257400000.0,254100000.0
repurchaseOfStock,-1969400000.0,-1372300000.0,-1006300000.0,-937700000.0
effectOfExchangeRate,-98700000.0,73800000.0,-34500000.0,-28800000.0
totalCashFromOperatingActivities,3099500000.0,3093300000.0,3026200000.0,2688300000.0
depreciation,515100000.0,510700000.0,480000000.0,409000000.0
dividendsPaid,-1659000000.0,-1575500000.0,-1470500000.0,-1293000000.0
changeToAccountReceivables,-486500000.0,-339800000.0,-113800000.0,-473900000.0
otherCashflowsFromFinancingActivities,17057900000.0,8291600000.0,-3213200000.0,1690200000.0
changeToNetincome,318600000.0,-13800000.0,284700000.0,318300000.0
capitalExpenditures,-174400000.0,-178600000.0,-172700000.0,-162000000.0
annualDilutedAverageShares,421100000.0,428100000.0,432700000.0,437600000.0
