,2021,2020,2019,2018
capitalSurplus,6502000000.0,6179000000.0,5694000000.0,5627000000.0
totalLiab,25906000000.0,22950000000.0,20732000000.0,19442000000.0
totalStockholderEquity,9700000000.0,8938000000.0,8059000000.0,7631000000.0
minorityInterest,129000000.0,142000000.0,142000000.0,142000000.0
deferredLongTermLiab,1289000000.0,1100000000.0,992000000.0,1127000000.0
otherCurrentLiab,556000000.0,608000000.0,653000000.0,691000000.0
totalAssets,35735000000.0,32030000000.0,28933000000.0,27215000000.0
commonStock,3000000.0,3000000.0,2000000.0,2000000.0
otherCurrentAssets,548000000.0,244000000.0,187000000.0,197000000.0
retainedEarnings,3182000000.0,2757000000.0,2380000000.0,2024000000.0
otherLiab,10518000000.0,9692000000.0,9312000000.0,8896000000.0
goodWill,411000000.0,411000000.0,411000000.0,411000000.0
treasuryStock,13000000.0,-1000000.0,-17000000.0,-22000000.0
otherAssets,3791000000.0,2866000000.0,2424000000.0,2169000000.0
cash,8000000.0,139000000.0,16000000.0,16000000.0
totalCurrentLiabilities,2826000000.0,2180000000.0,2505000000.0,2687000000.0
shortLongTermDebt,505000000.0,8000000.0,442000000.0,580000000.0
otherStockholderEquity,13000000.0,-1000000.0,-17000000.0,-22000000.0
propertyPlantEquipment,29261000000.0,26807000000.0,24376000000.0,22810000000.0
totalCurrentAssets,1968000000.0,1653000000.0,1431000000.0,1533000000.0
longTermInvestments,304000000.0,293000000.0,291000000.0,292000000.0
netTangibleAssets,9289000000.0,8527000000.0,7648000000.0,7220000000.0
netReceivables,820000000.0,749000000.0,734000000.0,837000000.0
longTermDebt,12562000000.0,11078000000.0,8915000000.0,7859000000.0
inventory,592000000.0,521000000.0,494000000.0,483000000.0
accountsPayable,1095000000.0,958000000.0,874000000.0,817000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1152000000.0,1032000000.0,1016000000.0,1058000000.0
netIncome,990000000.0,871000000.0,828000000.0,815000000.0
sellingGeneralAdministrative,-136000000.0,-116000000.0,-90000000.0,-70000000.0
grossProfit,2991000000.0,2858000000.0,2743000000.0,2795000000.0
ebit,1469000000.0,1416000000.0,1357000000.0,1427000000.0
operatingIncome,1469000000.0,1416000000.0,1357000000.0,1427000000.0
otherOperatingExpenses,512000000.0,483000000.0,481000000.0,483000000.0
interestExpense,-383000000.0,-419000000.0,-381000000.0,-401000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,157000000.0,155000000.0,182000000.0,237000000.0
totalRevenue,6119000000.0,5540000000.0,5646000000.0,6009000000.0
totalOperatingExpenses,4650000000.0,4124000000.0,4289000000.0,4582000000.0
costOfRevenue,3128000000.0,2682000000.0,2903000000.0,3214000000.0
totalOtherIncomeExpenseNet,-317000000.0,-384000000.0,-341000000.0,-369000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,995000000.0,877000000.0,834000000.0,821000000.0
netIncomeApplicableToCommonShares,990000000.0,871000000.0,828000000.0,815000000.0
changeToLiabilities,28000000.0,40000000.0,-3000000.0,-22000000.0
totalCashflowsFromInvestingActivities,-3528000000.0,-3329000000.0,-2435000000.0,-2336000000.0
netBorrowings,2044000000.0,1791000000.0,790000000.0,623000000.0
totalCashFromFinancingActivities,1721000000.0,1727000000.0,334000000.0,205000000.0
changeToOperatingActivities,-672000000.0,-486000000.0,33000000.0,61000000.0
issuanceOfStock,308000000.0,476000000.0,68000000.0,74000000.0
changeInCash,-146000000.0,125000000.0,69000000.0,39000000.0
repurchaseOfStock,-17000000.0,-20000000.0,-29000000.0,-19000000.0
totalCashFromOperatingActivities,1661000000.0,1727000000.0,2170000000.0,2170000000.0
depreciation,1152000000.0,1060000000.0,1003000000.0,962000000.0
otherCashflowsFromInvestingActivities,-5000000.0,-30000000.0,7000000.0,2000000.0
dividendsPaid,-565000000.0,-494000000.0,-472000000.0,-451000000.0
changeToInventory,-71000000.0,-25000000.0,-10000000.0,39000000.0
changeToAccountReceivables,-74000000.0,-47000000.0,79000000.0,-24000000.0
otherCashflowsFromFinancingActivities,-49000000.0,-26000000.0,-23000000.0,-22000000.0
changeToNetincome,159000000.0,165000000.0,151000000.0,258000000.0
capitalExpenditures,-3523000000.0,-3299000000.0,-2442000000.0,-2338000000.0
annualDilutedAverageShares,257600000.0,248700000.0,247100000.0,245800000.0
