,2021,2020,2019,2018
capitalSurplus,7172600000.0,6588900000.0,6535600000.0,6486100000.0
totalLiab,64988500000.0,59982700000.0,55913400000.0,49674000000.0
totalStockholderEquity,22433200000.0,20550900000.0,19632200000.0,19028400000.0
minorityInterest,247000000.0,223600000.0,346700000.0,100400000.0
deferredLongTermLiab,5793000000.0,5075600000.0,4618700000.0,4632000000.0
otherCurrentLiab,4918600000.0,3075500000.0,3232300000.0,2870300000.0
totalAssets,87668700000.0,80757200000.0,75892300000.0,68802800000.0
commonStock,3408700000.0,3359300000.0,3343400000.0,3337400000.0
otherCurrentAssets,4003300000.0,293000000.0,511900000.0,664300000.0
retainedEarnings,11667100000.0,10687800000.0,9900900000.0,9325300000.0
otherLiab,20572200000.0,20200200000.0,19503700000.0,19143500000.0
goodWill,52500000.0,52500000.0,52500000.0,52500000.0
treasuryStock,184800000.0,-85100000.0,-147700000.0,-120400000.0
otherAssets,11779900000.0,10178900000.0,9309900000.0,8673700000.0
cash,403400000.0,392700000.0,246800000.0,234100000.0
totalCurrentLiabilities,12426700000.0,9926700000.0,10299100000.0,8648800000.0
shortLongTermDebt,2153800000.0,2086100000.0,1598700000.0,1698500000.0
otherStockholderEquity,184800000.0,-85100000.0,-147700000.0,-120400000.0
propertyPlantEquipment,66579600000.0,64768000000.0,61095500000.0,55099100000.0
totalCurrentAssets,7809200000.0,4351500000.0,4077800000.0,4113900000.0
longTermInvestments,1447500000.0,1406300000.0,1356600000.0,863600000.0
netTangibleAssets,22380700000.0,20498400000.0,19579700000.0,18975900000.0
shortTermInvestments,220400000.0,200800000.0,202700000.0,159100000.0
netReceivables,2063100000.0,2028000000.0,1790900000.0,1926500000.0
longTermDebt,31300700000.0,28986400000.0,25126800000.0,21648200000.0
inventory,989200000.0,1310000000.0,1169200000.0,921100000.0
accountsPayable,2054600000.0,1709700000.0,2085800000.0,1874300000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2603600000.0,2237200000.0,1906900000.0,2046600000.0
netIncome,2488100000.0,2200100000.0,1921100000.0,1923800000.0
sellingGeneralAdministrative,-118600000.0,-119000000.0,-120000000.0,-124500000.0
grossProfit,7656200000.0,6966000000.0,6497700000.0,6182600000.0
ebit,3541500000.0,3106700000.0,2868700000.0,2877800000.0
operatingIncome,3541500000.0,3106700000.0,2868700000.0,2877800000.0
otherOperatingExpenses,1407600000.0,1295500000.0,1234500000.0,1142700000.0
interestExpense,-1199100000.0,-1165700000.0,-1072500000.0,-984400000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,115500000.0,40500000.0,-12900000.0,115300000.0
totalRevenue,16792000000.0,14918500000.0,15561400000.0,16195700000.0
totalOperatingExpenses,13250500000.0,11811800000.0,12692700000.0,13317900000.0
costOfRevenue,9135800000.0,7952500000.0,9063700000.0,10013100000.0
totalOtherIncomeExpenseNet,-937900000.0,-869500000.0,-961800000.0,-831200000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2488100000.0,2196700000.0,1919800000.0,1931300000.0
netIncomeApplicableToCommonShares,2488100000.0,2200100000.0,1921100000.0,1923800000.0
changeToLiabilities,200600000.0,-35300000.0,5800000.0,36600000.0
totalCashflowsFromInvestingActivities,-6433900000.0,-6233900000.0,-7144500000.0,-6353600000.0
netBorrowings,3567700000.0,3865600000.0,4173400000.0,2370000000.0
totalCashFromFinancingActivities,2607100000.0,2406700000.0,2862900000.0,1161900000.0
changeToOperatingActivities,-511200000.0,-368900000.0,-282500000.0,160300000.0
issuanceOfStock,600500000.0,155000000.0,65300000.0,73600000.0
changeInCash,13100000.0,5700000.0,-11500000.0,31500000.0
totalCashFromOperatingActivities,3839900000.0,3832900000.0,4270100000.0,5223200000.0
depreciation,2937800000.0,2711500000.0,2429300000.0,2078800000.0
otherCashflowsFromInvestingActivities,97400000.0,82100000.0,-82400000.0,3400000.0
dividendsPaid,-1507700000.0,-1415000000.0,-1345500000.0,-1251100000.0
changeToInventory,300200000.0,-142900000.0,-248200000.0,20700000.0
changeToAccountReceivables,-119700000.0,-129300000.0,247800000.0,145900000.0
otherCashflowsFromFinancingActivities,-53400000.0,-198900000.0,-30300000.0,-30600000.0
changeToNetincome,-1719000000.0,-446400000.0,27800000.0,670200000.0
capitalExpenditures,-6531300000.0,-6316000000.0,-6143700000.0,-6357000000.0
annualDilutedAverageShares,501784032.0,497226867.0,495306238.0,493758277.0
