,2021,2020,2019,2018
intangibleAssets,1450000000.0,827000000.0,469000000.0,436000000.0
capitalSurplus,7119000000.0,7561000000.0,7776000000.0,8154000000.0
totalLiab,28336000000.0,29823000000.0,28359000000.0,26857000000.0
totalStockholderEquity,1973000000.0,2634000000.0,2996000000.0,3208000000.0
minorityInterest,1829000000.0,2146000000.0,2293000000.0,2456000000.0
deferredLongTermLiab,834000000.0,587000000.0,530000000.0,547000000.0
otherCurrentLiab,796000000.0,1437000000.0,729000000.0,304000000.0
totalAssets,32963000000.0,34603000000.0,33648000000.0,32521000000.0
commonStock,8000000.0,8000000.0,8000000.0,8000000.0
otherCurrentAssets,1833000000.0,1989000000.0,1625000000.0,1071000000.0
retainedEarnings,-1089000000.0,-680000000.0,-692000000.0,-1005000000.0
otherLiab,5978000000.0,5717000000.0,4697000000.0,4822000000.0
goodWill,1177000000.0,1061000000.0,1059000000.0,1059000000.0
treasuryStock,-4065000000.0,-4255000000.0,-4096000000.0,-3949000000.0
otherAssets,3716000000.0,3365000000.0,3101000000.0,3501000000.0
cash,943000000.0,1089000000.0,1029000000.0,1166000000.0
totalCurrentLiabilities,4732000000.0,5362000000.0,5096000000.0,4399000000.0
deferredLongTermAssetCharges,409000000.0,288000000.0,156000000.0,97000000.0
shortLongTermDebt,1361000000.0,1426000000.0,1865000000.0,1659000000.0
otherStockholderEquity,-2220000000.0,-2397000000.0,-2229000000.0,-2071000000.0
propertyPlantEquipment,20184000000.0,23101000000.0,22822000000.0,21396000000.0
totalCurrentAssets,5356000000.0,5414000000.0,5231000000.0,5015000000.0
longTermInvestments,1080000000.0,835000000.0,966000000.0,1114000000.0
netTangibleAssets,-654000000.0,746000000.0,1468000000.0,1713000000.0
shortTermInvestments,232000000.0,335000000.0,400000000.0,313000000.0
netReceivables,1602000000.0,1438000000.0,1610000000.0,1758000000.0
longTermDebt,17204000000.0,18374000000.0,18238000000.0,17636000000.0
inventory,604000000.0,461000000.0,487000000.0,577000000.0
accountsPayable,1153000000.0,1156000000.0,1311000000.0,1329000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-1088000000.0,365000000.0,829000000.0,2057000000.0
netIncome,-409000000.0,46000000.0,303000000.0,1203000000.0
sellingGeneralAdministrative,145000000.0,167000000.0,213000000.0,202000000.0
grossProfit,2711000000.0,2693000000.0,2349000000.0,2574000000.0
ebit,2566000000.0,2526000000.0,2136000000.0,2372000000.0
operatingIncome,2566000000.0,2526000000.0,2136000000.0,2372000000.0
otherOperatingExpenses,,,,
interestExpense,-911000000.0,-1038000000.0,-1050000000.0,-1056000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-133000000.0,216000000.0,352000000.0,708000000.0
totalRevenue,11141000000.0,9660000000.0,10189000000.0,10736000000.0
totalOperatingExpenses,8575000000.0,7134000000.0,8053000000.0,8364000000.0
costOfRevenue,8430000000.0,6967000000.0,7840000000.0,8162000000.0
totalOtherIncomeExpenseNet,-3654000000.0,-2161000000.0,-1307000000.0,-315000000.0
discontinuedOperations,4000000.0,3000000.0,1000000.0,218000000.0
netIncomeFromContinuingOps,-955000000.0,149000000.0,477000000.0,1349000000.0
netIncomeApplicableToCommonShares,-409000000.0,46000000.0,303000000.0,1203000000.0
investments,-10000000.0,-200000000.0,-297000000.0,-254000000.0
changeToLiabilities,-565000000.0,245000000.0,22000000.0,50000000.0
totalCashflowsFromInvestingActivities,-3051000000.0,-2295000000.0,-2721000000.0,-505000000.0
netBorrowings,-5000000.0,538000000.0,838000000.0,-789000000.0
totalCashFromFinancingActivities,797000000.0,-78000000.0,-86000000.0,-1643000000.0
changeToOperatingActivities,-263000000.0,-42000000.0,-79000000.0,13000000.0
changeInCash,-343000000.0,255000000.0,-431000000.0,215000000.0
effectOfExchangeRate,-46000000.0,-24000000.0,-18000000.0,-54000000.0
totalCashFromOperatingActivities,1902000000.0,2755000000.0,2466000000.0,2343000000.0
depreciation,1056000000.0,1068000000.0,1045000000.0,1003000000.0
otherCashflowsFromInvestingActivities,-362000000.0,-228000000.0,-5000000.0,-84000000.0
dividendsPaid,-401000000.0,-381000000.0,-362000000.0,-344000000.0
changeToInventory,-93000000.0,-20000000.0,28000000.0,-36000000.0
changeToAccountReceivables,-170000000.0,48000000.0,73000000.0,-206000000.0
otherCashflowsFromFinancingActivities,189000000.0,-235000000.0,-562000000.0,-510000000.0
changeToNetincome,2617000000.0,1351000000.0,1157000000.0,323000000.0
capitalExpenditures,-2116000000.0,-1900000000.0,-2405000000.0,-2121000000.0
annualDilutedAverageShares,670491803.0,668000000.0,667000000.0,664640884.0
