,2021,2020,2019,2018
intangibleAssets,9525000000.0,10441000000.0,10128000000.0,9875000000.0
capitalSurplus,2529000000.0,2410000000.0,2313000000.0,2177000000.0
totalLiab,124289000000.0,131527000000.0,123809000000.0,116944000000.0
totalStockholderEquity,33253000000.0,33559000000.0,28959000000.0,23462000000.0
otherCurrentLiab,8480000000.0,8955000000.0,10199000000.0,9496000000.0
totalAssets,157542000000.0,165086000000.0,152768000000.0,140406000000.0
commonStock,135000000.0,135000000.0,135000000.0,135000000.0
otherCurrentAssets,2610000000.0,2363000000.0,2221000000.0,2128000000.0
retainedEarnings,41381000000.0,37984000000.0,34291000000.0,31788000000.0
otherLiab,102556000000.0,108522000000.0,100506000000.0,96033000000.0
goodWill,268000000.0,269000000.0,,
treasuryStock,-10792000000.0,-6970000000.0,-7780000000.0,-10638000000.0
otherAssets,12952000000.0,11677000000.0,10735000000.0,8014000000.0
cash,5051000000.0,5141000000.0,4896000000.0,4337000000.0
totalCurrentLiabilities,13829000000.0,15260000000.0,17082000000.0,15133000000.0
shortLongTermDebt,54000000.0,,348000000.0,1000000.0
otherStockholderEquity,7393000000.0,8934000000.0,6615000000.0,2151000000.0
propertyPlantEquipment,538000000.0,601000000.0,581000000.0,443000000.0
totalCurrentAssets,10080000000.0,9439000000.0,8576000000.0,7471000000.0
longTermInvestments,124179000000.0,132659000000.0,122748000000.0,114603000000.0
netTangibleAssets,32985000000.0,33290000000.0,28959000000.0,23462000000.0
shortTermInvestments,1726000000.0,1139000000.0,628000000.0,152000000.0
netReceivables,693000000.0,796000000.0,828000000.0,851000000.0
longTermDebt,7839000000.0,7745000000.0,6060000000.0,5765000000.0
accountsPayable,3081000000.0,5187000000.0,4659000000.0,4584000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5322000000.0,4159000000.0,4445000000.0,3983000000.0
minorityInterest,,,,
netIncome,4325000000.0,4778000000.0,3304000000.0,2920000000.0
sellingGeneralAdministrative,3544000000.0,3420000000.0,3089000000.0,2988000000.0
grossProfit,9104000000.0,7821000000.0,7762000000.0,7193000000.0
ebit,5560000000.0,4401000000.0,4673000000.0,4205000000.0
operatingIncome,5560000000.0,4401000000.0,4673000000.0,4205000000.0
otherOperatingExpenses,,,,
interestExpense,-238000000.0,-242000000.0,-228000000.0,-222000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,997000000.0,-619000000.0,1141000000.0,1063000000.0
totalRevenue,22106000000.0,22147000000.0,22307000000.0,21758000000.0
totalOperatingExpenses,16546000000.0,17746000000.0,17634000000.0,17553000000.0
costOfRevenue,13002000000.0,14326000000.0,14545000000.0,14565000000.0
totalOtherIncomeExpenseNet,-238000000.0,-242000000.0,-228000000.0,-222000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,4325000000.0,4778000000.0,3304000000.0,2920000000.0
netIncomeApplicableToCommonShares,4325000000.0,4778000000.0,3304000000.0,2920000000.0
investments,-2946000000.0,-2167000000.0,-1378000000.0,47000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-2378000000.0,-4619000000.0,-3171000000.0,-3582000000.0
netBorrowings,453000000.0,1195000000.0,615000000.0,470000000.0
totalCashFromFinancingActivities,-2739000000.0,-1115000000.0,-1713000000.0,-1616000000.0
changeToOperatingActivities,976000000.0,2023000000.0,2104000000.0,2343000000.0
issuanceOfStock,26000000.0,34000000.0,49000000.0,58000000.0
changeInCash,-90000000.0,245000000.0,559000000.0,846000000.0
repurchaseOfStock,-2301000000.0,-1537000000.0,-1627000000.0,-1301000000.0
effectOfExchangeRate,-24000000.0,21000000.0,-12000000.0,30000000.0
totalCashFromOperatingActivities,5051000000.0,5958000000.0,5455000000.0,6014000000.0
depreciation,45000000.0,41000000.0,41000000.0,49000000.0
otherCashflowsFromInvestingActivities,1751000000.0,-1274000000.0,794000000.0,283000000.0
dividendsPaid,-855000000.0,-769000000.0,-771000000.0,-793000000.0
changeToAccountReceivables,72000000.0,52000000.0,-32000000.0,-55000000.0
otherCashflowsFromFinancingActivities,-62000000.0,-38000000.0,21000000.0,-50000000.0
changeToNetincome,-1655000000.0,-731000000.0,-1000000000.0,-552000000.0
annualDilutedAverageShares,676729000.0,716192000.0,746430000.0,774650000.0
