,2021,2020,2019,2018
intangibleAssets,11383000000.0,10747000000.0,12393000000.0,13623000000.0
capitalSurplus,81851000000.0,81418000000.0,81345000000.0,81268000000.0
totalLiab,527200000000.0,519282000000.0,457637000000.0,434675000000.0
totalStockholderEquity,65471000000.0,65877000000.0,65190000000.0,56361000000.0
minorityInterest,2956000000.0,837000000.0,1752000000.0,948000000.0
deferredLongTermLiab,307000000.0,281000000.0,430000000.0,752000000.0
otherCurrentLiab,70352000000.0,72048000000.0,26203000000.0,24581000000.0
totalAssets,596112000000.0,586481000000.0,525064000000.0,491984000000.0
commonStock,4766000000.0,4766000000.0,4766000000.0,4766000000.0
otherCurrentAssets,77733000000.0,77132000000.0,41535000000.0,41961000000.0
retainedEarnings,23785000000.0,15504000000.0,23084000000.0,20884000000.0
otherLiab,346469000000.0,330980000000.0,317756000000.0,291915000000.0
goodWill,4056000000.0,4074000000.0,4038000000.0,4082000000.0
treasuryStock,-44931000000.0,-35811000000.0,-44005000000.0,-50557000000.0
otherAssets,177013000000.0,172466000000.0,172016000000.0,156437000000.0
cash,2198000000.0,2827000000.0,2856000000.0,2873000000.0
totalCurrentLiabilities,149658000000.0,149768000000.0,104531000000.0,108220000000.0
deferredLongTermAssetCharges,11714000000.0,12624000000.0,13146000000.0,15221000000.0
shortLongTermDebt,68000000.0,,,
otherStockholderEquity,6687000000.0,13511000000.0,4982000000.0,-1413000000.0
propertyPlantEquipment,1000000000.0,906000000.0,,
totalCurrentAssets,105500000000.0,109315000000.0,67707000000.0,65377000000.0
longTermInvestments,297160000000.0,288973000000.0,268910000000.0,252465000000.0
netTangibleAssets,61115000000.0,61484000000.0,60819000000.0,51919000000.0
shortTermInvestments,13160000000.0,18023000000.0,13042000000.0,9532000000.0
netReceivables,12409000000.0,11333000000.0,10274000000.0,11011000000.0
longTermDebt,30095000000.0,37534000000.0,35350000000.0,34540000000.0
accountsPayable,79026000000.0,77720000000.0,78328000000.0,83639000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12099000000.0,-7293000000.0,5287000000.0,257000000.0
netIncome,9388000000.0,-5944000000.0,3348000000.0,-6000000.0
sellingGeneralAdministrative,8357000000.0,7961000000.0,8319000000.0,8907000000.0
grossProfit,19531000000.0,10698000000.0,15119000000.0,11038000000.0
ebit,11174000000.0,2737000000.0,6800000000.0,2131000000.0
operatingIncome,11174000000.0,2737000000.0,6800000000.0,2131000000.0
otherOperatingExpenses,,,,
interestExpense,-1305000000.0,-1457000000.0,-1417000000.0,-1309000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2176000000.0,-1460000000.0,1166000000.0,154000000.0
totalRevenue,52049000000.0,43337000000.0,49517000000.0,47590000000.0
totalOperatingExpenses,40875000000.0,40600000000.0,42717000000.0,45459000000.0
costOfRevenue,32518000000.0,32639000000.0,34398000000.0,36552000000.0
totalOtherIncomeExpenseNet,925000000.0,-10030000000.0,-1513000000.0,-1874000000.0
discontinuedOperations,,4000000.0,48000000.0,-42000000.0
netIncomeFromContinuingOps,9923000000.0,-5833000000.0,4121000000.0,103000000.0
netIncomeApplicableToCommonShares,9359000000.0,-5973000000.0,3326000000.0,-6000000.0
investments,-6222000000.0,-10196000000.0,-3291000000.0,11298000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-3280000000.0,-6202000000.0,-5475000000.0,-223000000.0
netBorrowings,-4196000000.0,1618000000.0,679000000.0,1062000000.0
totalCashFromFinancingActivities,-3735000000.0,5058000000.0,7258000000.0,1249000000.0
changeToOperatingActivities,-2342000000.0,-4368000000.0,-10781000000.0,-7415000000.0
changeInCash,-803000000.0,-57000000.0,-71000000.0,621000000.0
repurchaseOfStock,-2592000000.0,-500000000.0,-500000000.0,-1739000000.0
effectOfExchangeRate,-67000000.0,49000000.0,16000000.0,-11000000.0
totalCashFromOperatingActivities,6279000000.0,1038000000.0,-1807000000.0,-394000000.0
depreciation,4633000000.0,4120000000.0,5006000000.0,5362000000.0
otherCashflowsFromInvestingActivities,-995000000.0,6000000.0,1503000000.0,200000000.0
dividendsPaid,-1112000000.0,-1132000000.0,-1136000000.0,-1138000000.0
changeToAccountReceivables,-655000000.0,2586000000.0,437000000.0,887000000.0
otherCashflowsFromFinancingActivities,4165000000.0,5072000000.0,7230000000.0,3064000000.0
changeToNetincome,-6059000000.0,7078000000.0,-729000000.0,778000000.0
annualDilutedAverageShares,864884879.0,869309458.0,889511946.0,910141242.0
