,2021,2020,2019,2018
intangibleAssets,10113600000.0,9236400000.0,9212500000.0,8883200000.0
capitalSurplus,1695000000.0,1956800000.0,4537700000.0,4495600000.0
totalLiab,28421800000.0,38695100000.0,38609100000.0,35955400000.0
totalStockholderEquity,5489700000.0,5948500000.0,5649900000.0,5109100000.0
otherCurrentLiab,19688500000.0,29404400000.0,16603600000.0,15648000000.0
totalAssets,33911500000.0,44649900000.0,44291200000.0,41089300000.0
commonStock,700000.0,600000.0,1600000.0,1600000.0
otherCurrentAssets,7317900000.0,19891100000.0,9724500000.0,9291500000.0
retainedEarnings,4066800000.0,3548700000.0,5966400000.0,5759700000.0
otherLiab,636500000.0,1477700000.0,11832500000.0,11090700000.0
goodWill,2571600000.0,2589300000.0,2343400000.0,2321800000.0
treasuryStock,-272800000.0,442400000.0,-4855800000.0,-5147800000.0
otherAssets,900900000.0,579000000.0,3175300000.0,2973100000.0
cash,2040800000.0,2207600000.0,1900000000.0,1316600000.0
totalCurrentLiabilities,25539700000.0,34936800000.0,23090200000.0,21542000000.0
otherStockholderEquity,-150000000.0,709800000.0,411500000.0,-155400000.0
propertyPlantEquipment,609100000.0,513100000.0,503200000.0,392500000.0
totalCurrentAssets,11549000000.0,23939600000.0,13749100000.0,12671400000.0
longTermInvestments,8167300000.0,7792500000.0,15307700000.0,13847300000.0
netTangibleAssets,2198900000.0,2663000000.0,2766300000.0,2164900000.0
shortTermInvestments,247800000.0,292000000.0,402500000.0,373200000.0
netReceivables,1942500000.0,1548900000.0,1722100000.0,1690100000.0
longTermDebt,2202500000.0,2202900000.0,3610000000.0,3322700000.0
accountsPayable,5141100000.0,4783300000.0,5946100000.0,5555400000.0
minorityInterest,,3400000.0,29300000.0,21900000.0
shortLongTermDebt,,50000000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,783000000.0,580800000.0,454700000.0,333500000.0
netIncome,1372400000.0,441800000.0,382600000.0,251000000.0
sellingGeneralAdministrative,,,,
grossProfit,1161700000.0,933100000.0,862000000.0,767700000.0
ebit,917200000.0,695500000.0,612900000.0,458100000.0
operatingIncome,917200000.0,695500000.0,612900000.0,458100000.0
otherOperatingExpenses,170700000.0,181500000.0,197300000.0,270600000.0
interestExpense,-111800000.0,-104500000.0,-110600000.0,-100300000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,169500000.0,60400000.0,148300000.0,80900000.0
totalRevenue,10187600000.0,9589600000.0,9406100000.0,8000700000.0
totalOperatingExpenses,9270400000.0,8894100000.0,8793200000.0,7542600000.0
costOfRevenue,9025900000.0,8656500000.0,8544100000.0,7233000000.0
totalOtherIncomeExpenseNet,-134200000.0,-114700000.0,-158200000.0,-124600000.0
discontinuedOperations,758900000.0,-77700000.0,80400000.0,80400000.0
netIncomeFromContinuingOps,613500000.0,520400000.0,306400000.0,252600000.0
netIncomeApplicableToCommonShares,1367700000.0,423100000.0,363900000.0,236800000.0
investments,-697900000.0,14800000.0,-244600000.0,-51100000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,157600000.0,-735200000.0,-619800000.0,-2202500000.0
netBorrowings,-72600000.0,242500000.0,235500000.0,1823900000.0
totalCashFromFinancingActivities,-1089800000.0,-264800000.0,-179200000.0,1838000000.0
changeToOperatingActivities,338000000.0,-41000000.0,397400000.0,234700000.0
changeInCash,-173800000.0,361500000.0,613100000.0,257200000.0
repurchaseOfStock,-854900000.0,-307300000.0,-271800000.0,-139300000.0
effectOfExchangeRate,-23300000.0,19500000.0,-1300000.0,-35000000.0
totalCashFromOperatingActivities,781700000.0,1342000000.0,1413400000.0,656700000.0
depreciation,171600000.0,142300000.0,125500000.0,126900000.0
otherCashflowsFromInvestingActivities,-142000000.0,-190900000.0,-275400000.0,2600000.0
dividendsPaid,-162300000.0,-173300000.0,-170100000.0,-148000000.0
changeToAccountReceivables,-424200000.0,194000000.0,-58500000.0,-220200000.0
changeToNetincome,-519000000.0,580500000.0,552300000.0,127000000.0
capitalExpenditures,-187400000.0,-121200000.0,-110300000.0,-82800000.0
otherCashflowsFromFinancingActivities,,-26700000.0,27200000.0,25000000.0
annualDilutedAverageShares,60123694.0,63179938.0,62313468.0,59545524.0
