,2021,2020,2019,2018
intangibleAssets,3954000000.0,2399900000.0,2318700000.0,1773000000.0
capitalSurplus,6143700000.0,4264400000.0,3825700000.0,3541900000.0
totalLiab,24784900000.0,16098700000.0,14419300000.0,11764300000.0
totalStockholderEquity,8508400000.0,6186200000.0,5155500000.0,4498900000.0
minorityInterest,51700000.0,46500000.0,60000000.0,70800000.0
otherCurrentLiab,522200000.0,476200000.0,435900000.0,384200000.0
totalAssets,33345000000.0,22331400000.0,19634800000.0,16334000000.0
commonStock,208500000.0,193700000.0,188100000.0,184000000.0
otherCurrentAssets,4193400000.0,3011700000.0,2117400000.0,1721200000.0
retainedEarnings,2882300000.0,2371700000.0,1901300000.0,1558600000.0
otherLiab,1918900000.0,1365900000.0,1318300000.0,979300000.0
goodWill,8666200000.0,6127000000.0,5618500000.0,4625600000.0
treasuryStock,-726100000.0,-643600000.0,-759600000.0,-785600000.0
otherAssets,2186100000.0,1833300000.0,1673800000.0,1320300000.0
cash,402600000.0,664600000.0,604800000.0,607200000.0
totalCurrentLiabilities,16735000000.0,10135000000.0,8921000000.0,7693600000.0
deferredLongTermAssetCharges,1228500000.0,1085800000.0,945600000.0,806200000.0
shortLongTermDebt,246300000.0,129500000.0,645000000.0,378000000.0
otherStockholderEquity,-726100000.0,-643600000.0,-759600000.0,-785600000.0
propertyPlantEquipment,859400000.0,824600000.0,860900000.0,436900000.0
totalCurrentAssets,17670400000.0,11124200000.0,9117500000.0,8118700000.0
longTermInvestments,8900000.0,22400000.0,45400000.0,59500000.0
netTangibleAssets,-4111800000.0,-2340700000.0,-2781700000.0,-1899700000.0
netReceivables,12902700000.0,7335800000.0,6279800000.0,5682100000.0
longTermDebt,5821700000.0,4276900000.0,3839100000.0,3091400000.0
accountsPayable,13845600000.0,7784600000.0,6348500000.0,5740200000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,975100000.0,870900000.0,626100000.0,479400000.0
netIncome,906800000.0,818800000.0,668800000.0,633500000.0
sellingGeneralAdministrative,1013000000.0,878300000.0,1068500000.0,903700000.0
grossProfit,2942300000.0,2510500000.0,2201900000.0,1868900000.0
ebit,1380600000.0,1121500000.0,659000000.0,556800000.0
operatingIncome,1380600000.0,1121500000.0,659000000.0,556800000.0
otherOperatingExpenses,,,,
interestExpense,-226100000.0,-196400000.0,-179800000.0,-138400000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,20100000.0,12800000.0,-89700000.0,-196500000.0
totalRevenue,7974400000.0,6781800000.0,6894200000.0,6711200000.0
totalOperatingExpenses,6593800000.0,5660300000.0,6235200000.0,6154400000.0
costOfRevenue,5032100000.0,4271300000.0,4692300000.0,4842300000.0
totalOtherIncomeExpenseNet,-405500000.0,-250600000.0,-32900000.0,-77400000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,955000000.0,858100000.0,715800000.0,675900000.0
netIncomeApplicableToCommonShares,906800000.0,818800000.0,668800000.0,633500000.0
investments,-1100000.0,-1400000.0,-52000000.0,-15600000.0
changeToLiabilities,23100000.0,18500000.0,12800000.0,-197600000.0
totalCashflowsFromInvestingActivities,-3431700000.0,-471400000.0,-1448500000.0,-910300000.0
netBorrowings,1759000000.0,-79100000.0,999200000.0,507900000.0
totalCashFromFinancingActivities,2684100000.0,-505100000.0,638400000.0,162000000.0
changeToOperatingActivities,167300000.0,1238500000.0,563900000.0,707900000.0
issuanceOfStock,1546700000.0,111900000.0,101200000.0,81900000.0
changeInCash,892000000.0,950400000.0,387100000.0,-68200000.0
effectOfExchangeRate,-64500000.0,119800000.0,6100000.0,-85000000.0
totalCashFromOperatingActivities,1704100000.0,1807100000.0,1191100000.0,765100000.0
depreciation,548700000.0,510700000.0,474300000.0,408400000.0
dividendsPaid,-392000000.0,-347400000.0,-321100000.0,-301800000.0
changeToAccountReceivables,132900000.0,-796500000.0,-434700000.0,-783100000.0
otherCashflowsFromFinancingActivities,-229600000.0,-190500000.0,-140900000.0,-114700000.0
changeToNetincome,49100000.0,-34700000.0,-129500000.0,42000000.0
capitalExpenditures,-128600000.0,-99300000.0,-138800000.0,-124400000.0
repurchaseOfStock,,,,-11300000.0
annualDilutedAverageShares,207346000.0,195048000.0,190145000.0,186164000.0
