,2021,2020,2019,2018
intangibleAssets,313225000.0,234724000.0,179431000.0,168348000.0
capitalSurplus,3340822000.0,3664820000.0,3653486000.0,3670033000.0
totalLiab,3608659000.0,3512834000.0,3348928000.0,2269910000.0
totalStockholderEquity,4530014000.0,4251296000.0,3657958000.0,3191860000.0
deferredLongTermLiab,30436000.0,23200000.0,25698000.0,26338000.0
otherCurrentLiab,166086000.0,155167000.0,120403000.0,133300000.0
totalAssets,8138673000.0,7764130000.0,7006886000.0,5461770000.0
commonStock,1605000.0,1627000.0,1620000.0,1629000.0
otherCurrentAssets,92243000.0,105659000.0,88756000.0,107862000.0
retainedEarnings,1256692000.0,605050000.0,47996000.0,-430890000.0
otherLiab,135064000.0,132553000.0,123620000.0,185121000.0
goodWill,2156254000.0,1674371000.0,1600265000.0,1487404000.0
treasuryStock,-69105000.0,-20201000.0,-45144000.0,-48912000.0
otherAssets,303129000.0,254485000.0,249590000.0,150980000.0
cash,536725000.0,352917000.0,393745000.0,1036455000.0
totalCurrentLiabilities,790341000.0,758170000.0,693336000.0,1210709000.0
deferredLongTermAssetCharges,168342000.0,106918000.0,76528000.0,34913000.0
otherStockholderEquity,-69105000.0,-20201000.0,-45144000.0,-48912000.0
propertyPlantEquipment,2350083000.0,2272217000.0,1910603000.0,910618000.0
totalCurrentAssets,1920434000.0,1929531000.0,2231613000.0,2535354000.0
longTermInvestments,1095548000.0,1398802000.0,835384000.0,209066000.0
netTangibleAssets,2060535000.0,2342201000.0,1878262000.0,1536108000.0
shortTermInvestments,541470000.0,745156000.0,1143249000.0,855650000.0
netReceivables,675926000.0,660052000.0,551943000.0,479889000.0
longTermDebt,1976167000.0,1906707000.0,1839791000.0,874080000.0
accountsPayable,109928000.0,118546000.0,138946000.0,99089000.0
shortLongTermDebt,,,,686552000.0
researchDevelopment,335372000.0,269315000.0,261365000.0,246165000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,714213000.0,602976000.0,531385000.0,343089000.0
minorityInterest,,,,
netIncome,651642000.0,557054000.0,478035000.0,298373000.0
sellingGeneralAdministrative,1001674000.0,1032439000.0,1022529000.0,1065922000.0
grossProfit,2192267000.0,2065477000.0,1905993000.0,1760989000.0
ebit,807202000.0,721674000.0,583518000.0,415591000.0
operatingIncome,807202000.0,721674000.0,583518000.0,415591000.0
otherOperatingExpenses,,,,
interestExpense,-72332000.0,-69120000.0,-49364000.0,-43202000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,62571000.0,45922000.0,53350000.0,44716000.0
totalRevenue,3461223000.0,3198149000.0,2893617000.0,2714474000.0
totalOperatingExpenses,2654021000.0,2476475000.0,2310099000.0,2298883000.0
costOfRevenue,1268956000.0,1132672000.0,987624000.0,953485000.0
totalOtherIncomeExpenseNet,-92989000.0,-118698000.0,-52133000.0,-72502000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,651642000.0,557054000.0,478035000.0,298373000.0
netIncomeApplicableToCommonShares,651642000.0,557054000.0,478035000.0,298373000.0
investments,501478000.0,-154848000.0,-940927000.0,-98647000.0
changeToLiabilities,28658000.0,37893000.0,-4778000.0,41319000.0
totalCashflowsFromInvestingActivities,-646899000.0,-1042974000.0,-1667934000.0,-506533000.0
totalCashFromFinancingActivities,-562003000.0,-223641000.0,-35677000.0,233608000.0
changeToOperatingActivities,-45086000.0,-17395000.0,-33614000.0,19432000.0
issuanceOfStock,59632000.0,59775000.0,57112000.0,62608000.0
changeInCash,184285000.0,-40680000.0,-642841000.0,722558000.0
repurchaseOfStock,-621367000.0,-283416000.0,-409785000.0,-814305000.0
effectOfExchangeRate,-11376000.0,10935000.0,2466000.0,-12844000.0
totalCashFromOperatingActivities,1404563000.0,1215000000.0,1058304000.0,1008327000.0
depreciation,386466000.0,319963000.0,271886000.0,287656000.0
otherCashflowsFromInvestingActivities,-4322000.0,8121000.0,399000.0,-2066000.0
changeToAccountReceivables,-24096000.0,-90381000.0,-64471000.0,-30445000.0
otherCashflowsFromFinancingActivities,-268000.0,-268000.0,-128633000.0,-146880000.0
changeToNetincome,176788000.0,186617000.0,196601000.0,203170000.0
capitalExpenditures,-328969000.0,-550689000.0,-359667000.0,-217609000.0
netBorrowings,,,445629000.0,1132185000.0
annualDilutedAverageShares,165804000.0,165213000.0,164572999.0,169187999.0
