,2021,2020,2019,2018
intangibleAssets,308947000.0,349105000.0,354622000.0,386143000.0
capitalSurplus,2920007000.0,1438038000.0,1383446000.0,1368897000.0
totalLiab,5168511000.0,5982352000.0,5767283000.0,3822566000.0
totalStockholderEquity,5625266000.0,4268227000.0,3932250000.0,3585321000.0
minorityInterest,180341000.0,200367000.0,161330000.0,173787000.0
otherCurrentLiab,538341000.0,215083000.0,335524000.0,96040000.0
totalAssets,10974118000.0,10450946000.0,9860863000.0,7581674000.0
commonStock,1170000.0,1069000.0,1061000.0,1056000.0
otherCurrentAssets,5798000.0,13865000.0,6930000.0,1933000.0
retainedEarnings,3096539000.0,3155252000.0,2943478000.0,2566050000.0
otherLiab,1162860000.0,1296357000.0,1380680000.0,1241477000.0
goodWill,1597627000.0,1665520000.0,1578785000.0,1567169000.0
treasuryStock,-392450000.0,-326132000.0,-395735000.0,-350682000.0
otherAssets,97498000.0,82976000.0,79197000.0,80135000.0
cash,439272000.0,746724000.0,613110000.0,555320000.0
totalCurrentLiabilities,1874335000.0,1801849000.0,1408996000.0,1183173000.0
deferredLongTermAssetCharges,18797000.0,20317000.0,15275000.0,17029000.0
shortLongTermDebt,388500000.0,804039000.0,186700000.0,307294000.0
otherStockholderEquity,-392450000.0,-326132000.0,-395735000.0,-350682000.0
propertyPlantEquipment,6064357000.0,5490917000.0,5043337000.0,3021084000.0
totalCurrentAssets,2007981000.0,2206184000.0,2225109000.0,1998421000.0
longTermInvestments,897708000.0,656244000.0,579813000.0,528722000.0
netTangibleAssets,3718692000.0,2253602000.0,1998843000.0,1632009000.0
netReceivables,700058000.0,637827000.0,752448000.0,697456000.0
longTermDebt,1930308000.0,2708838000.0,2804033000.0,1393421000.0
inventory,812920000.0,750237000.0,768984000.0,700540000.0
accountsPayable,647986000.0,483221000.0,574138000.0,522516000.0
researchDevelopment,54026000.0,59214000.0,58287000.0,70054000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,229388000.0,501040000.0,692518000.0,883965000.0
netIncome,123672000.0,375764000.0,533228000.0,693562000.0
sellingGeneralAdministrative,359756000.0,444431000.0,491109000.0,415021000.0
grossProfit,1008471000.0,996853000.0,1258478000.0,1234756000.0
ebit,594689000.0,493208000.0,709082000.0,749681000.0
operatingIncome,594689000.0,493208000.0,709082000.0,749681000.0
otherOperatingExpenses,,,,
interestExpense,-32521000.0,-73116000.0,-52866000.0,-52405000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,29446000.0,54425000.0,88161000.0,144826000.0
totalRevenue,3327957000.0,3128909000.0,3589427000.0,3374950000.0
totalOperatingExpenses,2733268000.0,2635701000.0,2880345000.0,2625269000.0
costOfRevenue,2319486000.0,2132056000.0,2330949000.0,2140194000.0
totalOtherIncomeExpenseNet,-365301000.0,7832000.0,-16564000.0,134284000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,199942000.0,446615000.0,604357000.0,739139000.0
netIncomeApplicableToCommonShares,123672000.0,375764000.0,533228000.0,693562000.0
investments,-2714000.0,9476000.0,-2185000.0,-5870000.0
changeToLiabilities,143939000.0,-31519000.0,-12234000.0,73730000.0
totalCashflowsFromInvestingActivities,-666590000.0,-863573000.0,-1663625000.0,-303695000.0
netBorrowings,-1112832000.0,339798000.0,1296228000.0,-113567000.0
totalCashFromFinancingActivities,50212000.0,177261000.0,1042687000.0,-786526000.0
changeToOperatingActivities,144479000.0,-207109000.0,-37581000.0,-4180000.0
issuanceOfStock,1472280000.0,40437000.0,4814000.0,3633000.0
changeInCash,-307452000.0,133614000.0,57790000.0,-581983000.0
repurchaseOfStock,-8140000.0,-5143000.0,-11031000.0,-517240000.0
effectOfExchangeRate,-35331000.0,21012000.0,-40646000.0,-37927000.0
totalCashFromOperatingActivities,344257000.0,798914000.0,719374000.0,546165000.0
depreciation,254000000.0,231984000.0,213484000.0,200698000.0
dividendsPaid,-177853000.0,-161818000.0,-152204000.0,-144596000.0
changeToInventory,-127401000.0,51978000.0,-46304000.0,-124067000.0
changeToAccountReceivables,-49295000.0,100118000.0,-18220000.0,-97448000.0
otherCashflowsFromFinancingActivities,-123243000.0,-36013000.0,-95120000.0,-14756000.0
changeToNetincome,-145137000.0,277698000.0,87001000.0,-196130000.0
capitalExpenditures,-953667000.0,-850477000.0,-851796000.0,-699991000.0
annualDilutedAverageShares,116536000.0,106808000.0,106321000.0,109458000.0
