,2021,2020,2019,2018
intangibleAssets,2044000000.0,2050000000.0,122000000.0,127000000.0
capitalSurplus,494000000.0,391000000.0,305000000.0,232000000.0
totalLiab,10150000000.0,11058000000.0,8662000000.0,7161000000.0
totalStockholderEquity,3801000000.0,2988000000.0,4331000000.0,3751000000.0
otherCurrentLiab,2128000000.0,1860000000.0,1650000000.0,1493000000.0
totalAssets,13951000000.0,14046000000.0,12993000000.0,10912000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,71000000.0,11000000.0,8000000.0,2000000.0
retainedEarnings,4242000000.0,3764000000.0,5133000000.0,4534000000.0
otherLiab,2704000000.0,3125000000.0,2753000000.0,2598000000.0
treasuryStock,-936000000.0,-1168000000.0,-1108000000.0,-1016000000.0
otherAssets,780000000.0,962000000.0,809000000.0,706000000.0
cash,470000000.0,1370000000.0,221000000.0,105000000.0
totalCurrentLiabilities,3991000000.0,4293000000.0,3201000000.0,2942000000.0
shortLongTermDebt,372000000.0,1148000000.0,240000000.0,489000000.0
otherStockholderEquity,-262000000.0,-494000000.0,-465000000.0,-448000000.0
propertyPlantEquipment,7207000000.0,7028000000.0,8080000000.0,6342000000.0
totalCurrentAssets,3920000000.0,4006000000.0,2037000000.0,1787000000.0
netTangibleAssets,1757000000.0,938000000.0,2266000000.0,1681000000.0
shortTermInvestments,2646000000.0,1976000000.0,1300000000.0,1131000000.0
netReceivables,546000000.0,480000000.0,323000000.0,366000000.0
longTermDebt,2176000000.0,2372000000.0,1269000000.0,1621000000.0
inventory,62000000.0,57000000.0,72000000.0,60000000.0
accountsPayable,200000000.0,108000000.0,146000000.0,132000000.0
goodWill,,,1943000000.0,1943000000.0
longTermInvestments,,,2000000.0,7000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,629000000.0,-1840000000.0,1016000000.0,585000000.0
minorityInterest,,,,
netIncome,478000000.0,-1324000000.0,769000000.0,437000000.0
sellingGeneralAdministrative,173000000.0,101000000.0,313000000.0,326000000.0
grossProfit,939000000.0,-680000000.0,2366000000.0,2089000000.0
ebit,-257000000.0,-1711000000.0,1071000000.0,793000000.0
operatingIncome,-257000000.0,-1711000000.0,1071000000.0,793000000.0
otherOperatingExpenses,629000000.0,510000000.0,559000000.0,572000000.0
interestExpense,-117000000.0,-87000000.0,-63000000.0,-73000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,151000000.0,-516000000.0,247000000.0,148000000.0
totalRevenue,6176000000.0,3566000000.0,8781000000.0,8264000000.0
totalOperatingExpenses,6433000000.0,5277000000.0,7710000000.0,7471000000.0
costOfRevenue,5237000000.0,4246000000.0,6415000000.0,6175000000.0
totalOtherIncomeExpenseNet,886000000.0,-129000000.0,-55000000.0,-208000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,478000000.0,-1324000000.0,769000000.0,437000000.0
netIncomeApplicableToCommonShares,478000000.0,-1324000000.0,769000000.0,437000000.0
investments,-706000000.0,-644000000.0,-136000000.0,282000000.0
changeToLiabilities,275000000.0,161000000.0,437000000.0,277000000.0
totalCashflowsFromInvestingActivities,-1008000000.0,-593000000.0,-791000000.0,-631000000.0
netBorrowings,-971000000.0,1999000000.0,-608000000.0,-468000000.0
totalCashFromFinancingActivities,-914000000.0,1981000000.0,-813000000.0,-647000000.0
changeToOperatingActivities,-91000000.0,-202000000.0,21000000.0,61000000.0
changeInCash,-892000000.0,1154000000.0,118000000.0,-83000000.0
totalCashFromOperatingActivities,1030000000.0,-234000000.0,1722000000.0,1195000000.0
depreciation,394000000.0,420000000.0,423000000.0,398000000.0
otherCashflowsFromInvestingActivities,-12000000.0,-6000000.0,13000000.0,31000000.0
changeToAccountReceivables,-66000000.0,-160000000.0,43000000.0,-25000000.0
otherCashflowsFromFinancingActivities,57000000.0,58000000.0,43000000.0,29000000.0
changeToNetincome,40000000.0,871000000.0,29000000.0,47000000.0
capitalExpenditures,-292000000.0,-222000000.0,-696000000.0,-960000000.0
repurchaseOfStock,,-31000000.0,-75000000.0,-50000000.0
dividendsPaid,,-45000000.0,-173000000.0,-158000000.0
annualDilutedAverageShares,126775000.0,123450000.0,124289000.0,123975000.0
