,2021,2020,2019,2018
intangibleAssets,6142000000.0,4227000000.0,5180000000.0,5497000000.0
capitalSurplus,3722000000.0,3498000000.0,3463000000.0,3310000000.0
totalLiab,74313000000.0,95770000000.0,93952000000.0,90937000000.0
totalStockholderEquity,23209000000.0,28247000000.0,23750000000.0,19382000000.0
minorityInterest,-52000000.0,,,
otherCurrentLiab,19856000000.0,49297000000.0,15850000000.0,14779000000.0
totalAssets,99440000000.0,125987000000.0,119950000000.0,112249000000.0
commonStock,9000000.0,9000000.0,9000000.0,9000000.0
otherCurrentAssets,10447000000.0,49746000000.0,9968000000.0,10304000000.0
retainedEarnings,53294000000.0,52767000000.0,48074000000.0,44033000000.0
otherLiab,11831000000.0,9570000000.0,42244000000.0,41277000000.0
goodWill,3502000000.0,2369000000.0,2545000000.0,2530000000.0
treasuryStock,-33816000000.0,-28027000000.0,-27796000000.0,-27970000000.0
otherAssets,7631000000.0,4259000000.0,14184000000.0,13403000000.0
cash,763000000.0,311000000.0,338000000.0,499000000.0
totalCurrentLiabilities,54136000000.0,77864000000.0,44491000000.0,43209000000.0
shortLongTermDebt,2000000.0,,,
otherStockholderEquity,655000000.0,3304000000.0,1950000000.0,115000000.0
propertyPlantEquipment,1253000000.0,1450000000.0,1628000000.0,1045000000.0
totalCurrentAssets,23584000000.0,63327000000.0,21034000000.0,19985000000.0
longTermInvestments,57328000000.0,50355000000.0,75379000000.0,69789000000.0
netTangibleAssets,18287000000.0,25425000000.0,20724000000.0,16139000000.0
shortTermInvestments,4009000000.0,6807000000.0,4256000000.0,3027000000.0
netReceivables,8364000000.0,6463000000.0,6472000000.0,6154000000.0
longTermDebt,7976000000.0,7825000000.0,6631000000.0,6451000000.0
accountsPayable,34183000000.0,28567000000.0,28641000000.0,28430000000.0
deferredLongTermLiab,,,27000000.0,34000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6448000000.0,6802000000.0,5443000000.0,2628000000.0
netIncome,1599000000.0,5576000000.0,4847000000.0,2160000000.0
sellingGeneralAdministrative,6594000000.0,5443000000.0,5536000000.0,6062000000.0
grossProfit,13969000000.0,13882000000.0,11577000000.0,9188000000.0
ebit,6999000000.0,8321000000.0,5915000000.0,3021000000.0
operatingIncome,6999000000.0,8321000000.0,5915000000.0,3021000000.0
otherOperatingExpenses,,,,
interestExpense,-330000000.0,-318000000.0,-327000000.0,-332000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1289000000.0,1373000000.0,1116000000.0,468000000.0
totalRevenue,50588000000.0,41909000000.0,41541000000.0,39815000000.0
totalOperatingExpenses,43589000000.0,33588000000.0,35626000000.0,36794000000.0
costOfRevenue,36619000000.0,28027000000.0,29964000000.0,30627000000.0
totalOtherIncomeExpenseNet,-551000000.0,-1519000000.0,-472000000.0,-393000000.0
discontinuedOperations,-3593000000.0,147000000.0,520000000.0,520000000.0
netIncomeFromContinuingOps,5159000000.0,5429000000.0,4327000000.0,2160000000.0
netIncomeApplicableToCommonShares,1485000000.0,5461000000.0,4678000000.0,2012000000.0
investments,1751000000.0,-3787000000.0,-2207000000.0,-749000000.0
changeToLiabilities,1618000000.0,598000000.0,801000000.0,915000000.0
totalCashflowsFromInvestingActivities,510000000.0,-3441000000.0,-2807000000.0,-1719000000.0
netBorrowings,-436000000.0,1189000000.0,174000000.0,98000000.0
totalCashFromFinancingActivities,-5240000000.0,-2011000000.0,-2483000000.0,-3574000000.0
changeToOperatingActivities,-1557000000.0,-361000000.0,-323000000.0,372000000.0
issuanceOfStock,114000000.0,63000000.0,120000000.0,73000000.0
changeInCash,386000000.0,39000000.0,-161000000.0,-118000000.0
repurchaseOfStock,-3120000000.0,-1737000000.0,-1735000000.0,-2303000000.0
totalCashFromOperatingActivities,5116000000.0,5491000000.0,5129000000.0,5175000000.0
depreciation,1086000000.0,686000000.0,647000000.0,511000000.0
dividendsPaid,-999000000.0,-776000000.0,-787000000.0,-748000000.0
changeToAccountReceivables,-498000000.0,-3000000.0,-299000000.0,-396000000.0
otherCashflowsFromFinancingActivities,-349000000.0,-462000000.0,-537000000.0,-866000000.0
changeToNetincome,2519000000.0,-773000000.0,-1031000000.0,1993000000.0
capitalExpenditures,-345000000.0,-308000000.0,-433000000.0,-277000000.0
annualDilutedAverageShares,299100000.0,315500000.0,333500000.0,353200000.0
