,2022,2021,2020,2019,2018
intangibleAssets,339000000.0,104000000.0,153000000.0,156000000.0,213000000.0
capitalSurplus,,8247000000.0,7904000000.0,7595000000.0,7274000000.0
totalLiab,14532000000.0,13578000000.0,11775000000.0,10810000000.0,10788000000.0
totalStockholderEquity,12194000000.0,12247000000.0,10578000000.0,8214000000.0,6845000000.0
otherCurrentLiab,3142000000.0,3812000000.0,2402000000.0,2237000000.0,2137000000.0
totalAssets,26726000000.0,25825000000.0,22353000000.0,19024000000.0,17633000000.0
commonStock,12194000000.0,9000000.0,9000000.0,9000000.0,10000000.0
otherCurrentAssets,1344000000.0,593000000.0,162000000.0,96000000.0,40000000.0
retainedEarnings,,32246000000.0,27209000000.0,24386000000.0,20880000000.0
otherLiab,1696000000.0,1554000000.0,1673000000.0,1650000000.0,1557000000.0
goodWill,3700000000.0,3479000000.0,3466000000.0,3399000000.0,3368000000.0
treasuryStock,,-28255000000.0,-24544000000.0,-23776000000.0,-21319000000.0
otherAssets,2475000000.0,1852000000.0,1971000000.0,2031000000.0,473000000.0
cash,1995000000.0,4995000000.0,5351000000.0,3129000000.0,3440000000.0
totalCurrentLiabilities,7379000000.0,6344000000.0,4459000000.0,4447000000.0,3922000000.0
deferredLongTermAssetCharges,2370000000.0,1623000000.0,1711000000.0,1766000000.0,225000000.0
otherStockholderEquity,,-260000000.0,-299000000.0,-180000000.0,-125000000.0
propertyPlantEquipment,2307000000.0,2228000000.0,1856000000.0,1529000000.0,1407000000.0
totalCurrentAssets,15925000000.0,16107000000.0,13369000000.0,10206000000.0,10604000000.0
longTermInvestments,1980000000.0,2055000000.0,1538000000.0,1703000000.0,1568000000.0
netTangibleAssets,8155000000.0,8664000000.0,6959000000.0,4659000000.0,3264000000.0
shortTermInvestments,586000000.0,464000000.0,387000000.0,489000000.0,590000000.0
netReceivables,6068000000.0,5154000000.0,3111000000.0,2641000000.0,2422000000.0
longTermDebt,5457000000.0,5452000000.0,5448000000.0,4713000000.0,5309000000.0
inventory,5932000000.0,4309000000.0,3904000000.0,3474000000.0,3721000000.0
accountsPayable,4237000000.0,1472000000.0,1124000000.0,958000000.0,996000000.0
shortLongTermDebt,,,,600000000.0,
researchDevelopment,2771000000,2485000000.0,2234000000.0,2054000000.0,2022000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,7599000000,6771000000.0,4166000000.0,3269000000.0,4396000000.0
minorityInterest,,,,,
netIncome,6525000000,5888000000.0,3619000000.0,2706000000.0,3038000000.0
sellingGeneralAdministrative,1438000000,1184000000.0,1013000000.0,960000000.0,999000000.0
grossProfit,11993000000,10926000000.0,7715000000.0,6386000000.0,7517000000.0
ebit,7784000000,7257000000.0,4468000000.0,3372000000.0,4496000000.0
operatingIncome,7784000000,7257000000.0,4468000000.0,3372000000.0,4496000000.0
otherOperatingExpenses,,,,,
interestExpense,-228000000,-236000000.0,-240000000.0,-237000000.0,-234000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,1074000000,883000000.0,547000000.0,563000000.0,1358000000.0
totalRevenue,25785000000,23063000000.0,17202000000.0,14608000000.0,16705000000.0
totalOperatingExpenses,18001000000,15806000000.0,12734000000.0,11236000000.0,12209000000.0
costOfRevenue,13792000000,12137000000.0,9487000000.0,8222000000.0,9188000000.0
totalOtherIncomeExpenseNet,-185000000,-486000000.0,-302000000.0,-103000000.0,32000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,6525000000,5888000000.0,3619000000.0,2706000000.0,3038000000.0
netIncomeApplicableToCommonShares,6525000000,5888000000.0,3619000000.0,2706000000.0,3038000000.0
investments,-129000000.0,-536000000.0,399000000.0,26000000.0,1199000000.0
changeToLiabilities,0.0,1220000000.0,311000000.0,-112000000.0,245000000.0
totalCashflowsFromInvestingActivities,-1357000000.0,-1216000000.0,-130000000.0,-443000000.0,571000000.0
totalCashFromFinancingActivities,-7043000000.0,-4591000000.0,-1337000000.0,-3115000000.0,-5928000000.0
changeToOperatingActivities,-1792000000.0,-566000000.0,-91000000.0,-88000000.0,-174000000.0
issuanceOfStock,199000000.0,175000000.0,174000000.0,145000000.0,124000000.0
changeInCash,-3001000000.0,-365000000.0,2337000000.0,-311000000.0,-1570000000.0
repurchaseOfStock,-6369000000.0,-3928000000.0,-821000000.0,-2489000000.0,-5447000000.0
totalCashFromOperatingActivities,5399000000.0,5442000000.0,3804000000.0,3247000000.0,3787000000.0
depreciation,444000000.0,394000000.0,376000000.0,363000000.0,457000000.0
dividendsPaid,-873000000.0,-838000000.0,-787000000.0,-771000000.0,-605000000.0
changeToInventory,,-405000000.0,-421000000.0,248000000.0,-1014000000.0
changeToAccountReceivables,,-1989000000.0,-427000000.0,-207000000.0,16000000.0
changeToNetincome,222000000.0,504000000.0,447000000.0,293000000.0,333000000.0
capitalExpenditures,-787000000.0,-668000000.0,-422000000.0,-441000000.0,-622000000.0
netBorrowings,,,97000000.0,97000000.0,97000000.0
annualDilutedAverageShares,,919000000.0,923000000.0,945000000.0,
