,2022,2021,2020,2019
intangibleAssets,1657000000.0,1835000000.0,1994000000.0,2306800000.0
capitalSurplus,4431000000.0,5092000000.0,5480000000.0,6007500000.0
totalLiab,13285000000.0,12367000000.0,11755000000.0,11490300000.0
totalStockholderEquity,4082000000.0,4764000000.0,4626000000.0,5609000000.0
minorityInterest,59000000.0,57000000.0,61000000.0,65700000.0
otherCurrentLiab,1236000000.0,1041000000.0,1024000000.0,1058400000.0
totalAssets,17426000000.0,17188000000.0,16442000000.0,17165000000.0
commonStock,15000000.0,15000000.0,16000000.0,16300000.0
otherCurrentAssets,202000000.0,21000000.0,8000000.0,421200000.0
retainedEarnings,534000000.0,452000000.0,246000000.0,323700000.0
otherLiab,1280000000.0,1374000000.0,1287000000.0,1639500000.0
goodWill,5285000000.0,5419000000.0,5339000000.0,5156000000.0
treasuryStock,-898000000.0,-795000000.0,-1116000000.0,-738500000.0
otherAssets,425000000.0,371000000.0,324000000.0,385400000.0
cash,775000000.0,850000000.0,743000000.0,601600000.0
totalCurrentLiabilities,5103000000.0,4345000000.0,3974000000.0,4541800000.0
deferredLongTermAssetCharges,130000000.0,139000000.0,135000000.0,190900000.0
shortLongTermDebt,4000000.0,3000000.0,9000000.0,5400000.0
otherStockholderEquity,-880000000.0,-766000000.0,-1049000000.0,-722400000.0
propertyPlantEquipment,4206000000.0,4293000000.0,4140000000.0,3975000000.0
totalCurrentAssets,5853000000.0,5266000000.0,4535000000.0,5210100000.0
netTangibleAssets,-2860000000.0,-2490000000.0,-2707000000.0,-1853800000.0
netReceivables,1935000000.0,1864000000.0,1616000000.0,1864300000.0
longTermDebt,6357000000.0,6156000000.0,5997000000.0,5304700000.0
inventory,2439000000.0,1991000000.0,1832000000.0,1953800000.0
accountsPayable,3138000000.0,2574000000.0,2171000000.0,2303400000.0
longTermInvestments,,4000000.0,110000000.0,131700000.0
researchDevelopment,96000000.0,100000000.0,97000000.0,64000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1115000000.0,1212000000.0,811000000.0,608000000.0
netIncome,805000000.0,939000000.0,612000000.0,430000000.0
sellingGeneralAdministrative,1271000000.0,1279000000.0,1371000000.0,815000000.0
grossProfit,2820000000.0,2732000000.0,2536000000.0,1799000000.0
ebit,1477000000.0,1438000000.0,1103000000.0,1098000000.0
operatingIncome,1477000000.0,1438000000.0,1103000000.0,1098000000.0
otherOperatingExpenses,-24000000.0,-85000000.0,-35000000.0,-178000000.0
interestExpense,-159000000.0,-157000000.0,-207000000.0,-208000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,300000000.0,261000000.0,187000000.0,172000000.0
totalRevenue,14544000000.0,12861000000.0,12468000000.0,9458000000.0
totalOperatingExpenses,13067000000.0,11423000000.0,11365000000.0,8360000000.0
costOfRevenue,11724000000.0,10129000000.0,9932000000.0,7659000000.0
totalOtherIncomeExpenseNet,-362000000.0,-226000000.0,-292000000.0,-490000000.0
discontinuedOperations,,,-8000000.0,1000000.0
netIncomeFromContinuingOps,815000000.0,951000000.0,624000000.0,436000000.0
netIncomeApplicableToCommonShares,802000000.0,937000000.0,612000000.0,429000000.0
investments,-12000000.0,-5000000.0,-5000000.0,-5000000.0
changeToLiabilities,711000000.0,342000000.0,-48000000.0,120000000.0
totalCashflowsFromInvestingActivities,-527000000.0,-233000000.0,38000000.0,10000000.0
netBorrowings,471000000.0,-100000000.0,124000000.0,-60000000.0
totalCashFromFinancingActivities,-891000000.0,-1179000000.0,-1236000000.0,-765000000.0
changeToOperatingActivities,-20000000.0,-88000000.0,28000000.0,-33000000.0
issuanceOfStock,114000000.0,30000000.0,1000000.0,19000000.0
changeInCash,-75000000.0,107000000.0,141000000.0,-19000000.0
repurchaseOfStock,-744000000.0,-359000000.0,-604000000.0,-20000000.0
effectOfExchangeRate,-108000000.0,58000000.0,-45000000.0,1000000.0
totalCashFromOperatingActivities,1526000000.0,1461000000.0,1384000000.0,776000000.0
depreciation,582000000.0,564000000.0,630000000.0,378000000.0
otherCashflowsFromInvestingActivities,-5000000.0,-5000000.0,-5000000.0,-1000000.0
dividendsPaid,-723000000.0,-728000000.0,-748000000.0,-666000000.0
changeToInventory,-626000000.0,-112000000.0,26000000.0,3000000.0
changeToAccountReceivables,-272000000.0,-189000000.0,133000000.0,-84000000.0
otherCashflowsFromFinancingActivities,-9000000.0,-22000000.0,-9000000.0,-38000000.0
changeToNetincome,344000000.0,-5000000.0,-5000000.0,-44000000.0
capitalExpenditures,-527000000.0,-468000000.0,-400000000.0,-332000000.0
annualDilutedAverageShares,1516000000.0,1556000000.0,1602000000.0,1183800000.0
