,2021,2020,2019,2018
intangibleAssets,328000000.0,229000000.0,210000000.0,226000000.0
capitalSurplus,11069000000.0,10544000000.0,9963000000.0,8750000000.0
totalLiab,4922000000.0,3125000000.0,3201000000.0,3290000000.0
totalStockholderEquity,7497000000.0,5837000000.0,2827000000.0,1266000000.0
otherCurrentLiab,27000000.0,75000000.0,74000000.0,24000000.0
totalAssets,12419000000.0,8962000000.0,6028000000.0,4556000000.0
commonStock,12000000.0,12000000.0,12000000.0,10000000.0
retainedEarnings,-1451000000.0,-4605000000.0,-7095000000.0,-7436000000.0
otherLiab,333000000.0,177000000.0,157000000.0,192000000.0
goodWill,289000000.0,289000000.0,289000000.0,289000000.0
treasuryStock,-2133000000.0,-114000000.0,-53000000.0,-58000000.0
otherAssets,2081000000.0,1389000000.0,169000000.0,95000000.0
cash,2535000000.0,1595000000.0,1466000000.0,1078000000.0
totalCurrentLiabilities,4240000000.0,2417000000.0,2359000000.0,1984000000.0
deferredLongTermAssetCharges,931000000.0,1245000000.0,22000000.0,15000000.0
shortLongTermDebt,312000000.0,,,136000000.0
otherStockholderEquity,-3000000.0,17000000.0,,-8000000.0
propertyPlantEquipment,1069000000.0,849000000.0,705000000.0,348000000.0
totalCurrentAssets,8583000000.0,6143000000.0,4597000000.0,3540000000.0
longTermInvestments,69000000.0,63000000.0,58000000.0,58000000.0
netTangibleAssets,6880000000.0,5319000000.0,2328000000.0,751000000.0
shortTermInvestments,1073000000.0,695000000.0,37000000.0,78000000.0
netReceivables,2708000000.0,2076000000.0,1879000000.0,1251000000.0
longTermDebt,1000000.0,330000000.0,486000000.0,1114000000.0
inventory,1955000000.0,1399000000.0,982000000.0,845000000.0
accountsPayable,1406000000.0,546000000.0,1201000000.0,1041000000.0
otherCurrentAssets,,,8000000.0,11000000.0
researchDevelopment,2845000000.0,1983000000.0,1547000000.0,1434000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,3675000000.0,1280000000.0,372000000.0,328000000.0
minorityInterest,,,,
netIncome,3162000000.0,2490000000.0,341000000.0,337000000.0
sellingGeneralAdministrative,1448000000.0,995000000.0,750000000.0,562000000.0
grossProfit,7929000000.0,4347000000.0,2868000000.0,2447000000.0
ebit,3648000000.0,1369000000.0,631000000.0,451000000.0
operatingIncome,3648000000.0,1369000000.0,631000000.0,451000000.0
otherOperatingExpenses,-12000000.0,-12000000.0,-60000000.0,-60000000.0
interestExpense,-34000000.0,-47000000.0,-94000000.0,-121000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,513000000.0,-1210000000.0,31000000.0,-9000000.0
totalRevenue,16434000000.0,9763000000.0,6731000000.0,6475000000.0
totalOperatingExpenses,12786000000.0,8394000000.0,6100000000.0,6024000000.0
costOfRevenue,8505000000.0,5416000000.0,3863000000.0,4028000000.0
totalOtherIncomeExpenseNet,27000000.0,-89000000.0,-259000000.0,-123000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,3162000000.0,2490000000.0,341000000.0,337000000.0
netIncomeApplicableToCommonShares,3162000000.0,2490000000.0,341000000.0,337000000.0
investments,-378000000.0,-658000000.0,41000000.0,-78000000.0
changeToLiabilities,801000000.0,-513000000.0,153000000.0,212000000.0
totalCashflowsFromInvestingActivities,-686000000.0,-952000000.0,-149000000.0,-170000000.0
totalCashFromFinancingActivities,-1895000000.0,6000000.0,43000000.0,28000000.0
changeToOperatingActivities,-379000000.0,218000000.0,65000000.0,18000000.0
issuanceOfStock,104000000.0,85000000.0,523000000.0,70000000.0
changeInCash,940000000.0,125000000.0,387000000.0,-108000000.0
repurchaseOfStock,-1999000000.0,-78000000.0,-6000000.0,-6000000.0
totalCashFromOperatingActivities,3521000000.0,1071000000.0,493000000.0,34000000.0
depreciation,463000000.0,354000000.0,258000000.0,170000000.0
otherCashflowsFromInvestingActivities,-7000000.0,-7000000.0,27000000.0,71000000.0
changeToInventory,-556000000.0,-417000000.0,-137000000.0,-151000000.0
changeToAccountReceivables,-640000000.0,-219000000.0,-623000000.0,-806000000.0
changeToNetincome,665000000.0,-856000000.0,406000000.0,216000000.0
capitalExpenditures,-301000000.0,-294000000.0,-217000000.0,-163000000.0
otherCashflowsFromFinancingActivities,,-1000000.0,-1000000.0,5000000.0
netBorrowings,,,-473000000.0,-41000000.0
annualDilutedAverageShares,1229000000.0,1207000000.0,1120000000.0,1064000000.0
