,2021,2020,2019,2018
intangibleAssets,3368629000.0,2623719000.0,2762872000.0,2403771000.0
capitalSurplus,1012526000.0,921752000.0,832821000.0,706743000.0
totalLiab,5026303000.0,4408137000.0,4729067000.0,4420366000.0
totalStockholderEquity,6871884000.0,5949346000.0,5115492000.0,4241922000.0
otherCurrentLiab,524622000.0,413966000.0,370214000.0,350251000.0
totalAssets,11898187000.0,10357483000.0,9844559000.0,8662288000.0
commonStock,2689000.0,2676000.0,2662000.0,2640000.0
otherCurrentAssets,88331000.0,84034000.0,190375000.0,66320000.0
retainedEarnings,7900113000.0,7094656000.0,6387612000.0,5653811000.0
otherLiab,1104740000.0,922608000.0,889297000.0,887825000.0
goodWill,5238726000.0,4224906000.0,4047539000.0,3612033000.0
treasuryStock,-2043444000.0,-2069738000.0,-2107603000.0,-2121272000.0
otherAssets,364302000.0,283656000.0,271400000.0,248555000.0
cash,346772000.0,1212822000.0,393030000.0,353975000.0
totalCurrentLiabilities,1563314000.0,1075915000.0,1425858000.0,1258704000.0
deferredLongTermAssetCharges,26999000.0,12103000.0,12219000.0,9972000.0
shortLongTermDebt,315093000.0,132284000.0,497449000.0,358876000.0
otherStockholderEquity,-470444000.0,-504468000.0,-533139000.0,-551088000.0
propertyPlantEquipment,787062000.0,693763000.0,728587000.0,554130000.0
totalCurrentAssets,2128765000.0,2522470000.0,2025771000.0,1836144000.0
longTermInvestments,10703000.0,8969000.0,8390000.0,7655000.0
netTangibleAssets,-1735471000.0,-899279000.0,-1694919000.0,-1773882000.0
netReceivables,924487000.0,666443000.0,817799000.0,791105000.0
longTermDebt,2229148000.0,2281441000.0,2271292000.0,2273837000.0
inventory,769175000.0,559171000.0,624567000.0,624744000.0
accountsPayable,470252000.0,360370000.0,377219000.0,399571000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1223170000.0,1082309000.0,1069748000.0,987745000.0
minorityInterest,,,,
netIncome,990053000.0,872439000.0,861297000.0,777933000.0
sellingGeneralAdministrative,603944000.0,515630000.0,610280000.0,597433000.0
grossProfit,1912614000.0,1587214000.0,1787660000.0,1659562000.0
ebit,1308670000.0,1071584000.0,1177380000.0,1062129000.0
operatingIncome,1308670000.0,1071584000.0,1177380000.0,1062129000.0
otherOperatingExpenses,,,,
interestExpense,-80381000.0,-86062000.0,-88481000.0,-82180000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,233117000.0,209870000.0,208451000.0,209812000.0
totalRevenue,5546514000.0,4540029000.0,5158557000.0,4845872000.0
totalOperatingExpenses,4237844000.0,3468445000.0,3981177000.0,3783743000.0
costOfRevenue,3633900000.0,2952815000.0,3370897000.0,3186310000.0
totalOtherIncomeExpenseNet,-85500000.0,10725000.0,-107632000.0,-74384000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,990053000.0,872439000.0,861297000.0,777933000.0
netIncomeApplicableToCommonShares,990053000.0,872439000.0,861297000.0,777933000.0
changeToLiabilities,212101000.0,7017000.0,-58932000.0,36547000.0
totalCashflowsFromInvestingActivities,-2055842000.0,61630000.0,-1150925000.0,-1210044000.0
netBorrowings,183897000.0,-430950000.0,130705000.0,513399000.0
totalCashFromFinancingActivities,39337000.0,-539436000.0,72913000.0,13040000.0
changeToOperatingActivities,-35104000.0,20430000.0,-16845000.0,42814000.0
issuanceOfStock,60297000.0,64903000.0,90388000.0,30021000.0
changeInCash,-866050000.0,819792000.0,39055000.0,-292325000.0
repurchaseOfStock,-14711000.0,-4685000.0,-11924000.0,-367678000.0
effectOfExchangeRate,-10002000.0,16618000.0,2645000.0,-20839000.0
totalCashFromOperatingActivities,1160457000.0,1280980000.0,1114422000.0,925518000.0
depreciation,292112000.0,255275000.0,234042000.0,199490000.0
otherCashflowsFromInvestingActivities,-294000.0,-2481000.0,2060000.0,-1233000.0
dividendsPaid,-184595000.0,-165035000.0,-127496000.0,-128911000.0
changeToInventory,-129593000.0,77448000.0,16410000.0,-59472000.0
changeToAccountReceivables,-172791000.0,163471000.0,14398000.0,-13383000.0
otherCashflowsFromFinancingActivities,-5551000.0,-3669000.0,-8760000.0,-33791000.0
changeToNetincome,3679000.0,-115100000.0,64052000.0,-58411000.0
capitalExpenditures,-110671000.0,-74199000.0,-102346000.0,-82076000.0
annualDilutedAverageShares,,,,
