,2021,2020,2019,2018
intangibleAssets,15182000000.0,16587000000.0,19413000000.0,7443000000.0
totalLiab,54465000000.0,53539000000.0,50034000000.0,53916000000.0
totalStockholderEquity,6700000000.0,9409000000.0,9673000000.0,12500000000.0
otherCurrentLiab,2326000000.0,2320000000.0,2067000000.0,1449000000.0
totalAssets,61165000000.0,62948000000.0,59707000000.0,66416000000.0
commonStock,32096000000.0,31802000000.0,31531000000.0,31246000000.0
otherCurrentAssets,200000000.0,124000000.0,354000000.0,266000000.0
retainedEarnings,-24600000000.0,-21408000000.0,-21330000000.0,-17977000000.0
otherLiab,8534000000.0,8685000000.0,9861000000.0,10918000000.0
goodWill,14890000000.0,14689000000.0,14703000000.0,14699000000.0
treasuryStock,-796000000.0,-985000000.0,-528000000.0,-769000000.0
otherAssets,1455000000.0,1155000000.0,955000000.0,1015000000.0
cash,7989000000.0,6266000000.0,6037000000.0,6945000000.0
totalCurrentLiabilities,12184000000.0,11653000000.0,12835000000.0,13488000000.0
shortLongTermDebt,87000000.0,91000000.0,2953000000.0,4419000000.0
otherStockholderEquity,-796000000.0,-985000000.0,-528000000.0,-769000000.0
propertyPlantEquipment,5750000000.0,5297000000.0,5397000000.0,4958000000.0
totalCurrentAssets,19385000000.0,21144000000.0,18440000000.0,37618000000.0
longTermInvestments,4503000000.0,4076000000.0,799000000.0,683000000.0
netTangibleAssets,-23372000000.0,-21867000000.0,-24443000000.0,-9642000000.0
shortTermInvestments,48000000.0,4381000000.0,2874000000.0,22359000000.0
netReceivables,5839000000.0,5324000000.0,4652000000.0,4201000000.0
longTermDebt,33222000000.0,32895000000.0,26950000000.0,29510000000.0
inventory,4086000000.0,3893000000.0,3584000000.0,2940000000.0
accountsPayable,1366000000.0,1421000000.0,1371000000.0,1207000000.0
researchDevelopment,4819000000.0,4207000000.0,4116000000.0,3737000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,6701000000.0,8133000000.0,9138000000.0,9545000000.0
minorityInterest,,,,
netIncome,5893000000.0,7264000000.0,7842000000.0,8394000000.0
sellingGeneralAdministrative,5368000000.0,5730000000.0,5150000000.0,5332000000.0
grossProfit,19525000000.0,19265000000.0,19006000000.0,19646000000.0
ebit,9338000000.0,9328000000.0,9740000000.0,10551000000.0
operatingIncome,9338000000.0,9328000000.0,9740000000.0,10551000000.0
otherOperatingExpenses,,,,26000000.0
interestExpense,-1197000000.0,-1038000000.0,-1289000000.0,-1392000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,808000000.0,869000000.0,1296000000.0,1151000000.0
totalRevenue,25979000000.0,25424000000.0,23362000000.0,23747000000.0
totalOperatingExpenses,16641000000.0,16096000000.0,13622000000.0,13196000000.0
costOfRevenue,6454000000.0,6159000000.0,4356000000.0,4101000000.0
totalOtherIncomeExpenseNet,-2637000000.0,-1195000000.0,-602000000.0,-1006000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5893000000.0,7264000000.0,7842000000.0,8394000000.0
netIncomeApplicableToCommonShares,5893000000.0,7264000000.0,7842000000.0,8394000000.0
investments,4177000000.0,-4718000000.0,19972000000.0,14987000000.0
changeToLiabilities,-69000000.0,45000000.0,164000000.0,-143000000.0
totalCashflowsFromInvestingActivities,733000000.0,-5401000000.0,5709000000.0,14339000000.0
netBorrowings,795000000.0,2464000000.0,-4514000000.0,-1121000000.0
totalCashFromFinancingActivities,-8271000000.0,-4867000000.0,-15767000000.0,-22490000000.0
changeToOperatingActivities,119000000.0,1112000000.0,406000000.0,1249000000.0
changeInCash,1723000000.0,229000000.0,-908000000.0,3145000000.0
repurchaseOfStock,-4975000000.0,-3486000000.0,-7702000000.0,-17794000000.0
totalCashFromOperatingActivities,9261000000.0,10497000000.0,9150000000.0,11296000000.0
depreciation,3244000000.0,3440000000.0,2035000000.0,1930000000.0
otherCashflowsFromInvestingActivities,-35000000.0,-75000000.0,-28000000.0,-105000000.0
dividendsPaid,-4013000000.0,-3755000000.0,-3509000000.0,-3507000000.0
changeToInventory,-165000000.0,-215000000.0,-66000000.0,-3000000.0
changeToAccountReceivables,-429000000.0,-427000000.0,-504000000.0,-378000000.0
otherCashflowsFromFinancingActivities,-78000000.0,-90000000.0,-42000000.0,-68000000.0
changeToNetincome,1318000000.0,9000000.0,4000000.0,350000000.0
capitalExpenditures,-880000000.0,-608000000.0,-618000000.0,-738000000.0
annualDilutedAverageShares,,,,
