,2021,2020,2019,2018
intangibleAssets,1110000000.0,817000000.0,823000000.0,
capitalSurplus,9220000000.0,8822000000.0,8461000000.0,8260000000.0
totalLiab,170294000000.0,160016000000.0,146099000000.0,131628000000.0
totalStockholderEquity,5685000000.0,5867000000.0,5729000000.0,5588000000.0
deferredLongTermLiab,3097000000.0,2838000000.0,3032000000.0,3139000000.0
otherCurrentLiab,6612000000.0,6956000000.0,4811000000.0,3186000000.0
totalAssets,175979000000.0,165883000000.0,151828000000.0,137216000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,7255000000.0,6783000000.0,5418000000.0,4866000000.0
retainedEarnings,17525000000.0,15292000000.0,14279000000.0,12909000000.0
otherLiab,157309000000.0,147033000000.0,135424000000.0,123081000000.0
goodWill,1458000000.0,1176000000.0,1167000000.0,
treasuryStock,-21063000000.0,-18250000000.0,-17014000000.0,-15584000000.0
otherAssets,107943000000.0,102490000000.0,95462000000.0,87490000000.0
cash,7127000000.0,6751000000.0,3709000000.0,2931000000.0
totalCurrentLiabilities,9891000000.0,10152000000.0,7404000000.0,5680000000.0
deferredLongTermAssetCharges,1088000000.0,880000000.0,646000000.0,
shortLongTermDebt,468000000.0,734000000.0,418000000.0,424000000.0
otherStockholderEquity,3000000.0,629000000.0,262000000.0,-291000000.0
propertyPlantEquipment,919000000.0,861000000.0,877000000.0,635000000.0
totalCurrentAssets,31839000000.0,23108000000.0,17784000000.0,14766000000.0
longTermInvestments,32710000000.0,37431000000.0,35715000000.0,34325000000.0
netTangibleAssets,3117000000.0,3874000000.0,3739000000.0,5588000000.0
netReceivables,16205000000.0,7819000000.0,7202000000.0,6173000000.0
longTermDebt,2792000000.0,2787000000.0,3040000000.0,2842000000.0
accountsPayable,2527000000.0,1998000000.0,1884000000.0,1862000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3350000000.0,1831000000.0,2232000000.0,2484000000.0
minorityInterest,,,,
netIncome,2760000000.0,1534000000.0,1893000000.0,2098000000.0
sellingGeneralAdministrative,3403000000.0,3116000000.0,3273000000.0,3152000000.0
grossProfit,7588000000.0,5816000000.0,6325000000.0,6663000000.0
ebit,4185000000.0,2700000000.0,3052000000.0,3511000000.0
operatingIncome,4185000000.0,2700000000.0,3052000000.0,3511000000.0
otherOperatingExpenses,,,,
interestExpense,-803000000.0,-865000000.0,-1019000000.0,-1008000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,590000000.0,297000000.0,339000000.0,386000000.0
totalRevenue,13443000000.0,11958000000.0,12890000000.0,12924000000.0
totalOperatingExpenses,9258000000.0,9258000000.0,9838000000.0,9413000000.0
costOfRevenue,5855000000.0,6142000000.0,6565000000.0,6261000000.0
totalOtherIncomeExpenseNet,-835000000.0,-869000000.0,-820000000.0,-1027000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2760000000.0,1534000000.0,1893000000.0,2098000000.0
netIncomeApplicableToCommonShares,2760000000.0,1534000000.0,1893000000.0,2098000000.0
investments,-3141000000.0,-2700000000.0,-3439000000.0,-429000000.0
changeToLiabilities,304000000.0,463000000.0,28000000.0,-296000000.0
totalCashflowsFromInvestingActivities,-4380000000.0,-2894000000.0,-3234000000.0,-587000000.0
netBorrowings,609000000.0,42000000.0,100000000.0,-605000000.0
totalCashFromFinancingActivities,1723000000.0,952000000.0,1214000000.0,-1263000000.0
changeToOperatingActivities,1494000000.0,3152000000.0,267000000.0,888000000.0
issuanceOfStock,1000000.0,3000000.0,3000000.0,2000000.0
changeInCash,666000000.0,2690000000.0,330000000.0,739000000.0
repurchaseOfStock,-2030000000.0,-1441000000.0,-1943000000.0,-1630000000.0
effectOfExchangeRate,-2000000.0,9000000.0,9000000.0,-8000000.0
totalCashFromOperatingActivities,3325000000.0,4623000000.0,2341000000.0,2597000000.0
depreciation,98000000.0,207000000.0,183000000.0,198000000.0
otherCashflowsFromInvestingActivities,-579000000.0,-99000000.0,-504000000.0,-56000000.0
dividendsPaid,-511000000.0,-497000000.0,-504000000.0,-506000000.0
changeToAccountReceivables,-520000000.0,-648000000.0,324000000.0,-398000000.0
otherCashflowsFromFinancingActivities,3654000000.0,2845000000.0,3558000000.0,1476000000.0
changeToNetincome,-503000000.0,-110000000.0,-386000000.0,164000000.0
capitalExpenditures,-120000000.0,-147000000.0,-143000000.0,-162000000.0
annualDilutedAverageShares,,,,
