,2021,2020,2019,2018
intangibleAssets,20727200000.0,13839800000.0,12318400000.0,11174300000.0
capitalSurplus,12240200000.0,10473700000.0,10117700000.0,10380800000.0
totalLiab,60818300000.0,42453000000.0,36214700000.0,26106000000.0
totalStockholderEquity,5081200000.0,4093500000.0,5055400000.0,5336100000.0
minorityInterest,3988400000.0,687000000.0,1531500000.0,1568300000.0
otherCurrentLiab,2395500000.0,1194700000.0,984400000.0,945600000.0
totalAssets,69887900000.0,47233500000.0,42801600000.0,33010400000.0
commonStock,4700000.0,4600000.0,4500000.0,4500000.0
otherCurrentAssets,697100000.0,404500000.0,376800000.0,505000000.0
otherLiab,5023700000.0,3415400000.0,3089400000.0,3011000000.0
goodWill,13350100000.0,7282700000.0,6178300000.0,5501900000.0
treasuryStock,-7163700000.0,-6384800000.0,-5066800000.0,-5049200000.0
otherAssets,3035000000.0,2601500000.0,2309300000.0,2702000000.0
cash,1949900000.0,1746300000.0,1501200000.0,1208700000.0
totalCurrentLiabilities,9067300000.0,3655500000.0,5487700000.0,4689900000.0
deferredLongTermAssetCharges,131600000.0,123100000.0,131800000.0,157700000.0
shortLongTermDebt,4562000000.0,784900000.0,2921500000.0,2714100000.0
otherStockholderEquity,-5881300000.0,-5102400000.0,-3840400000.0,-3842400000.0
propertyPlantEquipment,29009100000.0,20597900000.0,19441800000.0,11247100000.0
totalCurrentAssets,3729400000.0,2905600000.0,2553800000.0,2385100000.0
longTermInvestments,37100000.0,6000000.0,,
netTangibleAssets,-28996100000.0,-17029000000.0,-13441300000.0,-11340100000.0
netReceivables,1082400000.0,754800000.0,675800000.0,671400000.0
longTermDebt,38660600000.0,28474700000.0,21103200000.0,18266300000.0
accountsPayable,272400000.0,139100000.0,148100000.0,130800000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2829400000.0,1821100000.0,1916400000.0,1154600000.0
netIncome,2567700000.0,1690600000.0,1887800000.0,1236400000.0
sellingGeneralAdministrative,811600000.0,778700000.0,730400000.0,733200000.0
grossProfit,6674900000.0,5814300000.0,5363500000.0,5262300000.0
ebit,3555800000.0,3166200000.0,2864400000.0,2742300000.0
operatingIncome,3555800000.0,3166200000.0,2864400000.0,2742300000.0
otherOperatingExpenses,-25100000.0,-12900000.0,-9700000.0,3500000.0
interestExpense,-870900000.0,-793500000.0,-814200000.0,-825600000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,261800000.0,129600000.0,-200000.0,-110100000.0
totalRevenue,9356900000.0,8041500000.0,7580300000.0,7440100000.0
totalOperatingExpenses,5801100000.0,4875300000.0,4715900000.0,4697800000.0
costOfRevenue,2682000000.0,2227200000.0,2216800000.0,2177800000.0
totalOtherIncomeExpenseNet,-726400000.0,-1345100000.0,-948000000.0,-1587700000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2567600000.0,1691500000.0,1916600000.0,1264700000.0
netIncomeApplicableToCommonShares,2567700000.0,1690600000.0,1887800000.0,1227000000.0
investments,-10700000.0,19600000.0,27600000.0,97900000.0
changeToLiabilities,777000000.0,-8500000.0,-44300000.0,155100000.0
totalCashflowsFromInvestingActivities,-20692200000.0,-4784600000.0,-3987500000.0,-2749500000.0
netBorrowings,13713400000.0,4151900000.0,2680400000.0,960100000.0
totalCashFromFinancingActivities,16424500000.0,1215300000.0,521700000.0,-607700000.0
changeToOperatingActivities,-483200000.0,-250500000.0,-201200000.0,-137000000.0
issuanceOfStock,2458600000.0,98100000.0,105500000.0,98900000.0
changeInCash,481900000.0,283400000.0,273100000.0,350000000.0
effectOfExchangeRate,-70300000.0,-28700000.0,-13700000.0,-41100000.0
totalCashFromOperatingActivities,4819900000.0,3881400000.0,3752600000.0,3748300000.0
depreciation,2332600000.0,1882300000.0,1778400000.0,1783300000.0
otherCashflowsFromInvestingActivities,-900000.0,26600000.0,-64200000.0,-52800000.0
dividendsPaid,-2271000000.0,-1928200000.0,-1603000000.0,-1342400000.0
changeToAccountReceivables,-191700000.0,-175500000.0,12500000.0,-32100000.0
otherCashflowsFromFinancingActivities,2523500000.0,-1050500000.0,-641600000.0,-91500000.0
changeToNetincome,-222400000.0,710100000.0,293500000.0,720500000.0
repurchaseOfStock,,-56000000.0,-19600000.0,-232800000.0
annualDilutedAverageShares,,,,
