,2021,2020,2019,2018
intangibleAssets,5107000000.0,4981000000.0,4049000000.0,4110000000.0
capitalSurplus,55538000000.0,42865000000.0,33658000000.0,26791000000.0
totalLiab,282304000000.0,227791000000.0,163188000000.0,119099000000.0
totalStockholderEquity,138245000000.0,93404000000.0,62060000000.0,43549000000.0
otherCurrentLiab,18027000000.0,15267000000.0,12202000000.0,9959000000.0
totalAssets,420549000000.0,321195000000.0,225248000000.0,162648000000.0
commonStock,5000000.0,5000000.0,5000000.0,5000000.0
otherCurrentAssets,242000000.0,233000000.0,276000000.0,418000000.0
retainedEarnings,85915000000.0,52551000000.0,31220000000.0,19625000000.0
otherLiab,17443000000.0,13617000000.0,12171000000.0,17563000000.0
goodWill,15371000000.0,15017000000.0,14754000000.0,14548000000.0
treasuryStock,-3213000000.0,-2017000000.0,-2823000000.0,-2872000000.0
otherAssets,18125000000.0,12097000000.0,10096000000.0,6370000000.0
cash,36220000000.0,42122000000.0,36092000000.0,31750000000.0
totalCurrentLiabilities,142266000000.0,126385000000.0,87812000000.0,68391000000.0
shortLongTermDebt,1687000000.0,1266000000.0,1305000000.0,1371000000.0
otherStockholderEquity,-1376000000.0,-180000000.0,-986000000.0,-1035000000.0
propertyPlantEquipment,216363000000.0,150667000000.0,97846000000.0,61797000000.0
totalCurrentAssets,161580000000.0,132733000000.0,96334000000.0,75101000000.0
longTermInvestments,4003000000.0,5700000000.0,2169000000.0,722000000.0
netTangibleAssets,117767000000.0,73406000000.0,43257000000.0,24891000000.0
shortTermInvestments,59829000000.0,42274000000.0,18929000000.0,9500000000.0
netReceivables,32649000000.0,24309000000.0,20540000000.0,16259000000.0
longTermDebt,54944000000.0,35216000000.0,23414000000.0,23495000000.0
inventory,32640000000.0,23795000000.0,20497000000.0,17174000000.0
accountsPayable,78664000000.0,72539000000.0,47183000000.0,38192000000.0
researchDevelopment,56052000000.0,42740000000.0,35931000000.0,28837000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,38155000000.0,24194000000.0,13962000000.0,11270000000.0
minorityInterest,,,,
netIncome,33364000000.0,21331000000.0,11588000000.0,10073000000.0
sellingGeneralAdministrative,116485000000.0,87193000000.0,64313000000.0,52177000000.0
grossProfit,197478000000.0,152757000000.0,114986000000.0,93731000000.0
ebit,24879000000.0,22899000000.0,14541000000.0,12421000000.0
operatingIncome,24879000000.0,22899000000.0,14541000000.0,12421000000.0
otherOperatingExpenses,62000000.0,-75000000.0,201000000.0,296000000.0
interestExpense,-1809000000.0,-1647000000.0,-1600000000.0,-1417000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4791000000.0,2863000000.0,2374000000.0,1197000000.0
totalRevenue,469822000000.0,386064000000.0,280522000000.0,232887000000.0
totalOperatingExpenses,444943000000.0,363165000000.0,265981000000.0,220466000000.0
costOfRevenue,272344000000.0,233307000000.0,165536000000.0,139156000000.0
totalOtherIncomeExpenseNet,13276000000.0,1295000000.0,-579000000.0,-1151000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,33364000000.0,21331000000.0,11588000000.0,10073000000.0
netIncomeApplicableToCommonShares,33364000000.0,21331000000.0,11588000000.0,10073000000.0
investments,-773000000.0,-22242000000.0,-9131000000.0,1140000000.0
changeToLiabilities,5916000000.0,18745000000.0,9904000000.0,4414000000.0
totalCashflowsFromInvestingActivities,-58154000000.0,-59611000000.0,-24281000000.0,-12369000000.0
netBorrowings,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
totalCashFromFinancingActivities,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
changeToOperatingActivities,2123000000.0,5754000000.0,-1383000000.0,472000000.0
changeInCash,-5900000000.0,5967000000.0,4237000000.0,10317000000.0
effectOfExchangeRate,-364000000.0,618000000.0,70000000.0,-351000000.0
totalCashFromOperatingActivities,46327000000.0,66064000000.0,38514000000.0,30723000000.0
depreciation,34296000000.0,25251000000.0,21789000000.0,15341000000.0
changeToInventory,-9487000000.0,-2849000000.0,-3278000000.0,-1314000000.0
changeToAccountReceivables,-18163000000.0,-8169000000.0,-7681000000.0,-4615000000.0
changeToNetincome,-1722000000.0,6001000000.0,7575000000.0,6352000000.0
capitalExpenditures,-61053000000.0,-40140000000.0,-16861000000.0,-13427000000.0
otherCashflowsFromInvestingActivities,,,,2104000000.0
annualDilutedAverageShares,10300000000.0,10200000000.0,10080000000.0,10000000000.0
