,2021,2020,2019,2018
intangibleAssets,763119000.0,694865000.0,476711000.0,211272000.0
capitalSurplus,1465694000.0,1434203000.0,1188939000.0,867462000.0
totalLiab,1840266000.0,1842718000.0,1385508000.0,616417000.0
totalStockholderEquity,4484048000.0,4097872000.0,3453379000.0,2649547000.0
otherCurrentLiab,399938000.0,398177000.0,361349000.0,337310000.0
totalAssets,6324314000.0,5940590000.0,4838887000.0,3265964000.0
commonStock,953000.0,953000.0,946000.0,932000.0
retainedEarnings,4259220000.0,3804593000.0,3370706000.0,2919411000.0
otherLiab,203820000.0,194835000.0,175069000.0,91650000.0
goodWill,3409271000.0,3038306000.0,2413280000.0,1572455000.0
treasuryStock,-1241819000.0,-1141877000.0,-1107212000.0,-1138258000.0
otherAssets,302055000.0,253949000.0,204109000.0,109405000.0
cash,667667000.0,912672000.0,872094000.0,777139000.0
totalCurrentLiabilities,778492000.0,728825000.0,695140000.0,524767000.0
deferredLongTermAssetCharges,24879000.0,28830000.0,24077000.0,26630000.0
otherStockholderEquity,-56112000.0,-17775000.0,-65381000.0,-62379000.0
propertyPlantEquipment,208795000.0,234233000.0,189307000.0,61655000.0
totalCurrentAssets,1638574000.0,1719237000.0,1555480000.0,1311177000.0
longTermInvestments,2500000.0,,,
netTangibleAssets,311658000.0,364701000.0,563388000.0,865820000.0
shortTermInvestments,361000.0,479000.0,288000.0,225000.0
netReceivables,918111000.0,761346000.0,637830000.0,498553000.0
longTermDebt,753576000.0,798118000.0,423531000.0,
accountsPayable,10863000.0,18691000.0,14298000.0,7953000.0
shortLongTermDebt,,,75000000.0,
researchDevelopment,404870000.0,355371000.0,298210000.0,233802000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,515354000.0,493925000.0,522583000.0,487085000.0
minorityInterest,,,,
netIncome,454627000.0,433887000.0,451295000.0,419375000.0
sellingGeneralAdministrative,709336000.0,582578000.0,521200000.0,410054000.0
grossProfit,1709493000.0,1496675000.0,1371329000.0,1164785000.0
ebit,519312000.0,501485000.0,515040000.0,480100000.0
operatingIncome,519312000.0,501485000.0,515040000.0,480100000.0
otherOperatingExpenses,,,,
interestExpense,-12405000.0,-10988000.0,-3461000.0,-59000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,60727000.0,60038000.0,71288000.0,67710000.0
totalRevenue,1906715000.0,1681297000.0,1515892000.0,1293636000.0
totalOperatingExpenses,1387403000.0,1179812000.0,1000852000.0,813536000.0
costOfRevenue,197222000.0,184622000.0,144563000.0,128851000.0
totalOtherIncomeExpenseNet,-3958000.0,-7560000.0,7543000.0,6985000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,454627000.0,433887000.0,451295000.0,419375000.0
netIncomeApplicableToCommonShares,454627000.0,433887000.0,451295000.0,419375000.0
changeToLiabilities,80393000.0,26810000.0,55788000.0,76133000.0
totalCashflowsFromInvestingActivities,-536813000.0,-614253000.0,-833548000.0,-312231000.0
netBorrowings,-45000000.0,300000000.0,500000000.0,500000000.0
totalCashFromFinancingActivities,-245852000.0,96597000.0,429409000.0,-262675000.0
changeToOperatingActivities,-67575000.0,-2328000.0,-39679000.0,-48064000.0
issuanceOfStock,31377000.0,29560000.0,34093000.0,41019000.0
changeInCash,-245005000.0,40578000.0,94955000.0,-104362000.0
repurchaseOfStock,-231716000.0,-232048000.0,-101547000.0,-298680000.0
effectOfExchangeRate,-11822000.0,10924000.0,-842000.0,-14444000.0
totalCashFromOperatingActivities,549482000.0,547310000.0,499936000.0,484988000.0
depreciation,106867000.0,85275000.0,60516000.0,59255000.0
otherCashflowsFromInvestingActivities,-2990000.0,-6555000.0,-1412000.0,-7443000.0
changeToAccountReceivables,-149017000.0,-160319000.0,-154403000.0,-74455000.0
otherCashflowsFromFinancingActivities,-513000.0,-915000.0,-3137000.0,-5014000.0
changeToNetincome,142616000.0,144272000.0,125844000.0,51658000.0
capitalExpenditures,-23018000.0,-35370000.0,-44940000.0,-21762000.0
annualDilutedAverageShares,88102000.0,87288000.0,85925000.0,85913000.0
