,2021,2020,2019,2018
intangibleAssets,492000000.0,640000000.0,783000000.0,1149000000.0
capitalSurplus,6624000000.0,6312000000.0,6152000000.0,5965000000.0
totalLiab,30759000000.0,28531000000.0,25956000000.0,22203000000.0
totalStockholderEquity,1061000000.0,3495000000.0,3375000000.0,4151000000.0
minorityInterest,97000000.0,88000000.0,74000000.0,68000000.0
deferredLongTermLiab,179000000.0,184000000.0,171000000.0,156000000.0
otherCurrentLiab,15504000000.0,14735000000.0,12710000000.0,11102000000.0
totalAssets,31917000000.0,32114000000.0,29405000000.0,26422000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,15072000000.0,14318000000.0,12357000000.0,10665000000.0
retainedEarnings,-1694000000.0,1042000000.0,1254000000.0,2093000000.0
otherLiab,2640000000.0,2855000000.0,2738000000.0,2745000000.0
goodWill,8434000000.0,8666000000.0,8165000000.0,8171000000.0
treasuryStock,-3871000000.0,-3861000000.0,-4033000000.0,-3909000000.0
otherAssets,2517000000.0,2451000000.0,2278000000.0,2088000000.0
cash,496800000.0,842200000.0,735500000.0,618900000.0
totalCurrentLiabilities,19073000000.0,17433000000.0,15571000000.0,13296000000.0
deferredLongTermAssetCharges,766000000.0,724000000.0,645000000.0,561000000.0
shortLongTermDebt,499000000.0,400000000.0,600000000.0,1000000.0
otherStockholderEquity,-3871000000.0,-3861000000.0,-4033000000.0,-3909000000.0
propertyPlantEquipment,1378000000.0,1599000000.0,1650000000.0,588000000.0
totalCurrentAssets,19032000000.0,18684000000.0,16476000000.0,14372000000.0
longTermInvestments,64000000.0,74000000.0,53000000.0,54000000.0
netTangibleAssets,-7865000000.0,-5811000000.0,-5573000000.0,-5169000000.0
shortTermInvestments,179200000.0,247800000.0,82500000.0,118100000.0
netReceivables,3147000000.0,3165000000.0,3204000000.0,2873000000.0
longTermDebt,8228000000.0,7281000000.0,6627000000.0,5993000000.0
accountsPayable,2192000000.0,2016000000.0,1939000000.0,1943000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1931000000.0,2466000000.0,1870000000.0,1246000000.0
netIncome,1255000000.0,1969000000.0,1532000000.0,1134000000.0
sellingGeneralAdministrative,1603000000.0,1844000000.0,2226000000.0,2279000000.0
grossProfit,5476000000.0,5174000000.0,4968000000.0,4668000000.0
ebit,3547000000.0,2917000000.0,2178000000.0,1796000000.0
operatingIncome,3547000000.0,2917000000.0,2178000000.0,1796000000.0
otherOperatingExpenses,,,,
interestExpense,-322000000.0,-334000000.0,-307000000.0,-278000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,623000000.0,448000000.0,297000000.0,146000000.0
totalRevenue,12193000000.0,11066000000.0,11013000000.0,10770000000.0
totalOperatingExpenses,8646000000.0,8149000000.0,8835000000.0,8974000000.0
costOfRevenue,6717000000.0,5892000000.0,6045000000.0,6102000000.0
totalOtherIncomeExpenseNet,-1616000000.0,-451000000.0,-308000000.0,-550000000.0
discontinuedOperations,,,,74000000.0
netIncomeFromContinuingOps,1308000000.0,2018000000.0,1573000000.0,1100000000.0
netIncomeApplicableToCommonShares,1255000000.0,1969000000.0,1532000000.0,1134000000.0
investments,-18000000.0,-200000000.0,-17000000.0,339000000.0
changeToLiabilities,264000000.0,186000000.0,-28000000.0,25000000.0
totalCashflowsFromInvestingActivities,49000000.0,-679000000.0,-229000000.0,31000000.0
netBorrowings,2321000000.0,587000000.0,2357000000.0,337000000.0
totalCashFromFinancingActivities,-1924000000.0,-1772000000.0,-247000000.0,-1699000000.0
changeToOperatingActivities,-115000000.0,-221000000.0,-151000000.0,-234000000.0
changeInCash,72000000.0,629000000.0,1422000000.0,-100000000.0
repurchaseOfStock,-3543000000.0,-1763000000.0,-1960000000.0,-1470000000.0
effectOfExchangeRate,-235000000.0,297000000.0,63000000.0,-118000000.0
totalCashFromOperatingActivities,2182000000.0,2783000000.0,1835000000.0,1686000000.0
depreciation,326000000.0,413000000.0,564000000.0,593000000.0
dividendsPaid,-447000000.0,-412000000.0,-410000000.0,-382000000.0
changeToAccountReceivables,-119000000.0,108000000.0,-371000000.0,-127000000.0
otherCashflowsFromFinancingActivities,-255000000.0,-184000000.0,-234000000.0,-184000000.0
changeToNetincome,371000000.0,345000000.0,309000000.0,261000000.0
capitalExpenditures,-137000000.0,-141000000.0,-225000000.0,-240000000.0
annualDilutedAverageShares,,,,
