,2021,2020,2019,2018
intangibleAssets,364800000.0,323900000.0,338400000.0,293100000.0
capitalSurplus,545200000.0,520400000.0,509000000.0,496700000.0
totalLiab,1642200000.0,1312400000.0,1391200000.0,1354500000.0
totalStockholderEquity,1832200000.0,1848300000.0,1666800000.0,1717000000.0
otherCurrentLiab,73300000.0,54800000.0,43300000.0,43200000.0
totalAssets,3474400000.0,3160700000.0,3058000000.0,3071500000.0
commonStock,295200000.0,295400000.0,295400000.0,295500000.0
otherCurrentAssets,39100000.0,43300000.0,56500000.0,41500000.0
retainedEarnings,2826600000.0,2509600000.0,2323400000.0,2102800000.0
otherLiab,311200000.0,285300000.0,308800000.0,347800000.0
goodWill,627800000.0,546800000.0,546000000.0,513000000.0
treasuryStock,-1834800000.0,-1477100000.0,-1461000000.0,-1178000000.0
otherAssets,90000000.0,89100000.0,80900000.0,86900000.0
cash,443300000.0,573100000.0,374000000.0,259700000.0
totalCurrentLiabilities,1118800000.0,886300000.0,766500000.0,785300000.0
shortLongTermDebt,6800000.0,6800000.0,6800000.0,
otherStockholderEquity,-331400000.0,-321200000.0,-348300000.0,-350800000.0
propertyPlantEquipment,639200000.0,582900000.0,592300000.0,540000000.0
totalCurrentAssets,1752600000.0,1618000000.0,1500400000.0,1638500000.0
netTangibleAssets,839600000.0,977600000.0,782400000.0,910900000.0
shortTermInvestments,188100000.0,116500000.0,177400000.0,385300000.0
netReceivables,634400000.0,585000000.0,589500000.0,647300000.0
longTermDebt,189900000.0,106400000.0,277200000.0,221400000.0
inventory,447700000.0,300100000.0,303000000.0,304700000.0
accountsPayable,745900000.0,595200000.0,509600000.0,543800000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,625600000.0,443900000.0,472100000.0,557800000.0
minorityInterest,,,,
netIncome,487100000.0,344900000.0,370000000.0,444200000.0
sellingGeneralAdministrative,702000000.0,667200000.0,721000000.0,755200000.0
grossProfit,1310900000.0,1108200000.0,1180700000.0,1305500000.0
ebit,608900000.0,441000000.0,459700000.0,550300000.0
operatingIncome,608900000.0,441000000.0,459700000.0,550300000.0
otherOperatingExpenses,,,,
interestExpense,-4300000.0,-7300000.0,-11000000.0,-8400000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,138500000.0,99000000.0,102100000.0,113600000.0
totalRevenue,3538900000.0,2895300000.0,2992700000.0,3187900000.0
totalOperatingExpenses,2930000000.0,2454300000.0,2533000000.0,2637600000.0
costOfRevenue,2228000000.0,1787100000.0,1812000000.0,1882400000.0
totalOtherIncomeExpenseNet,16700000.0,2900000.0,12400000.0,7500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,487100000.0,344900000.0,370000000.0,444200000.0
netIncomeApplicableToCommonShares,487100000.0,344900000.0,370000000.0,444200000.0
investments,-67200000.0,68600000.0,205300000.0,72500000.0
changeToLiabilities,142900000.0,85600000.0,-35400000.0,8800000.0
totalCashflowsFromInvestingActivities,-349900000.0,11800000.0,33900000.0,-12700000.0
netBorrowings,83500000.0,-170800000.0,62600000.0,-189000000.0
totalCashFromFinancingActivities,-421000000.0,-374800000.0,-375800000.0,-523100000.0
changeToOperatingActivities,34600000.0,28100000.0,-28600000.0,-30800000.0
issuanceOfStock,32100000.0,11400000.0,11400000.0,900000.0
changeInCash,-129800000.0,199100000.0,114300000.0,-86900000.0
repurchaseOfStock,-366500000.0,-56700000.0,-287700000.0,-202600000.0
totalCashFromOperatingActivities,641100000.0,562100000.0,456200000.0,448900000.0
depreciation,77900000.0,80000000.0,78300000.0,71900000.0
dividendsPaid,-170100000.0,-158700000.0,-149200000.0,-130100000.0
changeToInventory,-109500000.0,2900000.0,6300000.0,-7700000.0
changeToAccountReceivables,-25500000.0,4500000.0,62400000.0,-54600000.0
changeToNetincome,11900000.0,12700000.0,13300000.0,10100000.0
capitalExpenditures,-75100000.0,-56800000.0,-64400000.0,-85200000.0
otherCashflowsFromFinancingActivities,,,-1500000.0,-2300000.0
annualDilutedAverageShares,,,,
