,2021,2020,2019,2018
capitalSurplus,11645000000.0,11735000000.0,11769000000.0,12106000000.0
totalLiab,13308000000.0,12644000000.0,12984000000.0,12770000000.0
totalStockholderEquity,-1595000000.0,-1639000000.0,3255000000.0,7130000000.0
minorityInterest,1590000000.0,1602000000.0,1765000000.0,1682000000.0
deferredLongTermLiab,570000000.0,509000000.0,607000000.0,262000000.0
otherCurrentLiab,337000000.0,178000000.0,154000000.0,214000000.0
totalAssets,13303000000.0,12746000000.0,18107000000.0,21582000000.0
commonStock,262000000.0,262000000.0,261000000.0,260000000.0
otherCurrentAssets,155000000.0,119000000.0,94000000.0,273000000.0
retainedEarnings,-9488000000.0,-10461000000.0,-5601000000.0,-2048000000.0
otherLiab,3744000000.0,2566000000.0,2574000000.0,2476000000.0
treasuryStock,-4014000000.0,-3175000000.0,-3174000000.0,-3188000000.0
otherAssets,1223000000.0,526000000.0,643000000.0,353000000.0
cash,302000000.0,262000000.0,247000000.0,714000000.0
totalCurrentLiabilities,2117000000.0,1308000000.0,1855000000.0,2201000000.0
deferredLongTermAssetCharges,13000000.0,12000000.0,29000000.0,91000000.0
otherStockholderEquity,22000000.0,14000000.0,16000000.0,4000000.0
propertyPlantEquipment,8335000000.0,8819000000.0,14158000000.0,18421000000.0
totalCurrentAssets,2380000000.0,1846000000.0,1961000000.0,2687000000.0
longTermInvestments,1365000000.0,1555000000.0,1258000000.0,121000000.0
netTangibleAssets,-1595000000.0,-1639000000.0,3168000000.0,7130000000.0
netReceivables,1394000000.0,908000000.0,1062000000.0,1194000000.0
longTermDebt,7261000000.0,8734000000.0,8518000000.0,8054000000.0
inventory,473000000.0,492000000.0,502000000.0,401000000.0
accountsPayable,731000000.0,444000000.0,695000000.0,709000000.0
goodWill,,,87000000.0,
shortLongTermDebt,,,11000000.0,150000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1891000000.0,-4840000000.0,-3008000000.0,958000000.0
netIncome,973000000.0,-4860000000.0,-3553000000.0,40000000.0
sellingGeneralAdministrative,376000000.0,290000000.0,406000000.0,431000000.0
grossProfit,5080000000.0,2714000000.0,4629000000.0,5627000000.0
ebit,2966000000.0,-4396000000.0,-1244000000.0,1649000000.0
operatingIncome,2966000000.0,-4396000000.0,-1244000000.0,1649000000.0
otherOperatingExpenses,223000000.0,455000000.0,349000000.0,301000000.0
interestExpense,-418000000.0,-434000000.0,-400000000.0,-406000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,578000000.0,64000000.0,674000000.0,672000000.0
totalRevenue,8025000000.0,4393000000.0,6354000000.0,7555000000.0
totalOperatingExpenses,5059000000.0,8789000000.0,7598000000.0,5906000000.0
costOfRevenue,2945000000.0,1679000000.0,1725000000.0,1928000000.0
totalOtherIncomeExpenseNet,-1075000000.0,-444000000.0,-1764000000.0,-691000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1313000000.0,-4904000000.0,-3682000000.0,286000000.0
netIncomeApplicableToCommonShares,973000000.0,-4860000000.0,-3553000000.0,40000000.0
investments,-28000000.0,-327000000.0,-1172000000.0,-91000000.0
changeToLiabilities,245000000.0,-167000000.0,-5000000.0,77000000.0
totalCashflowsFromInvestingActivities,-833000000.0,-1466000000.0,-3446000000.0,-3944000000.0
netBorrowings,-1370000000.0,373000000.0,235000000.0,-378000000.0
totalCashFromFinancingActivities,-2623000000.0,93000000.0,112000000.0,-787000000.0
changeToOperatingActivities,187000000.0,-187000000.0,-90000000.0,24000000.0
changeInCash,40000000.0,15000000.0,-467000000.0,-954000000.0
repurchaseOfStock,-847000000.0,-847000000.0,-847000000.0,-305000000.0
totalCashFromOperatingActivities,3496000000.0,1388000000.0,2867000000.0,3777000000.0
depreciation,1504000000.0,6301000000.0,5039000000.0,3065000000.0
otherCashflowsFromInvestingActivities,52000000.0,-3000000.0,-31000000.0,-87000000.0
dividendsPaid,-52000000.0,-123000000.0,-376000000.0,-382000000.0
changeToInventory,-9000000.0,19000000.0,-41000000.0,-6000000.0
changeToAccountReceivables,-386000000.0,149000000.0,133000000.0,150000000.0
otherCashflowsFromFinancingActivities,-354000000.0,-158000000.0,251000000.0,278000000.0
changeToNetincome,982000000.0,133000000.0,1384000000.0,427000000.0
capitalExpenditures,-1113000000.0,-1302000000.0,-2961000000.0,-3904000000.0
issuanceOfStock,,1000000.0,2000000.0,2000000.0
annualDilutedAverageShares,,,,
