,2021,2020,2019,2018
intangibleAssets,756900000.0,397500000.0,442000000.0,397900000.0
capitalSurplus,2409000000.0,2068100000.0,1683300000.0,1433200000.0
totalLiab,8299300000.0,6875400000.0,6219300000.0,5980700000.0
totalStockholderEquity,6302000000.0,5384900000.0,4530300000.0,4017000000.0
minorityInterest,77100000.0,67000000.0,65900000.0,47200000.0
otherCurrentLiab,208600000.0,199400000.0,277300000.0,272200000.0
totalAssets,14678400000.0,12327300000.0,10815500000.0,10044900000.0
commonStock,600000.0,600000.0,300000.0,300000.0
retainedEarnings,4278900000.0,3705400000.0,3348400000.0,3028700000.0
otherLiab,875900000.0,773800000.0,737800000.0,723000000.0
goodWill,6376800000.0,5032100000.0,4867100000.0,4103200000.0
treasuryStock,-386500000.0,-389200000.0,-501700000.0,-445200000.0
otherAssets,166300000.0,127900000.0,99500000.0,96400000.0
cash,1197100000.0,1702000000.0,891200000.0,1279300000.0
totalCurrentLiabilities,2447100000.0,2304300000.0,2132700000.0,2451300000.0
deferredLongTermAssetCharges,91000000.0,98100000.0,80400000.0,78600000.0
shortLongTermDebt,4000000.0,230300000.0,403300000.0,764300000.0
otherStockholderEquity,-286500000.0,-278100000.0,-430900000.0,-390200000.0
propertyPlantEquipment,1420200000.0,1279000000.0,1195700000.0,875800000.0
totalCurrentAssets,5958200000.0,5490800000.0,4211200000.0,4571600000.0
netTangibleAssets,-831700000.0,-44700000.0,-778800000.0,-484100000.0
shortTermInvestments,44300000.0,36100000.0,17400000.0,12400000.0
netReceivables,2454800000.0,1951600000.0,1736400000.0,1791800000.0
longTermDebt,4795900000.0,3636200000.0,3203400000.0,2806400000.0
inventory,1894100000.0,1462200000.0,1310100000.0,1233800000.0
accountsPayable,1312000000.0,1120700000.0,866800000.0,890500000.0
researchDevelopment,317700000.0,260700000.0,234200000.0,220900000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1989200000.0,1526600000.0,1495900000.0,1588400000.0
netIncome,1590800000.0,1203400000.0,1155000000.0,1205000000.0
sellingGeneralAdministrative,915600000.0,760300000.0,742100000.0,746000000.0
grossProfit,3401800000.0,2664100000.0,2616000000.0,2654900000.0
ebit,2168500000.0,1643100000.0,1639700000.0,1688000000.0
operatingIncome,2168500000.0,1643100000.0,1639700000.0,1688000000.0
otherOperatingExpenses,,,,
interestExpense,-115500000.0,-115400000.0,-117600000.0,-101700000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,409100000.0,313300000.0,331900000.0,371500000.0
totalRevenue,10876300000.0,8598900000.0,8225400000.0,8202000000.0
totalOperatingExpenses,8707800000.0,6955800000.0,6585700000.0,6514000000.0
costOfRevenue,7474500000.0,5934800000.0,5609400000.0,5547100000.0
totalOtherIncomeExpenseNet,-179300000.0,-116500000.0,-143800000.0,-99600000.0
discontinuedOperations,21400000.0,21400000.0,21400000.0,21400000.0
netIncomeFromContinuingOps,1580100000.0,1213300000.0,1164000000.0,1216900000.0
netIncomeApplicableToCommonShares,1590800000.0,1203400000.0,1155000000.0,1205000000.0
investments,-8600000.0,-18400000.0,-3800000.0,22700000.0
changeToLiabilities,131700000.0,204300000.0,-60200000.0,48800000.0
totalCashflowsFromInvestingActivities,-1887500000.0,-333500000.0,-1228800000.0,-441800000.0
netBorrowings,635800000.0,151400000.0,58300000.0,11900000.0
totalCashFromFinancingActivities,-145200000.0,-516600000.0,-648400000.0,-1070100000.0
changeToOperatingActivities,31400000.0,68100000.0,-28300000.0,-75400000.0
issuanceOfStock,288500000.0,385700000.0,246100000.0,130700000.0
changeInCash,-504900000.0,810800000.0,-388100000.0,-439800000.0
repurchaseOfStock,-661700000.0,-641300000.0,-601700000.0,-935200000.0
effectOfExchangeRate,-12300000.0,68900000.0,-13200000.0,-40600000.0
totalCashFromOperatingActivities,1540100000.0,1592000000.0,1502300000.0,1112700000.0
depreciation,395600000.0,308100000.0,312100000.0,299700000.0
otherCashflowsFromInvestingActivities,703200000.0,-600000.0,-600000.0,-600000.0
dividendsPaid,-346700000.0,-297600000.0,-279500000.0,-253700000.0
changeToInventory,-263000000.0,-102000000.0,-3400000.0,-173300000.0
changeToAccountReceivables,-398400000.0,-146300000.0,117300000.0,-237900000.0
otherCashflowsFromFinancingActivities,-61100000.0,-114800000.0,-71600000.0,-23800000.0
changeToNetincome,58900000.0,111200000.0,101500000.0,55500000.0
capitalExpenditures,-360400000.0,-276800000.0,-295000000.0,-310600000.0
annualDilutedAverageShares,,,,
