,2021,2020,2019,2018
intangibleAssets,964000000.0,1091000000.0,1186000000.0,1380000000.0
capitalSurplus,3939000000.0,3897000000.0,1645000000.0,1639000000.0
totalLiab,9446000000.0,9422000000.0,9448000000.0,8810000000.0
totalStockholderEquity,8347000000.0,7905000000.0,3819000000.0,3459000000.0
minorityInterest,214000000.0,195000000.0,192000000.0,211000000.0
deferredLongTermLiab,69000000.0,97000000.0,82000000.0,70000000.0
otherCurrentLiab,339000000.0,383000000.0,420000000.0,361000000.0
totalAssets,18007000000.0,17522000000.0,13459000000.0,12480000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,78000000.0,115000000.0,603000000.0,26000000.0
retainedEarnings,5077000000.0,4550000000.0,2890000000.0,2511000000.0
otherLiab,876000000.0,1065000000.0,1094000000.0,1078000000.0
goodWill,2511000000.0,2580000000.0,2407000000.0,2524000000.0
treasuryStock,-672000000.0,-545000000.0,-719000000.0,-694000000.0
otherAssets,526000000.0,581000000.0,618000000.0,449000000.0
cash,3139000000.0,2821000000.0,412000000.0,567000000.0
totalCurrentLiabilities,4207000000.0,4046000000.0,4054000000.0,3694000000.0
deferredLongTermAssetCharges,159000000.0,174000000.0,164000000.0,143000000.0
shortLongTermDebt,5000000.0,86000000.0,389000000.0,306000000.0
otherStockholderEquity,-672000000.0,-545000000.0,-719000000.0,-694000000.0
propertyPlantEquipment,3677000000.0,3681000000.0,3722000000.0,3179000000.0
totalCurrentAssets,8436000000.0,7465000000.0,5319000000.0,4777000000.0
longTermInvestments,1893000000.0,2124000000.0,207000000.0,171000000.0
netTangibleAssets,4872000000.0,4234000000.0,226000000.0,-445000000.0
netReceivables,3142000000.0,3185000000.0,2930000000.0,2835000000.0
longTermDebt,4049000000.0,3997000000.0,3953000000.0,4038000000.0
inventory,2014000000.0,1297000000.0,1286000000.0,1277000000.0
accountsPayable,2953000000.0,2571000000.0,2463000000.0,2334000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,710000000.0,1871000000.0,1141000000.0,1357000000.0
netIncome,590000000.0,1804000000.0,990000000.0,1067000000.0
sellingGeneralAdministrative,1081000000.0,996000000.0,1103000000.0,1011000000.0
grossProfit,2438000000.0,1950000000.0,2649000000.0,2733000000.0
ebit,1209000000.0,810000000.0,1408000000.0,1598000000.0
operatingIncome,1209000000.0,810000000.0,1408000000.0,1598000000.0
otherOperatingExpenses,,,,
interestExpense,-150000000.0,-164000000.0,-164000000.0,-141000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,101000000.0,49000000.0,132000000.0,250000000.0
totalRevenue,15618000000.0,13066000000.0,14357000000.0,14435000000.0
totalOperatingExpenses,14409000000.0,12256000000.0,12949000000.0,12837000000.0
costOfRevenue,13180000000.0,11116000000.0,11708000000.0,11702000000.0
totalOtherIncomeExpenseNet,-499000000.0,1061000000.0,-267000000.0,-241000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,609000000.0,1822000000.0,1009000000.0,1107000000.0
netIncomeApplicableToCommonShares,527000000.0,1769000000.0,990000000.0,1067000000.0
investments,20000000.0,-2000000.0,-10000000.0,-16000000.0
changeToLiabilities,265000000.0,186000000.0,133000000.0,62000000.0
totalCashflowsFromInvestingActivities,-729000000.0,-626000000.0,-1111000000.0,-2048000000.0
netBorrowings,-53000000.0,-411000000.0,42000000.0,255000000.0
totalCashFromFinancingActivities,-191000000.0,1613000000.0,-649000000.0,-555000000.0
changeToOperatingActivities,-75000000.0,220000000.0,-242000000.0,-139000000.0
changeInCash,286000000.0,2424000000.0,-139000000.0,-1029000000.0
repurchaseOfStock,-45000000.0,-90000000.0,-454000000.0,-534000000.0
effectOfExchangeRate,-16000000.0,24000000.0,-3000000.0,-54000000.0
totalCashFromOperatingActivities,1222000000.0,1413000000.0,1624000000.0,1628000000.0
depreciation,771000000.0,754000000.0,706000000.0,642000000.0
otherCashflowsFromInvestingActivities,-17000000.0,-1000000.0,-1000000.0,-2000000.0
dividendsPaid,-63000000.0,-88000000.0,-226000000.0,-233000000.0
changeToInventory,-710000000.0,-8000000.0,8000000.0,-120000000.0
changeToAccountReceivables,37000000.0,-243000000.0,-74000000.0,55000000.0
otherCashflowsFromFinancingActivities,-30000000.0,-28000000.0,-11000000.0,-43000000.0
changeToNetincome,336000000.0,-1309000000.0,97000000.0,54000000.0
capitalExpenditures,-611000000.0,-584000000.0,-781000000.0,-846000000.0
issuanceOfStock,,1115000000.0,1115000000.0,1115000000.0
annualDilutedAverageShares,,,,
