,2021,2020,2019,2018
intangibleAssets,609872000.0,462324000.0,281650000.0,150340000.0
capitalSurplus,16195256000.0,11730970000.0,8874367000.0,7286954000.0
totalLiab,11186123000.0,9384100000.0,8224025000.0,6570242000.0
totalStockholderEquity,16189542000.0,11725712000.0,8865826000.0,7277629000.0
minorityInterest,2843708000.0,1718066000.0,1300652000.0,552749000.0
deferredLongTermLiab,422192000.0,296797000.0,283107000.0,255130000.0
otherCurrentLiab,183847000.0,150982000.0,126278000.0,110280000.0
totalAssets,30219373000.0,22827878000.0,18390503000.0,14464956000.0
commonStock,1580000.0,1367000.0,1208000.0,1110000.0
otherCurrentAssets,254762000.0,110701000.0,95360000.0,64613000.0
otherLiab,1262249000.0,1039061000.0,849466000.0,765400000.0
treasuryStock,-7294000.0,-6625000.0,-9749000.0,-10435000.0
otherAssets,1989122000.0,1097468000.0,520118000.0,393031000.0
cash,361348000.0,568532000.0,189681000.0,234181000.0
totalCurrentLiabilities,749354000.0,436003000.0,325272000.0,325819000.0
shortLongTermDebt,3592000.0,,,
otherStockholderEquity,-7294000.0,-6625000.0,-9749000.0,-10435000.0
propertyPlantEquipment,24158764000.0,17874042000.0,15123324000.0,11910702000.0
totalCurrentAssets,1546568000.0,1450581000.0,977927000.0,881112000.0
longTermInvestments,1915047000.0,1943463000.0,1487484000.0,1129771000.0
netTangibleAssets,15579670000.0,11263388000.0,8584176000.0,7127289000.0
netReceivables,930458000.0,771348000.0,692886000.0,579712000.0
longTermDebt,8788274000.0,7563286000.0,6777479000.0,5479023000.0
accountsPayable,513416000.0,285021000.0,198994000.0,215539000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,654282000.0,827171000.0,404047000.0,402793000.0
netIncome,571247000.0,770959000.0,363165000.0,379312000.0
sellingGeneralAdministrative,151461000.0,133341000.0,108823000.0,90405000.0
grossProfit,1502850000.0,1363561000.0,1095940000.0,953881000.0
ebit,530328000.0,532116000.0,442505000.0,385815000.0
operatingIncome,530328000.0,532116000.0,442505000.0,385815000.0
otherOperatingExpenses,,,,
interestExpense,-142165000.0,-171609000.0,-173675000.0,-157495000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0.0,0.0,0.0,0.0
totalRevenue,2126405000.0,1893785000.0,1541432000.0,1335001000.0
totalOperatingExpenses,1596077000.0,1361669000.0,1098927000.0,949186000.0
costOfRevenue,623555000.0,530224000.0,445492000.0,381120000.0
totalOtherIncomeExpenseNet,123954000.0,295055000.0,-38458000.0,16978000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,654282000.0,827171000.0,404047000.0,402793000.0
netIncomeApplicableToCommonShares,563399000.0,760791000.0,350995000.0,363983000.0
investments,388297000.0,-16725000.0,-145513000.0,-215602000.0
changeToLiabilities,60929000.0,-1122000.0,39012000.0,21909000.0
totalCashflowsFromInvestingActivities,-7107324000.0,-3278161000.0,-3641320000.0,-2161760000.0
netBorrowings,1255742000.0,796682000.0,1290970000.0,718217000.0
totalCashFromFinancingActivities,5916361000.0,2750356000.0,2927482000.0,1588433000.0
changeToOperatingActivities,-156151000.0,-72064000.0,-75280000.0,-77937000.0
issuanceOfStock,3529097000.0,2315862000.0,1216445000.0,1293301000.0
changeInCash,-182478000.0,355016000.0,-29441000.0,-5056000.0
repurchaseOfStock,-34338000.0,-21322000.0,-25477000.0,-25477000.0
effectOfExchangeRate,-1712000.0,311000.0,540000.0,-2068000.0
totalCashFromOperatingActivities,1010197000.0,882510000.0,683857000.0,570339000.0
depreciation,766281000.0,640860000.0,514799000.0,455723000.0
otherCashflowsFromInvestingActivities,-161696000.0,7408000.0,-18107000.0,-2000000.0
dividendsPaid,-655968000.0,-532980000.0,-451170000.0,-385839000.0
changeToAccountReceivables,-44000.0,2804000.0,-897000.0,435000.0
otherCashflowsFromFinancingActivities,1821828000.0,192114000.0,905954000.0,-23270000.0
changeToNetincome,-243506000.0,-469421000.0,-166047000.0,-219374000.0
annualDilutedAverageShares,147460000.0,126490000.0,112524000.0,103321000.0
