,2021,2020,2019,2018
intangibleAssets,658000000.0,611000000.0,585000000.0,800000000.0
capitalSurplus,11715000000.0,11531000000.0,11174000000.0,10963000000.0
totalLiab,7457000000.0,8072000000.0,7040000000.0,6498000000.0
totalStockholderEquity,17599000000.0,15037000000.0,12805000000.0,11392000000.0
otherCurrentLiab,1262000000.0,1815000000.0,1850000000.0,1697000000.0
totalAssets,25056000000.0,23109000000.0,19845000000.0,17890000000.0
otherCurrentAssets,981000000.0,702000000.0,585000000.0,653000000.0
retainedEarnings,12025000000.0,9691000000.0,7813000000.0,6593000000.0
otherLiab,1226000000.0,1143000000.0,1240000000.0,1185000000.0
goodWill,9799000000.0,9765000000.0,9764000000.0,9762000000.0
treasuryStock,-6141000000.0,-6185000000.0,-6182000000.0,-6164000000.0
otherAssets,1637000000.0,1716000000.0,1719000000.0,940000000.0
cash,10423000000.0,8647000000.0,5794000000.0,4225000000.0
totalCurrentLiabilities,2411000000.0,3100000000.0,2915000000.0,2642000000.0
deferredLongTermAssetCharges,1377000000.0,1318000000.0,1293000000.0,458000000.0
otherStockholderEquity,-578000000.0,-622000000.0,-619000000.0,-601000000.0
propertyPlantEquipment,406000000.0,452000000.0,485000000.0,282000000.0
totalCurrentAssets,12556000000.0,10565000000.0,7292000000.0,6106000000.0
netTangibleAssets,7142000000.0,4661000000.0,2456000000.0,830000000.0
shortTermInvestments,180000000.0,164000000.0,65000000.0,150000000.0
netReceivables,972000000.0,1052000000.0,848000000.0,1035000000.0
longTermDebt,3608000000.0,3605000000.0,2675000000.0,2671000000.0
accountsPayable,285000000.0,295000000.0,292000000.0,253000000.0
inventory,,,,43000000.0
researchDevelopment,1337000000.0,1150000000.0,998000000.0,1101000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,3164000000.0,2616000000.0,1633000000.0,1877000000.0
minorityInterest,,,,
netIncome,2699000000.0,2197000000.0,1503000000.0,1848000000.0
sellingGeneralAdministrative,1813000000.0,1848000000.0,1658000000.0,1884000000.0
grossProfit,6486000000.0,5826000000.0,4395000000.0,4983000000.0
ebit,3336000000.0,2828000000.0,1739000000.0,1998000000.0
operatingIncome,3336000000.0,2828000000.0,1739000000.0,1998000000.0
otherOperatingExpenses,,,,
interestExpense,-108000000.0,-99000000.0,-90000000.0,-140000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,465000000.0,419000000.0,130000000.0,29000000.0
totalRevenue,8803000000.0,8086000000.0,6489000000.0,7500000000.0
totalOperatingExpenses,5467000000.0,5258000000.0,4750000000.0,5502000000.0
costOfRevenue,2317000000.0,2260000000.0,2094000000.0,2517000000.0
totalOtherIncomeExpenseNet,-172000000.0,-212000000.0,-106000000.0,-121000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2699000000.0,2197000000.0,1503000000.0,1848000000.0
netIncomeApplicableToCommonShares,2699000000.0,2197000000.0,1503000000.0,1848000000.0
investments,32000000.0,-100000000.0,88000000.0,-93000000.0
changeToLiabilities,-544000000.0,206000000.0,-123000000.0,-187000000.0
totalCashflowsFromInvestingActivities,-59000000.0,-178000000.0,-22000000.0,-230000000.0
totalCashFromFinancingActivities,-521000000.0,711000000.0,-237000000.0,-2020000000.0
changeToOperatingActivities,-806000000.0,-620000000.0,-166000000.0,-982000000.0
issuanceOfStock,90000000.0,170000000.0,105000000.0,99000000.0
changeInCash,1786000000.0,2854000000.0,1569000000.0,-491000000.0
repurchaseOfStock,-246000000.0,-39000000.0,-59000000.0,-94000000.0
effectOfExchangeRate,-48000000.0,69000000.0,-3000000.0,-31000000.0
totalCashFromOperatingActivities,2414000000.0,2252000000.0,1831000000.0,1790000000.0
depreciation,116000000.0,197000000.0,328000000.0,509000000.0
otherCashflowsFromInvestingActivities,-11000000.0,-11000000.0,6000000.0,-6000000.0
dividendsPaid,-365000000.0,-316000000.0,-283000000.0,-259000000.0
changeToAccountReceivables,71000000.0,-194000000.0,182000000.0,-114000000.0
changeToNetincome,554000000.0,217000000.0,-118000000.0,227000000.0
capitalExpenditures,-80000000.0,-78000000.0,-116000000.0,-131000000.0
netBorrowings,,944000000.0,944000000.0,-1740000000.0
otherCashflowsFromFinancingActivities,,-48000000.0,-48000000.0,-26000000.0
annualDilutedAverageShares,784000000.0,778000000.0,771000000.0,771000000.0
