,2021,2020,2019,2018
capitalSurplus,10716414000.0,10664416000.0,10736733000.0,10306588000.0
totalLiab,8965555000.0,8444293000.0,8127601000.0,7744350000.0
totalStockholderEquity,10932527000.0,10751583000.0,10989549000.0,10632606000.0
minorityInterest,3934000.0,3268000.0,3901000.0,3244000.0
deferredLongTermLiab,55601000.0,68928000.0,70486000.0,47443000.0
otherCurrentLiab,225696000.0,225208000.0,215789000.0,204341000.0
totalAssets,19902016000.0,19199144000.0,19121051000.0,18380200000.0
commonStock,1398000.0,1395000.0,1406000.0,1385000.0
otherCurrentAssets,349691000.0,316659000.0,275878000.0,279346000.0
retainedEarnings,240821000.0,126022000.0,282913000.0,350777000.0
otherLiab,59787000.0,55928000.0,61752000.0,58415000.0
treasuryStock,-26106000.0,-40250000.0,-31503000.0,-26144000.0
otherAssets,367443000.0,463581000.0,578466000.0,200753000.0
cash,420251000.0,216976000.0,39687000.0,91659000.0
totalCurrentLiabilities,650603000.0,642549000.0,629091000.0,645672000.0
otherStockholderEquity,-26106000.0,-40250000.0,-31503000.0,-26144000.0
propertyPlantEquipment,18545037000.0,17995008000.0,18061214000.0,17591010000.0
totalCurrentAssets,773146000.0,537943000.0,315565000.0,371005000.0
longTermInvestments,216390000.0,202612000.0,165806000.0,217432000.0
netTangibleAssets,10932527000.0,10751583000.0,10989549000.0,10632606000.0
longTermDebt,8103547000.0,7564337000.0,7296290000.0,7040263000.0
accountsPayable,63722000.0,93609000.0,92135000.0,96983000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1010089000.0,824459000.0,799106000.0,974015000.0
netIncome,1004299000.0,827630000.0,785974000.0,974525000.0
sellingGeneralAdministrative,70588000.0,57792000.0,67217000.0,61413000.0
grossProfit,1455149000.0,1479342000.0,1559289000.0,1523717000.0
ebit,625965000.0,714219000.0,830494000.0,831108000.0
operatingIncome,625965000.0,714219000.0,830494000.0,831108000.0
otherOperatingExpenses,,,,
interestExpense,-220415000.0,-214151000.0,-203585000.0,-220974000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5733000.0,-3247000.0,13003000.0,-160000.0
totalRevenue,2310130000.0,2302526000.0,2327490000.0,2289150000.0
totalOperatingExpenses,1684165000.0,1588307000.0,1496996000.0,1458042000.0
costOfRevenue,854981000.0,823184000.0,768201000.0,765433000.0
totalOtherIncomeExpenseNet,384124000.0,110240000.0,-31388000.0,142907000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1004356000.0,827706000.0,786103000.0,974175000.0
netIncomeApplicableToCommonShares,1002199000.0,825675000.0,783911000.0,971686000.0
investments,9635000.0,-24931000.0,271000.0,24499000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-624053000.0,-179433000.0,-1193869000.0,-596651000.0
netBorrowings,526934000.0,262189000.0,252484000.0,80280000.0
totalCashFromFinancingActivities,-348861000.0,-854264000.0,-218185000.0,-688502000.0
changeToOperatingActivities,9997000.0,-25463000.0,-10497000.0,20251000.0
issuanceOfStock,31874000.0,3464000.0,409725000.0,52261000.0
changeInCash,230256000.0,185918000.0,-90250000.0,15958000.0
repurchaseOfStock,-13463000.0,-198793000.0,-16101000.0,-10556000.0
totalCashFromOperatingActivities,1203170000.0,1219615000.0,1321804000.0,1301111000.0
depreciation,758596000.0,707331000.0,661578000.0,631196000.0
otherCashflowsFromInvestingActivities,-29887000.0,1474000.0,-4848000.0,11606000.0
dividendsPaid,-888344000.0,-883212000.0,-839646000.0,-805239000.0
otherCashflowsFromFinancingActivities,-5862000.0,-37912000.0,-24647000.0,-5248000.0
changeToNetincome,-579865000.0,-299217000.0,-124188000.0,-334501000.0
capitalExpenditures,-10547000.0,-28505000.0,-5266000.0,-3325000.0
annualDilutedAverageShares,,,,
