,2022,2021,2020,2019,2018
intangibleAssets,,11374000000.0,16782000000.0,17554000000.0,10762000000.0
capitalSurplus,,24330000000.0,23982000000.0,25081000000.0,23285000000.0
totalLiab,,50581000000.0,52032000000.0,42523000000.0,23467000000.0
totalStockholderEquity,,24962000000.0,23874000000.0,24941000000.0,26657000000.0
otherCurrentLiab,,3756000000.0,3731000000.0,2616000000.0,486000000.0
totalAssets,,75570000000.0,75933000000.0,67493000000.0,50124000000.0
otherCurrentAssets,,516000000.0,590000000.0,427000000.0,123000000.0
retainedEarnings,,748000000.0,,,3487000000.0
otherLiab,,4400000000.0,4899000000.0,5613000000.0,3636000000.0
goodWill,,43450000000.0,43447000000.0,36714000000.0,26913000000.0
treasuryStock,,-116000000.0,-108000000.0,-140000000.0,-115000000.0
otherAssets,,1224000000.0,711000000.0,743000000.0,707000000.0
cash,,12163000000.0,7618000000.0,5055000000.0,4292000000.0
totalCurrentLiabilities,,6281000000.0,6371000000.0,6899000000.0,2338000000.0
shortLongTermDebt,,264000000.0,807000000.0,2787000000.0,
otherStockholderEquity,,-116000000.0,-108000000.0,-140000000.0,-115000000.0
propertyPlantEquipment,,2936000000.0,3098000000.0,2565000000.0,2635000000.0
totalCurrentAssets,,16586000000.0,11895000000.0,9917000000.0,9107000000.0
netTangibleAssets,,-29862000000.0,-36355000000.0,-29327000000.0,-11018000000.0
netReceivables,,2071000000.0,2297000000.0,3259000000.0,3325000000.0
longTermDebt,,39401000000.0,40187000000.0,30011000000.0,17493000000.0
inventory,,1297000000.0,1003000000.0,874000000.0,1124000000.0
accountsPayable,,1086000000.0,836000000.0,855000000.0,811000000.0
deferredLongTermAssetCharges,,,,50000000.0,284000000.0
commonStock,,,,,23285000000.0
researchDevelopment,,4854000000.0,4968000000.0,4696000000.0,3768000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,,6765000000.0,2443000000.0,2226000000.0,4545000000.0
minorityInterest,,,,,
netIncome,,6736000000.0,2960000000.0,2724000000.0,12259000000.0
sellingGeneralAdministrative,,1348000000.0,1932000000.0,1708000000.0,1027000000.0
grossProfit,,20288000000.0,17370000000.0,15874000000.0,13827000000.0
ebit,,8683000000.0,4250000000.0,4258000000.0,5487000000.0
operatingIncome,,8683000000.0,4250000000.0,4258000000.0,5487000000.0
otherOperatingExpenses,,,,,
interestExpense,,-1885000000.0,-1777000000.0,-1444000000.0,-628000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,,29000000.0,-518000000.0,-510000000.0,-8084000000.0
totalRevenue,,27450000000.0,23888000000.0,22597000000.0,20848000000.0
totalOperatingExpenses,,18767000000.0,19638000000.0,18339000000.0,15361000000.0
costOfRevenue,,7162000000.0,6518000000.0,6723000000.0,7021000000.0
totalOtherIncomeExpenseNet,,-1918000000.0,-1807000000.0,-2032000000.0,-942000000.0
discontinuedOperations,,,-1000000.0,-12000000.0,-19000000.0
netIncomeFromContinuingOps,,6736000000.0,2961000000.0,2736000000.0,12629000000.0
netIncomeApplicableToCommonShares,,6437000000.0,2663000000.0,2695000000.0,12259000000.0
investments,,169000000.0,169000000.0,169000000.0,-249000000.0
changeToLiabilities,,243000000.0,-3000000.0,-42000000.0,-325000000.0
totalCashflowsFromInvestingActivities,,-245000000.0,-11109000000.0,-15422000000.0,-4674000000.0
netBorrowings,,-1591000000.0,7703000000.0,13234000000.0,-973000000.0
totalCashFromFinancingActivities,,-8974000000.0,1611000000.0,6488000000.0,-11118000000.0
changeToOperatingActivities,,-286000000.0,146000000.0,-878000000.0,-396000000.0
issuanceOfStock,,170000000.0,276000000.0,253000000.0,212000000.0
changeInCash,,4545000000.0,2563000000.0,763000000.0,-6912000000.0
repurchaseOfStock,,-1299000000.0,-765000000.0,-6407000000.0,-7314000000.0
totalCashFromOperatingActivities,,13764000000.0,12061000000.0,9697000000.0,8880000000.0
depreciation,,6041000000.0,6905000000.0,5808000000.0,4081000000.0
otherCashflowsFromInvestingActivities,,-12000000.0,-4000000.0,-2000000.0,-2000000.0
dividendsPaid,,-6212000000.0,-5534000000.0,-4235000000.0,-2998000000.0
changeToInventory,,-294000000.0,-31000000.0,250000000.0,417000000.0
changeToAccountReceivables,,210000000.0,981000000.0,486000000.0,-652000000.0
otherCashflowsFromFinancingActivities,,-42000000.0,-69000000.0,-36000000.0,-45000000.0
changeToNetincome,,1114000000.0,1103000000.0,1349000000.0,-6504000000.0
capitalExpenditures,,-443000000.0,-463000000.0,-432000000.0,-635000000.0
annualDilutedAverageShares,,430075179.0,422055129.0,418999991.0,
