,2021,2020,2019,2018
capitalSurplus,6781000000.0,6747000000.0,6700000000.0,6657000000.0
totalLiab,18777000000.0,18312000000.0,16561000000.0,15359000000.0
totalStockholderEquity,7298000000.0,6454000000.0,6121000000.0,5864000000.0
deferredLongTermLiab,1051000000.0,1127000000.0,1128000000.0,1156000000.0
otherCurrentLiab,768500000.0,623000000.0,583000000.0,227000000.0
totalAssets,26075000000.0,24766000000.0,22682000000.0,21223000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,795500000.0,774000000.0,707000000.0,120000000.0
retainedEarnings,925000000.0,102000000.0,-207000000.0,-464000000.0
otherLiab,6212000000.0,6017000000.0,5783000000.0,5689000000.0
goodWill,1139000000.0,1504000000.0,1501000000.0,1575000000.0
treasuryStock,-410000000.0,-397000000.0,-374000000.0,-331000000.0
otherAssets,2206000000.0,1496000000.0,1494000000.0,1374000000.0
cash,116000000.0,547000000.0,60000000.0,130000000.0
totalCurrentLiabilities,2141000000.0,2881000000.0,2045000000.0,2094000000.0
shortLongTermDebt,57000000.0,329000000.0,28000000.0,85000000.0
otherStockholderEquity,-45000000.0,-49000000.0,-36000000.0,-34000000.0
propertyPlantEquipment,21176000000.0,19805000000.0,18335000000.0,17409000000.0
totalCurrentAssets,1554000000.0,1906000000.0,1285000000.0,781000000.0
netTangibleAssets,6159000000.0,4895000000.0,4553000000.0,4205000000.0
shortTermInvestments,17000000.0,11000000.0,8000000.0,3000000.0
netReceivables,568500000.0,527000000.0,466000000.0,487000000.0
longTermDebt,10343000000.0,9332000000.0,8643000000.0,7575000000.0
inventory,57000000.0,47000000.0,44000000.0,41000000.0
accountsPayable,235000000.0,189000000.0,203000000.0,175000000.0
intangibleAssets,,55000000.0,67000000.0,84000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1640000000.0,924000000.0,833000000.0,787000000.0
minorityInterest,,,,
netIncome,1263000000.0,709000000.0,621000000.0,567000000.0
sellingGeneralAdministrative,-78000000.0,-49000000.0,-16000000.0,-20000000.0
grossProfit,2153000000.0,2155000000.0,2066000000.0,1961000000.0
ebit,1274000000.0,1297000000.0,1230000000.0,1159000000.0
operatingIncome,1274000000.0,1297000000.0,1230000000.0,1159000000.0
otherOperatingExpenses,321000000.0,303000000.0,270000000.0,277000000.0
interestExpense,-403000000.0,-397000000.0,-386000000.0,-350000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,377000000.0,215000000.0,212000000.0,222000000.0
totalRevenue,3930000000.0,3777000000.0,3610000000.0,3440000000.0
totalOperatingExpenses,2656000000.0,2480000000.0,2380000000.0,2281000000.0
costOfRevenue,1777000000.0,1622000000.0,1544000000.0,1479000000.0
totalOtherIncomeExpenseNet,366000000.0,-373000000.0,-397000000.0,-372000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1263000000.0,709000000.0,621000000.0,565000000.0
netIncomeApplicableToCommonShares,1263000000.0,709000000.0,621000000.0,567000000.0
changeToLiabilities,66000000.0,-2000000.0,66000000.0,25000000.0
totalCashflowsFromInvestingActivities,-1536000000.0,-2061000000.0,-1945000000.0,-2036000000.0
netBorrowings,48000000.0,1487000000.0,857000000.0,892000000.0
totalCashFromFinancingActivities,-345000000.0,1120000000.0,494000000.0,726000000.0
changeToOperatingActivities,94000000.0,5000000.0,-107000000.0,-40000000.0
issuanceOfStock,17000000.0,26000000.0,26000000.0,207000000.0
changeInCash,-440000000.0,485000000.0,-68000000.0,76000000.0
repurchaseOfStock,-18000000.0,-17000000.0,-47000000.0,-53000000.0
totalCashFromOperatingActivities,1441000000.0,1426000000.0,1383000000.0,1386000000.0
depreciation,636000000.0,604000000.0,582000000.0,545000000.0
otherCashflowsFromInvestingActivities,-109000000.0,-106000000.0,-104000000.0,-87000000.0
dividendsPaid,-428000000.0,-389000000.0,-353000000.0,-319000000.0
changeToAccountReceivables,-74000000.0,-97000000.0,-25000000.0,-17000000.0
otherCashflowsFromFinancingActivities,36000000.0,13000000.0,11000000.0,-1000000.0
changeToNetincome,-544000000.0,207000000.0,246000000.0,306000000.0
capitalExpenditures,-1764000000.0,-1822000000.0,-1654000000.0,-1586000000.0
annualDilutedAverageShares,182000000.0,182000000.0,181000000.0,180000000.0
