,2021,2020,2019,2018
intangibleAssets,201000000.0,265000000.0,267000000.0,275000000.0
capitalSurplus,11495000000.0,11881000000.0,11774000000.0,12218000000.0
totalLiab,166371000000.0,168383000000.0,175250000000.0,166312000000.0
totalStockholderEquity,22177000000.0,22984000000.0,23071000000.0,22290000000.0
otherCurrentLiab,1576000000.0,943000000.0,1122000000.0,1079000000.0
totalAssets,188548000000.0,191367000000.0,198321000000.0,188602000000.0
commonStock,153000000.0,161000000.0,163000000.0,170000000.0
otherCurrentAssets,525000000.0,606000000.0,514000000.0,363000000.0
retainedEarnings,13474000000.0,13837000000.0,13871000000.0,12499000000.0
otherLiab,20905000000.0,19718000000.0,19906000000.0,18252000000.0
goodWill,3804000000.0,3852000000.0,3315000000.0,3072000000.0
treasuryStock,-2945000000.0,-2895000000.0,-2737000000.0,-2597000000.0
otherAssets,11822000000.0,12384000000.0,9413000000.0,8229000000.0
cash,21040000000.0,32267000000.0,23845000000.0,27381000000.0
totalCurrentLiabilities,105825000000.0,105713000000.0,97509000000.0,89637000000.0
deferredLongTermAssetCharges,2385000000.0,2700000000.0,1461000000.0,1306000000.0
otherStockholderEquity,-2945000000.0,-2895000000.0,-2737000000.0,-2597000000.0
propertyPlantEquipment,4988000000.0,5015000000.0,4834000000.0,4416000000.0
totalCurrentAssets,164018000000.0,147073000000.0,170932000000.0,166920000000.0
longTermInvestments,3715000000.0,22778000000.0,9560000000.0,5690000000.0
netTangibleAssets,18172000000.0,18867000000.0,19489000000.0,18943000000.0
shortTermInvestments,463000000.0,92000000.0,87000000.0,64000000.0
netReceivables,141697000000.0,114077000000.0,146418000000.0,138716000000.0
longTermDebt,38661000000.0,42935000000.0,57810000000.0,58404000000.0
accountsPayable,94956000000.0,96319000000.0,86025000000.0,82215000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10689000000.0,4296000000.0,8429000000.0,8122000000.0
minorityInterest,,,,
netIncome,8060000000.0,3135000000.0,6759000000.0,6921000000.0
sellingGeneralAdministrative,15293000000.0,12465000000.0,13036000000.0,11869000000.0
grossProfit,30799000000.0,22086000000.0,27321000000.0,25513000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,10169000000.0,4262000000.0,8389000000.0,8187000000.0
otherOperatingExpenses,5337000000.0,5359000000.0,5896000000.0,5457000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2629000000.0,1161000000.0,1670000000.0,1201000000.0
totalRevenue,43799000000.0,31357000000.0,39983000000.0,36986000000.0
totalOperatingExpenses,33630000000.0,27095000000.0,31594000000.0,28799000000.0
costOfRevenue,13000000000.0,9271000000.0,12662000000.0,11473000000.0
totalOtherIncomeExpenseNet,520000000.0,34000000.0,40000000.0,-65000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,8060000000.0,3135000000.0,6759000000.0,6921000000.0
netIncomeApplicableToCommonShares,7917000000.0,3036000000.0,6631000000.0,6787000000.0
investments,18577000000.0,-13334000000.0,-3815000000.0,-1931000000.0
changeToLiabilities,5389000000.0,-2025000000.0,1771000000.0,-4365000000.0
totalCashflowsFromInvestingActivities,-10529000000.0,11632000000.0,-16707000000.0,-19615000000.0
netBorrowings,-3413000000.0,-20151000000.0,2172000000.0,2481000000.0
totalCashFromFinancingActivities,-14933000000.0,-9068000000.0,-519000000.0,5101000000.0
changeToOperatingActivities,1068000000.0,-1785000000.0,-368000000.0,991000000.0
issuanceOfStock,64000000.0,44000000.0,86000000.0,87000000.0
changeInCash,-10937000000.0,8519000000.0,-3362000000.0,-5455000000.0
repurchaseOfStock,-7652000000.0,-1029000000.0,-4685000000.0,-1685000000.0
effectOfExchangeRate,-120000000.0,364000000.0,232000000.0,129000000.0
totalCashFromOperatingActivities,14645000000.0,5591000000.0,13632000000.0,8930000000.0
depreciation,1695000000.0,1543000000.0,1188000000.0,1293000000.0
dividendsPaid,-1448000000.0,-1474000000.0,-1422000000.0,-1324000000.0
otherCashflowsFromFinancingActivities,-2468000000.0,13542000000.0,3330000000.0,5542000000.0
changeToNetincome,-1567000000.0,4723000000.0,4282000000.0,4090000000.0
capitalExpenditures,-1638000000.0,-1479000000.0,-1688000000.0,-1311000000.0
otherCashflowsFromInvestingActivities,,135000000.0,152000000.0,152000000.0
annualDilutedAverageShares,790000000.0,806000000.0,830000000.0,859000000.0
