,2022,2021,2020,2019
capitalSurplus,1354252000.0,1465669000.0,1283495000.0,1264448000.0
totalLiab,18813956000.0,16313735000.0,15301849000.0,11609764000.0
totalStockholderEquity,-3538913000.0,-1797536000.0,-877977000.0,-1713851000.0
otherCurrentLiab,216668000.0,246266000.0,216907000.0,160893000.0
totalAssets,15275043000.0,14516199000.0,14423872000.0,9895913000.0
commonStock,207000.0,230000.0,237000.0,254000.0
otherCurrentAssets,170946000.0,179756000.0,146883000.0,156319000.0
retainedEarnings,-1330067000.0,-419829000.0,-1450970000.0,-1305347000.0
otherLiab,1048070000.0,855197000.0,847972000.0,767620000.0
goodWill,302645000.0,302645000.0,302645000.0,302645000.0
treasuryStock,-3563305000.0,-2843606000.0,-710739000.0,-1673206000.0
otherAssets,192401000.0,154737000.0,147336000.0,89248000.0
cash,264380000.0,1171335000.0,1750815000.0,176300000.0
totalCurrentLiabilities,8588393000.0,7369754000.0,6283091000.0,5512141000.0
deferredLongTermAssetCharges,52047000.0,41043000.0,27843000.0,26861000.0
otherStockholderEquity,-300536000.0,-307986000.0,-354252000.0,-269322000.0
propertyPlantEquipment,8089236000.0,7575603000.0,7090898000.0,4398751000.0
totalCurrentAssets,6627984000.0,6415303000.0,6811872000.0,5028685000.0
longTermInvestments,62777000.0,67911000.0,71121000.0,70968000.0
netTangibleAssets,-3841558000.0,-2100181000.0,-1180622000.0,-2022112000.0
shortTermInvestments,49768000.0,46007000.0,76118000.0,67958000.0
netReceivables,504886000.0,378392000.0,364774000.0,308995000.0
longTermDebt,6122092000.0,5269820000.0,5513371000.0,5206344000.0
inventory,5638004000.0,4639813000.0,4473282000.0,4319113000.0
accountsPayable,7301347000.0,6013924000.0,5156324000.0,4864912000.0
intangibleAssets,,,,5616000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3079091000.0,2749190000.0,2216514000.0,2031333000.0
minorityInterest,,,,
netIncome,2429604000.0,2170314000.0,1732972000.0,1617221000.0
sellingGeneralAdministrative,5201921000.0,4730258000.0,4269174000.0,4148864000.0
grossProfit,8472650000.0,7717785000.0,6770753000.0,6365001000.0
ebit,3270729000.0,2987527000.0,2501579000.0,2216137000.0
operatingIncome,3270729000.0,2987527000.0,2501579000.0,2216137000.0
otherOperatingExpenses,,,,
interestExpense,-197686000.0,-200754000.0,-206854000.0,-192200000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,649487000.0,578876000.0,483542000.0,414112000.0
totalRevenue,16252230000.0,14629585000.0,12631967000.0,11863743000.0
totalOperatingExpenses,12981501000.0,11642058000.0,10130388000.0,9647606000.0
costOfRevenue,7779580000.0,6911800000.0,5861214000.0,5498742000.0
totalOtherIncomeExpenseNet,-191638000.0,-238337000.0,-285065000.0,-184804000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2429604000.0,2170314000.0,1732972000.0,1617221000.0
netIncomeApplicableToCommonShares,2429604000.0,2170314000.0,1732972000.0,1617221000.0
investments,-33695000.0,-9995000.0,-51902000.0,-2398000.0
changeToLiabilities,1224692000.0,1029912000.0,531131000.0,464176000.0
totalCashflowsFromInvestingActivities,-648099000.0,-601778000.0,-497875000.0,-491846000.0
netBorrowings,786218000.0,-309853000.0,267842000.0,151393000.0
totalCashFromFinancingActivities,-3470497000.0,-3500417000.0,-643636000.0,-1674088000.0
changeToOperatingActivities,-25931000.0,-3815000.0,104463000.0,43839000.0
issuanceOfStock,113934000.0,187757000.0,68392000.0,188819000.0
changeInCash,-906955000.0,-579480000.0,1574515000.0,-41524000.0
repurchaseOfStock,-4359991000.0,-3378321000.0,-930903000.0,-2004896000.0
effectOfExchangeRate,506000.0,4172000.0,-4082000.0,-4103000.0
totalCashFromOperatingActivities,3211135000.0,3518543000.0,2720108000.0,2128513000.0
depreciation,442223000.0,407683000.0,397466000.0,369957000.0
changeToInventory,-990686000.0,-138517000.0,-184174000.0,-394147000.0
changeToAccountReceivables,-125732000.0,-11039000.0,-58564000.0,-48512000.0
otherCashflowsFromFinancingActivities,-10658000.0,-10658000.0,-48967000.0,-9404000.0
changeToNetincome,256206000.0,21680000.0,95912000.0,78306000.0
capitalExpenditures,-672391000.0,-621767000.0,-457736000.0,-496050000.0
annualDilutedAverageShares,,,,
