,2021,2020,2019,2018
intangibleAssets,2562000000.0,2843000000.0,3338000000.0,3429000000.0
capitalSurplus,9052000000.0,7787000000.0,6745000000.0,6768000000.0
totalLiab,153398000000.0,170211000000.0,141925000000.0,116949000000.0
totalStockholderEquity,-14999000000.0,-18316000000.0,-8617000000.0,339000000.0
minorityInterest,153000000.0,241000000.0,317000000.0,71000000.0
otherCurrentLiab,59839000000.0,60252000000.0,63717000000.0,54936000000.0
totalAssets,138552000000.0,152136000000.0,133625000000.0,117359000000.0
commonStock,5061000000.0,5061000000.0,5061000000.0,5061000000.0
otherCurrentAssets,2221000000.0,4286000000.0,3106000000.0,2335000000.0
retainedEarnings,34408000000.0,38610000000.0,50644000000.0,55941000000.0
otherLiab,13329000000.0,19957000000.0,23673000000.0,24702000000.0
goodWill,8068000000.0,8081000000.0,8060000000.0,7840000000.0
treasuryStock,-63520000000.0,-69774000000.0,-71067000000.0,-67431000000.0
otherAssets,4231000000.0,3546000000.0,3086000000.0,2110000000.0
cash,8052000000.0,7752000000.0,9485000000.0,7637000000.0
totalCurrentLiabilities,81992000000.0,87280000000.0,97312000000.0,81590000000.0
deferredLongTermAssetCharges,77000000.0,86000000.0,683000000.0,284000000.0
shortLongTermDebt,932000000.0,793000000.0,6840000000.0,2690000000.0
otherStockholderEquity,-11659000000.0,-17133000000.0,-16153000000.0,-15083000000.0
propertyPlantEquipment,12355000000.0,13072000000.0,13684000000.0,12645000000.0
totalCurrentAssets,108666000000.0,121642000000.0,102229000000.0,87830000000.0
longTermInvestments,975000000.0,1016000000.0,1092000000.0,1087000000.0
netTangibleAssets,-25629000000.0,-29240000000.0,-20015000000.0,-10930000000.0
shortTermInvestments,8192000000.0,17838000000.0,545000000.0,927000000.0
netReceivables,11261000000.0,9950000000.0,12309000000.0,13904000000.0
longTermDebt,55490000000.0,60987000000.0,18233000000.0,8501000000.0
inventory,78823000000.0,81715000000.0,76622000000.0,62567000000.0
accountsPayable,9261000000.0,12928000000.0,15553000000.0,12916000000.0
researchDevelopment,2249000000.0,2476000000.0,3219000000.0,3269000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,-5033000000.0,-14476000000.0,-2259000000.0,11604000000.0
netIncome,-4202000000.0,-11873000000.0,-636000000.0,10460000000.0
sellingGeneralAdministrative,3628000000.0,4493000000.0,3642000000.0,4525000000.0
grossProfit,5190000000.0,-1198000000.0,4759000000.0,19637000000.0
ebit,-687000000.0,-8167000000.0,-2102000000.0,11843000000.0
operatingIncome,-687000000.0,-8167000000.0,-2102000000.0,11843000000.0
otherOperatingExpenses,,,,
interestExpense,-2682000000.0,-2156000000.0,-722000000.0,-475000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-743000000.0,-2535000000.0,-1623000000.0,1144000000.0
totalRevenue,62286000000.0,58158000000.0,76559000000.0,101127000000.0
totalOperatingExpenses,62973000000.0,66325000000.0,78661000000.0,89284000000.0
costOfRevenue,57096000000.0,59356000000.0,71800000000.0,81490000000.0
totalOtherIncomeExpenseNet,-4346000000.0,-6309000000.0,-157000000.0,-239000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,-4290000000.0,-11941000000.0,-636000000.0,10460000000.0
netIncomeApplicableToCommonShares,-4202000000.0,-11873000000.0,-636000000.0,10460000000.0
investments,9776000000.0,-17341000000.0,101000000.0,291000000.0
changeToLiabilities,-1278000000.0,-6423000000.0,2337000000.0,2638000000.0
totalCashflowsFromInvestingActivities,9324000000.0,-18366000000.0,-1530000000.0,-4621000000.0
netBorrowings,-5576000000.0,36250000000.0,13218000000.0,1365000000.0
totalCashFromFinancingActivities,-5600000000.0,34955000000.0,5739000000.0,-11722000000.0
changeToOperatingActivities,-4006000000.0,838000000.0,6316000000.0,1879000000.0
issuanceOfStock,42000000.0,36000000.0,58000000.0,81000000.0
changeInCash,269000000.0,-1736000000.0,1758000000.0,-1074000000.0
repurchaseOfStock,-66000000.0,-173000000.0,-2899000000.0,-9257000000.0
effectOfExchangeRate,-39000000.0,85000000.0,-5000000.0,-53000000.0
totalCashFromOperatingActivities,-3416000000.0,-18410000000.0,-2446000000.0,15322000000.0
depreciation,2144000000.0,2246000000.0,2271000000.0,2114000000.0
otherCashflowsFromInvestingActivities,5000000.0,-18000000.0,-13000000.0,-11000000.0
changeToInventory,-1127000000.0,-11002000000.0,-12391000000.0,568000000.0
changeToAccountReceivables,-1299000000.0,1828000000.0,1585000000.0,-2621000000.0
changeToNetincome,5619000000.0,8552000000.0,548000000.0,464000000.0
capitalExpenditures,-980000000.0,-1303000000.0,-1834000000.0,-1722000000.0
dividendsPaid,,-1158000000.0,-4630000000.0,-3946000000.0
otherCashflowsFromFinancingActivities,,,-8000000.0,35000000.0
annualDilutedAverageShares,588000000.0,569000000.0,567857143.0,586200000.0
