,2021,2020,2019,2018
totalLiab,2899429000000.0,2546703000000.0,2169269000000.0,2089182000000.0
totalStockholderEquity,245358000000.0,248414000000.0,241409000000.0,242999000000.0
otherCurrentLiab,100690000000.0,71320000000.0,83270000000.0,68220000000.0
totalAssets,3169495000000.0,2819627000000.0,2434079000000.0,2354507000000.0
commonStock,62398000000.0,85982000000.0,91723000000.0,118896000000.0
otherCurrentAssets,127169000000.0,110153000000.0,124504000000.0,152330000000.0
retainedEarnings,188064000000.0,164088000000.0,156319000000.0,136314000000.0
otherLiab,6698000000.0,7836000000.0,9901000000.0,5051000000.0
goodWill,69022000000.0,68951000000.0,68951000000.0,68951000000.0
treasuryStock,-5104000000.0,-1656000000.0,-6633000000.0,-12211000000.0
otherAssets,1106864000000.0,1021889000000.0,1082606000000.0,1044414000000.0
cash,342321000000.0,373463000000.0,137160000000.0,156526000000.0
totalCurrentLiabilities,2615578000000.0,2265459000000.0,1908419000000.0,1854739000000.0
deferredLongTermAssetCharges,9153000000.0,7447000000.0,6444000000.0,10741000000.0
shortLongTermDebt,11905000000.0,,,
otherStockholderEquity,-5104000000.0,-1656000000.0,-6633000000.0,-12211000000.0
propertyPlantEquipment,21066000000.0,21000000000.0,20296000000.0,9906000000.0
totalCurrentAssets,975830000000.0,1009128000000.0,777955000000.0,780583000000.0
longTermInvestments,996713000000.0,698659000000.0,484271000000.0,450653000000.0
netTangibleAssets,176336000000.0,179463000000.0,172458000000.0,174048000000.0
shortTermInvestments,257157000000.0,309004000000.0,280704000000.0,266903000000.0
netReceivables,70063000000.0,61821000000.0,55937000000.0,65814000000.0
longTermDebt,268212000000.0,262934000000.0,240856000000.0,229392000000.0
inventory,130000000.0,164000000.0,285000000.0,300000000.0
accountsPayable,2064446000000.0,1795480000000.0,1434803000000.0,1381476000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,33976000000.0,18995000000.0,32754000000.0,34584000000.0
minorityInterest,,,,
netIncome,31978000000.0,17894000000.0,27430000000.0,28147000000.0
sellingGeneralAdministrative,52761000000.0,48483000000.0,46742000000.0,46188000000.0
grossProfit,93707000000.0,74208000000.0,85582000000.0,87738000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,33976000000.0,18995000000.0,32754000000.0,34584000000.0
otherOperatingExpenses,6970000000.0,6730000000.0,6086000000.0,6966000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1998000000.0,1101000000.0,5324000000.0,6437000000.0
totalRevenue,93707000000.0,74208000000.0,85582000000.0,87738000000.0
totalOperatingExpenses,59731000000.0,55213000000.0,52828000000.0,53154000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,0.0,0.0,0.0,0.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,31978000000.0,17894000000.0,27430000000.0,28147000000.0
netIncomeApplicableToCommonShares,30557000000.0,16473000000.0,25998000000.0,26696000000.0
investments,-310343000000.0,-189408000000.0,-23620000000.0,-6542000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-313291000000.0,-177665000000.0,-80630000000.0,-71468000000.0
netBorrowings,56287000000.0,9386000000.0,-16249000000.0,8824000000.0
totalCashFromFinancingActivities,291650000000.0,355819000000.0,3377000000.0,53118000000.0
changeToOperatingActivities,-39920000000.0,-326000000.0,13170000000.0,1257000000.0
changeInCash,-32242000000.0,218903000000.0,-15844000000.0,19970000000.0
repurchaseOfStock,-25126000000.0,-7025000000.0,-28144000000.0,-20094000000.0
effectOfExchangeRate,-3408000000.0,2756000000.0,-368000000.0,-1200000000.0
totalCashFromOperatingActivities,-7193000000.0,37993000000.0,61777000000.0,39520000000.0
depreciation,1898000000.0,1843000000.0,1729000000.0,2063000000.0
otherCashflowsFromInvestingActivities,49859000000.0,-32950000000.0,-16440000000.0,-50370000000.0
dividendsPaid,-8055000000.0,-7727000000.0,-5934000000.0,-6895000000.0
otherCashflowsFromFinancingActivities,268346000000.0,360076000000.0,52629000000.0,71280000000.0
changeToNetincome,-1149000000.0,18582000000.0,19448000000.0,8053000000.0
annualDilutedAverageShares,8558400000.0,8796900000.0,9442900000.0,10236900000.0
