,2021,2020,2019,2018
intangibleAssets,1688000000.0,1883000000.0,2002000000.0,2188000000.0
totalLiab,16029000000.0,14915000000.0,14341000000.0,12992000000.0
totalStockholderEquity,3627000000.0,3275000000.0,2949000000.0,3458000000.0
minorityInterest,58000000.0,62000000.0,70000000.0,104000000.0
otherCurrentLiab,750000000.0,587000000.0,618000000.0,492000000.0
totalAssets,19714000000.0,18252000000.0,17360000000.0,16554000000.0
commonStock,1220000000.0,1167000000.0,1178000000.0,1157000000.0
otherCurrentAssets,305000000.0,218000000.0,181000000.0,146000000.0
retainedEarnings,6843000000.0,6192000000.0,5803000000.0,5341000000.0
otherLiab,2014000000.0,2456000000.0,2246000000.0,2387000000.0
goodWill,4378000000.0,4484000000.0,4419000000.0,4475000000.0
treasuryStock,-4436000000.0,-4084000000.0,-4032000000.0,-3040000000.0
otherAssets,1319000000.0,1236000000.0,1055000000.0,1107000000.0
cash,563000000.0,1366000000.0,1798000000.0,721000000.0
totalCurrentLiabilities,5953000000.0,4444000000.0,5577000000.0,4095000000.0
deferredLongTermAssetCharges,126000000.0,227000000.0,241000000.0,237000000.0
shortLongTermDebt,1000000.0,1000000.0,1454000000.0,8000000.0
otherStockholderEquity,-582000000.0,-954000000.0,-910000000.0,-835000000.0
propertyPlantEquipment,6922000000.0,5653000000.0,4709000000.0,4542000000.0
totalCurrentAssets,5223000000.0,4675000000.0,4884000000.0,3940000000.0
longTermInvestments,184000000.0,321000000.0,291000000.0,302000000.0
netTangibleAssets,-2439000000.0,-3092000000.0,-3472000000.0,-3205000000.0
netReceivables,2560000000.0,1738000000.0,1631000000.0,1802000000.0
longTermDebt,7710000000.0,7773000000.0,6337000000.0,6510000000.0
inventory,1795000000.0,1353000000.0,1274000000.0,1271000000.0
accountsPayable,4759000000.0,3430000000.0,3136000000.0,3095000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1034000000.0,681000000.0,607000000.0,638000000.0
netIncome,878000000.0,585000000.0,566000000.0,454000000.0
sellingGeneralAdministrative,593000000.0,525000000.0,417000000.0,478000000.0
grossProfit,2726000000.0,2458000000.0,2271000000.0,2306000000.0
ebit,1433000000.0,1265000000.0,1176000000.0,1126000000.0
operatingIncome,1433000000.0,1265000000.0,1176000000.0,1126000000.0
otherOperatingExpenses,,,,
interestExpense,-270000000.0,-275000000.0,-317000000.0,-301000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,156000000.0,99000000.0,71000000.0,185000000.0
totalRevenue,13811000000.0,11781000000.0,11474000000.0,11635000000.0
totalOperatingExpenses,12378000000.0,10516000000.0,10298000000.0,10509000000.0
costOfRevenue,11085000000.0,9323000000.0,9203000000.0,9329000000.0
totalOtherIncomeExpenseNet,-399000000.0,-584000000.0,-569000000.0,-488000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,878000000.0,582000000.0,536000000.0,453000000.0
netIncomeApplicableToCommonShares,878000000.0,585000000.0,566000000.0,454000000.0
changeToLiabilities,1312000000.0,66000000.0,72000000.0,592000000.0
totalCashflowsFromInvestingActivities,-1639000000.0,-1181000000.0,-422000000.0,-206000000.0
netBorrowings,98000000.0,-262000000.0,1112000000.0,-178000000.0
totalCashFromFinancingActivities,-894000000.0,-602000000.0,-46000000.0,-1040000000.0
changeToOperatingActivities,134000000.0,54000000.0,156000000.0,-264000000.0
issuanceOfStock,47000000.0,47000000.0,19000000.0,28000000.0
changeInCash,-802000000.0,-425000000.0,1078000000.0,269000000.0
repurchaseOfStock,-766000000.0,-75000000.0,-964000000.0,-739000000.0
effectOfExchangeRate,-29000000.0,-74000000.0,-2000000.0,-51000000.0
totalCashFromOperatingActivities,1760000000.0,1432000000.0,1548000000.0,1566000000.0
depreciation,700000000.0,668000000.0,678000000.0,702000000.0
otherCashflowsFromInvestingActivities,-25000000.0,18000000.0,16000000.0,71000000.0
dividendsPaid,-229000000.0,-198000000.0,-182000000.0,-137000000.0
changeToInventory,-464000000.0,-64000000.0,-45000000.0,-248000000.0
changeToAccountReceivables,-863000000.0,-135000000.0,49000000.0,-17000000.0
otherCashflowsFromFinancingActivities,-44000000.0,-67000000.0,-31000000.0,-14000000.0
changeToNetincome,63000000.0,258000000.0,72000000.0,347000000.0
capitalExpenditures,-1726000000.0,-1113000000.0,-598000000.0,-816000000.0
annualDilutedAverageShares,331615000.0,332815000.0,340121000.0,352321000.0
