,2021,2020,2019,2018
intangibleAssets,7792000000.0,1671000000.0,1471000000.0,1410000000.0
capitalSurplus,6197000000.0,6043000000.0,5955000000.0,5898000000.0
totalLiab,24400000000.0,11293000000.0,10281000000.0,7854000000.0
totalStockholderEquity,9077000000.0,8689000000.0,7882000000.0,7844000000.0
minorityInterest,44000000.0,37000000.0,30000000.0,22000000.0
deferredLongTermLiab,99000000.0,68000000.0,,
otherCurrentLiab,1211000000.0,923000000.0,874000000.0,1002000000.0
totalAssets,33521000000.0,20019000000.0,18193000000.0,15720000000.0
commonStock,683000000.0,683000000.0,683000000.0,683000000.0
otherCurrentAssets,755000000.0,688000000.0,619000000.0,614000000.0
retainedEarnings,17065000000.0,16328000000.0,15718000000.0,15075000000.0
otherLiab,2493000000.0,1673000000.0,1680000000.0,1556000000.0
goodWill,9836000000.0,3217000000.0,3030000000.0,3002000000.0
treasuryStock,-14868000000.0,-14365000000.0,-14474000000.0,-13812000000.0
otherAssets,1059000000.0,1260000000.0,993000000.0,775000000.0
cash,2951000000.0,3730000000.0,3335000000.0,1838000000.0
totalCurrentLiabilities,4236000000.0,3333000000.0,3230000000.0,2814000000.0
deferredLongTermAssetCharges,376000000.0,748000000.0,621000000.0,483000000.0
shortLongTermDebt,208000000.0,405000000.0,315000000.0,2000000.0
otherStockholderEquity,-3380000000.0,-3314000000.0,-3710000000.0,-3823000000.0
propertyPlantEquipment,5808000000.0,5325000000.0,5120000000.0,4530000000.0
totalCurrentAssets,8872000000.0,8411000000.0,7503000000.0,5959000000.0
longTermInvestments,154000000.0,135000000.0,76000000.0,44000000.0
netTangibleAssets,-8551000000.0,3801000000.0,3381000000.0,3432000000.0
netReceivables,2713000000.0,2077000000.0,1896000000.0,1840000000.0
longTermDebt,17081000000.0,5722000000.0,4807000000.0,3408000000.0
inventory,2453000000.0,1916000000.0,1653000000.0,1667000000.0
accountsPayable,1246000000.0,1043000000.0,892000000.0,998000000.0
researchDevelopment,529000000.0,495000000.0,561000000.0,618000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1477000000.0,1292000000.0,970000000.0,1617000000.0
netIncome,1284000000.0,1102000000.0,1001000000.0,1546000000.0
sellingGeneralAdministrative,2630000000.0,2360000000.0,2442000000.0,2401000000.0
grossProfit,5250000000.0,4733000000.0,4821000000.0,4811000000.0
ebit,2091000000.0,1878000000.0,1822000000.0,1801000000.0
operatingIncome,2091000000.0,1878000000.0,1822000000.0,1801000000.0
otherOperatingExpenses,,,-4000000.0,-9000000.0
interestExpense,-206000000.0,-153000000.0,-111000000.0,-93000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,182000000.0,182000000.0,-41000000.0,65000000.0
totalRevenue,12784000000.0,11673000000.0,11362000000.0,11099000000.0
totalOperatingExpenses,10693000000.0,9795000000.0,9540000000.0,9298000000.0
costOfRevenue,7534000000.0,6940000000.0,6541000000.0,6288000000.0
totalOtherIncomeExpenseNet,-614000000.0,-586000000.0,-852000000.0,-184000000.0
discontinuedOperations,,,,-6000000.0
netIncomeFromContinuingOps,1295000000.0,1110000000.0,1011000000.0,1552000000.0
netIncomeApplicableToCommonShares,1284000000.0,1102000000.0,1001000000.0,1546000000.0
changeToLiabilities,104000000.0,57000000.0,-23000000.0,60000000.0
totalCashflowsFromInvestingActivities,-11200000000.0,-1179000000.0,-1100000000.0,-916000000.0
netBorrowings,9326000000.0,478000000.0,1883000000.0,1883000000.0
totalCashFromFinancingActivities,8245000000.0,-345000000.0,498000000.0,-2603000000.0
changeToOperatingActivities,-58000000.0,-48000000.0,-354000000.0,-99000000.0
issuanceOfStock,187000000.0,202000000.0,356000000.0,258000000.0
changeInCash,-780000000.0,401000000.0,1497000000.0,-1565000000.0
repurchaseOfStock,-600000000.0,-500000000.0,-1270000000.0,-2452000000.0
effectOfExchangeRate,-47000000.0,57000000.0,-5000000.0,-63000000.0
totalCashFromOperatingActivities,2222000000.0,1868000000.0,2104000000.0,2017000000.0
depreciation,890000000.0,823000000.0,784000000.0,762000000.0
otherCashflowsFromInvestingActivities,45000000.0,24000000.0,14000000.0,11000000.0
dividendsPaid,-530000000.0,-473000000.0,-423000000.0,-376000000.0
changeToInventory,-37000000.0,-162000000.0,4000000.0,-197000000.0
changeToAccountReceivables,-170000000.0,-119000000.0,-52000000.0,-12000000.0
otherCashflowsFromFinancingActivities,-138000000.0,-52000000.0,-48000000.0,-33000000.0
changeToNetincome,209000000.0,215000000.0,744000000.0,-43000000.0
capitalExpenditures,-743000000.0,-709000000.0,-696000000.0,-659000000.0
annualDilutedAverageShares,508000000.0,517000000.0,519000000.0,546000000.0
