,2022,2021,2020,2019
intangibleAssets,165000000.0,165000000.0,411000000.0,411000000.0
capitalSurplus,893000000.0,891000000.0,847000000.0,771000000.0
totalLiab,7543000000.0,12232000000.0,11620000000.0,8955000000.0
totalStockholderEquity,-1518000000.0,-662000000.0,-1499000000.0,-869000000.0
minorityInterest,1000000.0,1000000.0,4000000.0,4000000.0
otherCurrentLiab,344000000.0,1816000000.0,687000000.0,726000000.0
totalAssets,6026000000.0,11571000000.0,10125000000.0,8090000000.0
commonStock,134000000.0,143000000.0,142000000.0,141000000.0
otherCurrentAssets,81000000.0,1291000000.0,153000000.0,232000000.0
retainedEarnings,-1803000000.0,-1421000000.0,-2182000000.0,-1482000000.0
otherLiab,410000000.0,2098000000.0,696000000.0,1211000000.0
goodWill,628000000.0,628000000.0,628000000.0,1348000000.0
treasuryStock,-742000000.0,-275000000.0,-306000000.0,-299000000.0
otherAssets,68000000.0,3095000000.0,184000000.0,164000000.0
cash,1979000000.0,3568000000.0,1499000000.0,1413000000.0
totalCurrentLiabilities,1290000000.0,2826000000.0,2372000000.0,1986000000.0
deferredLongTermAssetCharges,45000000.0,58000000.0,84000000.0,62000000.0
otherStockholderEquity,80000000.0,83000000.0,52000000.0,59000000.0
propertyPlantEquipment,2030000000.0,1985000000.0,5539000000.0,2818000000.0
totalCurrentAssets,3009000000.0,5579000000.0,3245000000.0,3260000000.0
longTermInvestments,126000000.0,119000000.0,118000000.0,89000000.0
netTangibleAssets,-2311000000.0,-1455000000.0,-2538000000.0,-2628000000.0
netReceivables,240000000.0,148000000.0,306000000.0,367000000.0
longTermDebt,4854000000.0,6366000000.0,5487000000.0,5739000000.0
inventory,709000000.0,572000000.0,1287000000.0,1248000000.0
accountsPayable,435000000.0,345000000.0,647000000.0,711000000.0
shortLongTermDebt,,,61000000.0,72000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1423000000.0,1122000000.0,608000000.0,857000000.0
netIncome,1333000000.0,844000000.0,-366000000.0,644000000.0
sellingGeneralAdministrative,1846000000.0,1462000000.0,597000000.0,4289000000.0
grossProfit,3855000000.0,3350000000.0,2650000000.0,5749000000.0
ebit,2009000000.0,1888000000.0,2053000000.0,1460000000.0
operatingIncome,2009000000.0,1888000000.0,2053000000.0,1460000000.0
otherOperatingExpenses,,,,
interestExpense,-388000000.0,-432000000.0,-370000000.0,-385000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,348000000.0,257000000.0,148000000.0,213000000.0
totalRevenue,7882000000.0,6434000000.0,5405000000.0,13237000000.0
totalOperatingExpenses,5873000000.0,4546000000.0,3352000000.0,11777000000.0
costOfRevenue,4027000000.0,3084000000.0,2755000000.0,7488000000.0
totalOtherIncomeExpenseNet,-586000000.0,-766000000.0,-1445000000.0,-603000000.0
discontinuedOperations,258000000.0,-21000000.0,-826000000.0,-826000000.0
netIncomeFromContinuingOps,1075000000.0,865000000.0,460000000.0,644000000.0
netIncomeApplicableToCommonShares,1333000000.0,844000000.0,-366000000.0,644000000.0
changeToLiabilities,-86000000.0,166000000.0,-93000000.0,29000000.0
totalCashflowsFromInvestingActivities,-259000000.0,-219000000.0,-480000000.0,-609000000.0
netBorrowings,-1728000000.0,703000000.0,-316000000.0,7000000.0
totalCashFromFinancingActivities,-3188000000.0,610000000.0,-666000000.0,-872000000.0
changeToOperatingActivities,-91000000.0,213000000.0,-20000000.0,128000000.0
issuanceOfStock,83000000.0,8000000.0,1000000.0,1000000.0
changeInCash,-1954000000.0,2434000000.0,86000000.0,-102000000.0
repurchaseOfStock,-2023000000.0,-12000000.0,-13000000.0,-211000000.0
effectOfExchangeRate,1000000.0,4000000.0,-4000000.0,2000000.0
totalCashFromOperatingActivities,1492000000.0,2039000000.0,1236000000.0,1377000000.0
depreciation,363000000.0,521000000.0,588000000.0,590000000.0
otherCashflowsFromInvestingActivities,11000000.0,9000000.0,-22000000.0,20000000.0
dividendsPaid,-120000000.0,-83000000.0,-332000000.0,-666000000.0
changeToInventory,-177000000.0,3000000.0,-40000000.0,-40000000.0
changeToAccountReceivables,-64000000.0,38000000.0,31000000.0,-63000000.0
otherCashflowsFromFinancingActivities,600000000.0,-6000000.0,-6000000.0,-2000000.0
changeToNetincome,286000000.0,297000000.0,1118000000.0,202000000.0
capitalExpenditures,-270000000.0,-228000000.0,-458000000.0,-629000000.0
annualDilutedAverageShares,273000000.0,281847000.0,276000000.0,276163000.0
