,2022,2021,2020,2019
intangibleAssets,275000000.0,301000000.0,381000000.0,368000000.0
totalLiab,14484000000.0,14480000000.0,12112000000.0,9595000000.0
totalStockholderEquity,3020000000.0,4587000000.0,3479000000.0,3306000000.0
otherCurrentLiab,1502000000.0,1099000000.0,921000000.0,882000000.0
totalAssets,17504000000.0,19067000000.0,15591000000.0,12901000000.0
commonStock,23000000.0,26000000.0,26000000.0,27000000.0
otherCurrentAssets,596000000.0,308000000.0,204000000.0,283000000.0
retainedEarnings,2668000000.0,4233000000.0,3158000000.0,2985000000.0
otherLiab,533000000.0,694000000.0,657000000.0,749000000.0
goodWill,1384000000.0,986000000.0,984000000.0,915000000.0
treasuryStock,329000000.0,328000000.0,295000000.0,294000000.0
otherAssets,352000000.0,277000000.0,243000000.0,212000000.0
cash,2936000000.0,5494000000.0,2229000000.0,1980000000.0
totalCurrentLiabilities,10674000000.0,10521000000.0,8060000000.0,7513000000.0
deferredLongTermAssetCharges,25000000.0,17000000.0,9000000.0,55000000.0
otherStockholderEquity,329000000.0,328000000.0,295000000.0,294000000.0
propertyPlantEquipment,4904000000.0,4872000000.0,5037000000.0,2510000000.0
totalCurrentAssets,10539000000.0,12540000000.0,8857000000.0,8870000000.0
longTermInvestments,50000000.0,91000000.0,89000000.0,26000000.0
netTangibleAssets,1361000000.0,3300000000.0,2114000000.0,2023000000.0
netReceivables,1042000000.0,1061000000.0,1149000000.0,1015000000.0
longTermDebt,1189000000.0,1229000000.0,1233000000.0,1168000000.0
inventory,5965000000.0,5612000000.0,5174000000.0,5409000000.0
accountsPayable,6803000000.0,6979000000.0,5288000000.0,5257000000.0
shortTermInvestments,,65000000.0,101000000.0,183000000.0
shortLongTermDebt,,,14000000.0,1000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3028000000.0,2377000000.0,1993000000.0,1888000000.0
minorityInterest,,,,
netIncome,2454000000.0,1798000000.0,1541000000.0,1464000000.0
sellingGeneralAdministrative,8624000000.0,8009000000.0,7995000000.0,7979000000.0
grossProfit,11634000000.0,10596000000.0,10048000000.0,9961000000.0
ebit,3010000000.0,2587000000.0,2053000000.0,1959000000.0
operatingIncome,3010000000.0,2587000000.0,2053000000.0,1959000000.0
otherOperatingExpenses,,,,
interestExpense,-25000000.0,-52000000.0,-64000000.0,-73000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,574000000.0,579000000.0,452000000.0,424000000.0
totalRevenue,51761000000.0,47262000000.0,43638000000.0,42879000000.0
totalOperatingExpenses,48751000000.0,44675000000.0,41585000000.0,40920000000.0
costOfRevenue,40127000000.0,36666000000.0,33590000000.0,32918000000.0
totalOtherIncomeExpenseNet,18000000.0,-210000000.0,-60000000.0,-67000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2454000000.0,1798000000.0,1541000000.0,1464000000.0
netIncomeApplicableToCommonShares,2454000000.0,1798000000.0,1541000000.0,1464000000.0
investments,-167000000.0,-74000000.0,-8000000.0,2098000000.0
changeToLiabilities,-201000000.0,1676000000.0,47000000.0,432000000.0
totalCashflowsFromInvestingActivities,-1372000000.0,-788000000.0,-895000000.0,508000000.0
netBorrowings,-133000000.0,-24000000.0,-15000000.0,-48000000.0
totalCashFromFinancingActivities,-4297000000.0,-876000000.0,-1498000000.0,-2018000000.0
changeToOperatingActivities,465000000.0,447000000.0,-84000000.0,-268000000.0
issuanceOfStock,29000000.0,28000000.0,48000000.0,38000000.0
changeInCash,-2420000000.0,3270000000.0,171000000.0,884000000.0
repurchaseOfStock,-3502000000.0,-312000000.0,-1003000000.0,-1505000000.0
effectOfExchangeRate,-3000000.0,7000000.0,-1000000.0,-14000000.0
totalCashFromOperatingActivities,3252000000.0,4927000000.0,2565000000.0,2408000000.0
depreciation,869000000.0,839000000.0,812000000.0,770000000.0
dividendsPaid,-688000000.0,-568000000.0,-527000000.0,-497000000.0
changeToInventory,-328000000.0,-435000000.0,237000000.0,-194000000.0
changeToAccountReceivables,17000000.0,73000000.0,-131000000.0,28000000.0
otherCashflowsFromFinancingActivities,-3000000.0,-3000000.0,-1000000.0,-6000000.0
changeToNetincome,132000000.0,356000000.0,275000000.0,154000000.0
capitalExpenditures,-737000000.0,-713000000.0,-743000000.0,-819000000.0
otherCashflowsFromInvestingActivities,,-1000000.0,1000000.0,16000000.0
annualDilutedAverageShares,249300000.0,263000000.0,268100000.0,281400000.0
