,2021,2020,2019,2018
intangibleAssets,12783000000.0,13813000000.0,14978000000.0,16441000000.0
capitalSurplus,19272000000.0,19270000000.0,16270000000.0,16179000000.0
totalLiab,30189000000.0,30247000000.0,30684000000.0,32910000000.0
totalStockholderEquity,23675000000.0,23763000000.0,21079000000.0,20992000000.0
otherCurrentLiab,176000000.0,143000000.0,140000000.0,344000000.0
totalAssets,53866000000.0,54012000000.0,51765000000.0,53904000000.0
commonStock,365000000.0,365000000.0,347000000.0,347000000.0
otherCurrentAssets,108000000.0,92000000.0,55000000.0,233000000.0
retainedEarnings,13826000000.0,12791000000.0,12913000000.0,12596000000.0
otherLiab,6109000000.0,6851000000.0,6948000000.0,6800000000.0
goodWill,23901000000.0,23620000000.0,23376000000.0,23600000000.0
treasuryStock,-9788000000.0,-8663000000.0,-8451000000.0,-8130000000.0
otherAssets,1505000000.0,1269000000.0,1088000000.0,1077000000.0
cash,2283000000.0,2825000000.0,536000000.0,1140000000.0
totalCurrentLiabilities,6626000000.0,5836000000.0,5655000000.0,7216000000.0
deferredLongTermAssetCharges,1343000000.0,,,
shortLongTermDebt,500000000.0,707000000.0,1309000000.0,1891000000.0
otherStockholderEquity,-2065000000.0,-2525000000.0,-2261000000.0,-1887000000.0
propertyPlantEquipment,6839000000.0,6341000000.0,5659000000.0,5375000000.0
totalCurrentAssets,8838000000.0,8969000000.0,6664000000.0,7411000000.0
netTangibleAssets,-13009000000.0,-13670000000.0,-17275000000.0,-19049000000.0
shortTermInvestments,12000000.0,20000000.0,30000000.0,17000000.0
netReceivables,2497000000.0,2398000000.0,2345000000.0,2319000000.0
longTermDebt,17110000000.0,17224000000.0,18081000000.0,18894000000.0
inventory,2866000000.0,2743000000.0,2579000000.0,2451000000.0
accountsPayable,1793000000.0,1355000000.0,1092000000.0,1106000000.0
researchDevelopment,1339000000.0,1096000000.0,1032000000.0,1004000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2242000000.0,985000000.0,1176000000.0,1173000000.0
minorityInterest,,,,
netIncome,2092000000.0,874000000.0,1233000000.0,311000000.0
sellingGeneralAdministrative,4868000000.0,4318000000.0,4334000000.0,4029000000.0
grossProfit,9576000000.0,7919000000.0,8288000000.0,7805000000.0
ebit,3369000000.0,2520000000.0,2944000000.0,2772000000.0
operatingIncome,3369000000.0,2520000000.0,2944000000.0,2772000000.0
otherOperatingExpenses,,-15000000.0,-22000000.0,-22000000.0
interestExpense,-469000000.0,-528000000.0,-639000000.0,-706000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,150000000.0,111000000.0,-57000000.0,862000000.0
totalRevenue,20248000000.0,17117000000.0,17290000000.0,15983000000.0
totalOperatingExpenses,16879000000.0,14597000000.0,14346000000.0,13211000000.0
costOfRevenue,10672000000.0,9198000000.0,9002000000.0,8178000000.0
totalOtherIncomeExpenseNet,-1127000000.0,-1535000000.0,-1768000000.0,-1599000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2092000000.0,874000000.0,1233000000.0,311000000.0
netIncomeApplicableToCommonShares,2002000000.0,767000000.0,1081000000.0,159000000.0
changeToLiabilities,687000000.0,205000000.0,-470000000.0,867000000.0
totalCashflowsFromInvestingActivities,-1880000000.0,-1232000000.0,-741000000.0,-15733000000.0
netBorrowings,-243000000.0,-1760000000.0,-2035000000.0,1090000000.0
totalCashFromFinancingActivities,-3306000000.0,22000000.0,-3223000000.0,-58000000.0
changeToOperatingActivities,-186000000.0,81000000.0,299000000.0,-46000000.0
changeInCash,-525000000.0,2326000000.0,-646000000.0,-12943000000.0
repurchaseOfStock,-1750000000.0,-1750000000.0,-1750000000.0,-1750000000.0
effectOfExchangeRate,15000000.0,-3000000.0,-12000000.0,-17000000.0
totalCashFromOperatingActivities,4647000000.0,3539000000.0,3330000000.0,2865000000.0
depreciation,2273000000.0,2154000000.0,2253000000.0,1978000000.0
otherCashflowsFromInvestingActivities,-141000000.0,-258000000.0,-261000000.0,-217000000.0
dividendsPaid,-1048000000.0,-1026000000.0,-984000000.0,-927000000.0
changeToInventory,-104000000.0,-125000000.0,-149000000.0,246000000.0
changeToAccountReceivables,-95000000.0,-48000000.0,-51000000.0,-170000000.0
otherCashflowsFromFinancingActivities,-265000000.0,-109000000.0,-204000000.0,-221000000.0
changeToNetincome,-20000000.0,398000000.0,215000000.0,-321000000.0
capitalExpenditures,-1231000000.0,-810000000.0,-957000000.0,-895000000.0
issuanceOfStock,,2917000000.0,2917000000.0,2917000000.0
annualDilutedAverageShares,,,,
