,2022,2021,2020,2019
intangibleAssets,586000000.0,676000000.0,635000000.0,645000000.0
totalLiab,3636000000.0,3866000000.0,3791000000.0,3492000000.0
totalStockholderEquity,2737000000.0,2656000000.0,1975000000.0,1647000000.0
otherCurrentLiab,82000000.0,34000000.0,32000000.0,14000000.0
totalAssets,6373000000.0,6522000000.0,5766000000.0,5139000000.0
commonStock,72000000.0,72000000.0,72000000.0,72000000.0
otherCurrentAssets,122000000.0,93000000.0,140000000.0,92000000.0
retainedEarnings,3242000000.0,3243000000.0,2708000000.0,2238000000.0
otherLiab,529000000.0,545000000.0,605000000.0,499000000.0
goodWill,761000000.0,779000000.0,756000000.0,753000000.0
treasuryStock,-577000000.0,-659000000.0,-805000000.0,-663000000.0
otherAssets,301000000.0,251000000.0,211000000.0,206000000.0
cash,868000000.0,1150000000.0,675000000.0,307000000.0
totalCurrentLiabilities,1034000000.0,918000000.0,880000000.0,703000000.0
deferredLongTermAssetCharges,74000000.0,70000000.0,15000000.0,16000000.0
shortLongTermDebt,250000000.0,,,
otherStockholderEquity,-352000000.0,-422000000.0,-547000000.0,-363000000.0
propertyPlantEquipment,949000000.0,899000000.0,899000000.0,816000000.0
totalCurrentAssets,3776000000.0,3917000000.0,3265000000.0,2719000000.0
netTangibleAssets,1390000000.0,1201000000.0,584000000.0,249000000.0
netReceivables,813000000.0,753000000.0,570000000.0,609000000.0
longTermDebt,2019000000.0,2354000000.0,2269000000.0,2290000000.0
inventory,1818000000.0,1751000000.0,1685000000.0,1520000000.0
accountsPayable,218000000.0,172000000.0,131000000.0,150000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1114000000.0,1081000000.0,1009000000.0,1042000000.0
minorityInterest,,,,
netIncome,838000000.0,903000000.0,827000000.0,835000000.0
sellingGeneralAdministrative,1141000000.0,1076000000.0,1030000000.0,1059000000.0
grossProfit,2391000000.0,2094000000.0,2127000000.0,2166000000.0
ebit,1236000000.0,1016000000.0,1100000000.0,1116000000.0
operatingIncome,1236000000.0,1016000000.0,1100000000.0,1116000000.0
otherOperatingExpenses,14000000.0,2000000.0,-3000000.0,-9000000.0
interestExpense,-82000000.0,-81000000.0,-82000000.0,-88000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,276000000.0,178000000.0,182000000.0,207000000.0
totalRevenue,3933000000.0,3461000000.0,3363000000.0,3324000000.0
totalOperatingExpenses,2697000000.0,2445000000.0,2263000000.0,2208000000.0
costOfRevenue,1542000000.0,1367000000.0,1236000000.0,1158000000.0
totalOtherIncomeExpenseNet,-122000000.0,65000000.0,-91000000.0,-74000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,838000000.0,903000000.0,827000000.0,835000000.0
netIncomeApplicableToCommonShares,838000000.0,903000000.0,827000000.0,835000000.0
changeToLiabilities,37000000.0,137000000.0,-30000000.0,-43000000.0
totalCashflowsFromInvestingActivities,-127000000.0,98000000.0,-141000000.0,-119000000.0
netBorrowings,-196000000.0,-126000000.0,178000000.0,-71000000.0
totalCashFromFinancingActivities,-1038000000.0,-485000000.0,-191000000.0,-599000000.0
changeToOperatingActivities,9000000.0,70000000.0,-52000000.0,35000000.0
changeInCash,-276000000.0,475000000.0,368000000.0,68000000.0
repurchaseOfStock,-11000000.0,-21000000.0,-44000000.0,-218000000.0
effectOfExchangeRate,-47000000.0,45000000.0,-24000000.0,-14000000.0
totalCashFromOperatingActivities,936000000.0,817000000.0,724000000.0,800000000.0
depreciation,79000000.0,77000000.0,74000000.0,72000000.0
otherCashflowsFromInvestingActivities,11000000.0,-3000000.0,-6000000.0,2000000.0
dividendsPaid,-352000000.0,-338000000.0,-325000000.0,-310000000.0
changeToInventory,-93000000.0,-37000000.0,-203000000.0,-162000000.0
changeToAccountReceivables,-77000000.0,-150000000.0,12000000.0,23000000.0
changeToNetincome,96000000.0,-191000000.0,78000000.0,56000000.0
capitalExpenditures,-138000000.0,-62000000.0,-113000000.0,-119000000.0
annualDilutedAverageShares,480565000.0,480677000.0,480409000.0,482067000.0
