,2021,2020,2019,2018
intangibleAssets,2221300000.0,3084300000.0,3527400000.0,3120000000.0
capitalSurplus,68200000.0,,,
totalLiab,12917600000.0,13932800000.0,13895200000.0,12257300000.0
totalStockholderEquity,10896200000.0,10700300000.0,13343200000.0,13039600000.0
minorityInterest,63500000.0,-14200000.0,-4100000.0,-8000000.0
otherCurrentLiab,1238900000.0,1571200000.0,1232500000.0,1504400000.0
totalAssets,23877300000.0,24618900000.0,27234300000.0,25288900000.0
commonStock,100000.0,100000.0,100000.0,100000.0
otherCurrentAssets,740800000.0,881100000.0,631000000.0,687600000.0
retainedEarnings,13911700000.0,13976300000.0,16455400000.0,16257000000.0
otherLiab,2015000000.0,2362400000.0,4159700000.0,3025600000.0
goodWill,5761100000.0,5762100000.0,5757800000.0,5706400000.0
treasuryStock,-3083800000.0,-3276100000.0,-3112300000.0,-3217500000.0
otherAssets,1420600000.0,1369500000.0,3232100000.0,2160500000.0
cash,2261400000.0,1331200000.0,2913700000.0,1224600000.0
totalCurrentLiabilities,4298200000.0,3742200000.0,4863800000.0,3295200000.0
deferredLongTermAssetCharges,1415100000.0,1369500000.0,3232100000.0,2153900000.0
shortLongTermDebt,999100000.0,,1495800000.0,
otherStockholderEquity,-106700000.0,-299000000.0,-135200000.0,-240400000.0
propertyPlantEquipment,3791800000.0,3844800000.0,3674300000.0,3601200000.0
totalCurrentAssets,7856500000.0,6887100000.0,8381800000.0,7640900000.0
longTermInvestments,2826000000.0,3671100000.0,2660900000.0,3059900000.0
netTangibleAssets,2913800000.0,1853900000.0,4058000000.0,4213200000.0
shortTermInvestments,1541100000.0,1278900000.0,1562200000.0,2313400000.0
netReceivables,1961700000.0,2327300000.0,2470700000.0,2485400000.0
longTermDebt,6274000000.0,7426200000.0,4459000000.0,5936500000.0
inventory,1351500000.0,1068600000.0,804200000.0,929900000.0
accountsPayable,589200000.0,454900000.0,530800000.0,370500000.0
researchDevelopment,2497000000.0,3984600000.0,2272800000.0,2597200000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1780100000.0,5052800000.0,7046500000.0,5899600000.0
netIncome,1556100000.0,4000600000.0,5888500000.0,4430700000.0
sellingGeneralAdministrative,2680100000.0,2511500000.0,2358900000.0,2109100000.0
grossProfit,8872000000.0,11639400000.0,12422500000.0,11636600000.0
ebit,3435700000.0,4655300000.0,7275200000.0,6364100000.0
operatingIncome,3435700000.0,4655300000.0,7275200000.0,6364100000.0
otherOperatingExpenses,7200000.0,232900000.0,241600000.0,185000000.0
interestExpense,-253600000.0,-213100000.0,-187400000.0,-200600000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,52500000.0,992300000.0,1158000000.0,1425600000.0
totalRevenue,10981700000.0,13444600000.0,14377900000.0,13452900000.0
totalOperatingExpenses,7546000000.0,8789300000.0,7102700000.0,7088800000.0
costOfRevenue,2109700000.0,1805200000.0,1955400000.0,1816300000.0
totalOtherIncomeExpenseNet,-1655600000.0,397500000.0,-228700000.0,-464500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1727600000.0,4060500000.0,5888500000.0,4474000000.0
netIncomeApplicableToCommonShares,1556100000.0,4000600000.0,5888500000.0,4430700000.0
investments,-309800000.0,111900000.0,1233700000.0,339400000.0
changeToLiabilities,230800000.0,-67500000.0,16100000.0,321700000.0
totalCashflowsFromInvestingActivities,-563700000.0,-608600000.0,470500000.0,-2046300000.0
netBorrowings,-170000000.0,1467400000.0,1467400000.0,-3200000.0
totalCashFromFinancingActivities,-2086200000.0,-5272700000.0,-5860400000.0,-4472000000.0
changeToOperatingActivities,-238700000.0,193800000.0,133600000.0,335800000.0
changeInCash,930200000.0,-1582500000.0,1689100000.0,-349200000.0
repurchaseOfStock,-1800000000.0,-6679100000.0,-5868300000.0,-4352600000.0
effectOfExchangeRate,-59800000.0,69000000.0,400000.0,-18600000.0
totalCashFromOperatingActivities,3639900000.0,4229800000.0,7078600000.0,6187700000.0
depreciation,487700000.0,457200000.0,464700000.0,650500000.0
otherCashflowsFromInvestingActivities,12900000.0,-26900000.0,27000000.0,400000.0
changeToInventory,-462400000.0,-316300000.0,-19200000.0,-52100000.0
changeToAccountReceivables,324800000.0,2800000.0,68800000.0,-205200000.0
otherCashflowsFromFinancingActivities,-116200000.0,-61000000.0,7900000.0,-116200000.0
changeToNetincome,1741600000.0,-40800000.0,526100000.0,706300000.0
capitalExpenditures,-258100000.0,-424800000.0,-514500000.0,-770600000.0
annualDilutedAverageShares,149600000.0,161300000.0,187400000.0,205300000.0
