,2021,2020,2019,2018
intangibleAssets,253939000.0,199497000.0,145525000.0,133123000.0
capitalSurplus,441733000.0,429376000.0,410020000.0,394342000.0
totalLiab,4108661000.0,3092678000.0,2253802000.0,1590737000.0
totalStockholderEquity,13667134000.0,9879940000.0,5755057000.0,4020331000.0
otherCurrentLiab,189107000.0,196852000.0,129338000.0,155667000.0
totalAssets,17775795000.0,12972618000.0,8008859000.0,5611068000.0
commonStock,3000.0,3000.0,3000.0,3000.0
otherCurrentAssets,13449000.0,15019000.0,14500000.0,15175000.0
retainedEarnings,13507241000.0,9268012000.0,5470779000.0,3722073000.0
otherLiab,3241271000.0,2273756000.0,1158710000.0,701005000.0
goodWill,347343000.0,291916000.0,264131000.0,219770000.0
treasuryStock,-281843000.0,182549000.0,-125745000.0,-96087000.0
otherAssets,103969000.0,87823000.0,79636000.0,70298000.0
cash,470783000.0,662205000.0,660672000.0,431526000.0
totalCurrentLiabilities,680938000.0,631536000.0,905495000.0,450795000.0
otherStockholderEquity,-175553000.0,282456000.0,-87348000.0,-46958000.0
propertyPlantEquipment,695750000.0,693507000.0,701207000.0,508690000.0
totalCurrentAssets,1989088000.0,2139835000.0,2180155000.0,2023478000.0
longTermInvestments,14385706000.0,9560040000.0,4638205000.0,2655709000.0
netTangibleAssets,13065852000.0,9388527000.0,5345401000.0,3667438000.0
shortTermInvestments,399135000.0,328913000.0,453973000.0,413270000.0
netReceivables,425737000.0,420824000.0,394672000.0,392443000.0
longTermDebt,14000.0,1258000.0,2379000.0,423700000.0
inventory,572239000.0,622253000.0,554007000.0,583815000.0
accountsPayable,141941000.0,139451000.0,107014000.0,122450000.0
shortLongTermDebt,,1298000.0,425672000.0,
researchDevelopment,258357000.0,226598000.0,202710000.0,199196000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,5438149000.0,4907638000.0,2261081000.0,512659000.0
minorityInterest,,,,
netIncome,4245902000.0,3806267000.0,1758675000.0,365614000.0
sellingGeneralAdministrative,853174000.0,799967000.0,824625000.0,834783000.0
grossProfit,1665661000.0,1437822000.0,1256996000.0,1227251000.0
ebit,554130000.0,411257000.0,229661000.0,193272000.0
operatingIncome,554130000.0,411257000.0,229661000.0,193272000.0
otherOperatingExpenses,,,,
interestExpense,-1551000.0,-21861000.0,-23416000.0,-23962000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1192247000.0,1101371000.0,502406000.0,147045000.0
totalRevenue,2922545000.0,2545626000.0,2311659000.0,2289415000.0
totalOperatingExpenses,2368415000.0,2134369000.0,2081998000.0,2096143000.0
costOfRevenue,1256884000.0,1107804000.0,1054663000.0,1062164000.0
totalOtherIncomeExpenseNet,4884019000.0,4496381000.0,2031420000.0,319387000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,4245902000.0,3806267000.0,1758675000.0,365614000.0
netIncomeApplicableToCommonShares,4245902000.0,3806267000.0,1758675000.0,365614000.0
investments,-84731000.0,119601000.0,-39918000.0,-68695000.0
changeToLiabilities,1152200000.0,1103600000.0,460800000.0,75300000.0
totalCashflowsFromInvestingActivities,-784438000.0,-60250000.0,-208889000.0,-186978000.0
netBorrowings,-3020000.0,-426938000.0,-643000.0,-2961000.0
totalCashFromFinancingActivities,-55429000.0,-523041000.0,-22758000.0,-48680000.0
changeToOperatingActivities,-6900000.0,12100000.0,73500000.0,-24200000.0
issuanceOfStock,20632000.0,20198000.0,16944000.0,14133000.0
changeInCash,-195982000.0,4464000.0,228487000.0,49181000.0
repurchaseOfStock,-72480000.0,-112934000.0,-36096000.0,-57774000.0
effectOfExchangeRate,-12636000.0,12427000.0,2237000.0,-655000.0
totalCashFromOperatingActivities,656521000.0,575328000.0,457897000.0,285494000.0
depreciation,173100000.0,175200000.0,174500000.0,138100000.0
changeToInventory,46100000.0,-52100000.0,24200000.0,-12900000.0
changeToAccountReceivables,-20400000.0,-15000000.0,1600000.0,59700000.0
otherCashflowsFromFinancingActivities,-561000.0,-3367000.0,-2963000.0,-2078000.0
changeToNetincome,-4904681000.0,-4493739000.0,-2031178000.0,-295220000.0
capitalExpenditures,-120803000.0,-98920000.0,-98532000.0,-129825000.0
annualDilutedAverageShares,,,,
