,2021,2020,2019,2018
intangibleAssets,5087000000.0,4896000000.0,4697000000.0,4872000000.0
capitalSurplus,28128000000.0,27823000000.0,27515000000.0,27118000000.0
totalLiab,401047000000.0,423513000000.0,339780000000.0,322005000000.0
totalStockholderEquity,38196000000.0,41260000000.0,37941000000.0,37096000000.0
minorityInterest,357000000.0,319000000.0,245000000.0,230000000.0
otherCurrentLiab,8529000000.0,8029000000.0,7299000000.0,6868000000.0
totalAssets,444438000000.0,469633000000.0,381508000000.0,362873000000.0
commonStock,14000000.0,14000000.0,14000000.0,14000000.0
otherCurrentAssets,4279000000.0,3677000000.0,3061000000.0,3065000000.0
retainedEarnings,36667000000.0,34241000000.0,31894000000.0,28652000000.0
otherLiab,4543000000.0,4741000000.0,5234000000.0,5688000000.0
goodWill,17512000000.0,17496000000.0,17386000000.0,17350000000.0
treasuryStock,-26613000000.0,-20818000000.0,-21482000000.0,-18688000000.0
otherAssets,78129000000.0,66051000000.0,65297000000.0,67128000000.0
cash,35668000000.0,37159000000.0,35012000000.0,52659000000.0
totalCurrentLiabilities,371637000000.0,391119000000.0,305273000000.0,287154000000.0
shortLongTermDebt,3025000000.0,339000000.0,597000000.0,3227000000.0
otherStockholderEquity,-2213000000.0,-985000000.0,-2638000000.0,-3171000000.0
propertyPlantEquipment,3431000000.0,3602000000.0,3625000000.0,1832000000.0
totalCurrentAssets,177642000000.0,217213000000.0,163994000000.0,148238000000.0
longTermInvestments,162637000000.0,160375000000.0,126509000000.0,123453000000.0
netTangibleAssets,15597000000.0,18868000000.0,15858000000.0,14874000000.0
shortTermInvestments,115275000000.0,155908000000.0,107416000000.0,79742000000.0
netReceivables,4716000000.0,4218000000.0,4190000000.0,4817000000.0
longTermDebt,23631000000.0,25984000000.0,27501000000.0,29163000000.0
inventory,2000000.0,1000000.0,3000000.0,3000000.0
accountsPayable,319694000000.0,341545000000.0,259466000000.0,238778000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4648000000.0,4468000000.0,5587000000.0,5192000000.0
netIncome,3759000000.0,3617000000.0,4441000000.0,4266000000.0
sellingGeneralAdministrative,9879000000.0,9425000000.0,9407000000.0,9399000000.0
grossProfit,16162000000.0,15472000000.0,16487000000.0,16403000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,4730000000.0,4572000000.0,5704000000.0,5372000000.0
otherOperatingExpenses,1553000000.0,1475000000.0,1376000000.0,1632000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,877000000.0,842000000.0,1120000000.0,938000000.0
totalRevenue,16162000000.0,15472000000.0,16487000000.0,16403000000.0
totalOperatingExpenses,11432000000.0,10900000000.0,10783000000.0,11031000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-82000000.0,-104000000.0,-117000000.0,-180000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,3771000000.0,3626000000.0,4467000000.0,4254000000.0
netIncomeApplicableToCommonShares,3550000000.0,3417000000.0,4254000000.0,4070000000.0
investments,-5012000000.0,-31684000000.0,-1499000000.0,-3722000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,19672000000.0,-78455000000.0,-10548000000.0,3299000000.0
netBorrowings,1479000000.0,-820000000.0,-6691000000.0,-832000000.0
totalCashFromFinancingActivities,-21962000000.0,75508000000.0,9459000000.0,-8098000000.0
changeToOperatingActivities,-905000000.0,202000000.0,-372000000.0,1508000000.0
issuanceOfStock,63000000.0,58000000.0,86000000.0,120000000.0
changeInCash,464000000.0,2152000000.0,-991000000.0,1125000000.0
repurchaseOfStock,-4567000000.0,-989000000.0,-3327000000.0,-3269000000.0
effectOfExchangeRate,-84000000.0,61000000.0,2000000.0,-72000000.0
totalCashFromOperatingActivities,2838000000.0,5038000000.0,96000000.0,5996000000.0
depreciation,1867000000.0,1630000000.0,1315000000.0,1339000000.0
otherCashflowsFromInvestingActivities,37376000000.0,-44293000000.0,-9472000000.0,3139000000.0
dividendsPaid,-1323000000.0,-1296000000.0,-1289000000.0,-1221000000.0
otherCashflowsFromFinancingActivities,-17901000000.0,77571000000.0,20680000000.0,-2896000000.0
changeToNetincome,15000000.0,85000000.0,-121000000.0,-543000000.0
capitalExpenditures,-1215000000.0,-1222000000.0,-1210000000.0,-1108000000.0
annualDilutedAverageShares,856359000.0,892514000.0,943109000.0,1040290000.0
