,2021,2020,2019,2018
intangibleAssets,2057000000.0,1812000000.0,1954000000.0,2172000000.0
capitalSurplus,6159000000.0,5851000000.0,5756000000.0,5445000000.0
totalLiab,17463000000.0,16981000000.0,15469000000.0,13902000000.0
totalStockholderEquity,6178000000.0,4893000000.0,5933000000.0,8785000000.0
otherCurrentLiab,1188000000.0,541000000.0,1724000000.0,1022000000.0
totalAssets,23641000000.0,21874000000.0,21402000000.0,22687000000.0
otherCurrentAssets,231000000.0,277000000.0,364000000.0,25000000.0
retainedEarnings,24453000000.0,23288000000.0,23232000000.0,18367000000.0
otherLiab,1929000000.0,2161000000.0,2001000000.0,1698000000.0
goodWill,2887000000.0,1895000000.0,2913000000.0,2910000000.0
treasuryStock,-24434000000.0,-24246000000.0,-23055000000.0,-15027000000.0
otherAssets,1059000000.0,917000000.0,867000000.0,134000000.0
cash,11127000000.0,10562000000.0,6312000000.0,2624000000.0
totalCurrentLiabilities,6246000000.0,3425000000.0,5366000000.0,3555000000.0
deferredLongTermAssetCharges,554000000.0,455000000.0,400000000.0,51000000.0
shortLongTermDebt,1989000000.0,985000000.0,988000000.0,
otherStockholderEquity,-144000000.0,-118000000.0,-191000000.0,-316000000.0
propertyPlantEquipment,1318000000.0,1285000000.0,1358000000.0,656000000.0
totalCurrentAssets,13145000000.0,12206000000.0,9833000000.0,8407000000.0
longTermInvestments,3175000000.0,3759000000.0,4477000000.0,8408000000.0
netTangibleAssets,1234000000.0,1186000000.0,1066000000.0,3703000000.0
shortTermInvestments,25000000.0,501000000.0,998000000.0,3660000000.0
netReceivables,1358000000.0,529000000.0,1680000000.0,1523000000.0
longTermDebt,8937000000.0,11029000000.0,7640000000.0,8649000000.0
accountsPayable,1586000000.0,735000000.0,1239000000.0,1134000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1465000000.0,567000000.0,5958000000.0,4835000000.0
minorityInterest,,,,
netIncome,1165000000.0,59000000.0,4865000000.0,3998000000.0
sellingGeneralAdministrative,5714000000.0,3814000000.0,7004000000.0,6718000000.0
grossProfit,8780000000.0,4653000000.0,12818000000.0,12485000000.0
ebit,2645000000.0,381000000.0,5345000000.0,5341000000.0
operatingIncome,2645000000.0,381000000.0,5345000000.0,5341000000.0
otherOperatingExpenses,,,,
interestExpense,-334000000.0,-356000000.0,-266000000.0,-269000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,300000000.0,508000000.0,1093000000.0,837000000.0
totalRevenue,10958000000.0,6796000000.0,15066000000.0,14527000000.0
totalOperatingExpenses,8313000000.0,6415000000.0,9721000000.0,9186000000.0
costOfRevenue,2178000000.0,2143000000.0,2248000000.0,2042000000.0
totalOtherIncomeExpenseNet,-1180000000.0,186000000.0,613000000.0,-506000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1165000000.0,59000000.0,4865000000.0,3998000000.0
netIncomeApplicableToCommonShares,1165000000.0,59000000.0,4865000000.0,3998000000.0
investments,491000000.0,2923000000.0,7427000000.0,2930000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-998000000.0,2637000000.0,7050000000.0,2215000000.0
netBorrowings,-1053000000.0,2864000000.0,-25000000.0,-1462000000.0
totalCashFromFinancingActivities,-1239000000.0,1528000000.0,-8220000000.0,-7431000000.0
changeToOperatingActivities,1271000000.0,-1911000000.0,-218000000.0,444000000.0
changeInCash,570000000.0,4250000000.0,3687000000.0,82000000.0
repurchaseOfStock,-163000000.0,-1303000000.0,-8187000000.0,-5971000000.0
effectOfExchangeRate,-13000000.0,-13000000.0,-8000000.0,-40000000.0
totalCashFromOperatingActivities,2820000000.0,85000000.0,4865000000.0,5338000000.0
depreciation,599000000.0,642000000.0,641000000.0,426000000.0
changeToAccountReceivables,-1002000000.0,891000000.0,-323000000.0,-319000000.0
otherCashflowsFromFinancingActivities,-23000000.0,-33000000.0,-8000000.0,2000000.0
changeToNetincome,733000000.0,340000000.0,-158000000.0,730000000.0
capitalExpenditures,-304000000.0,-286000000.0,-368000000.0,-442000000.0
annualDilutedAverageShares,41362000.0,41160000.0,43509000.0,48017000.0
