,2021,2020,2019,2018
intangibleAssets,4131000000.0,4397000000.0,5381000000.0,5719000000.0
capitalSurplus,27375000000.0,24613000000.0,23565000000.0,18659000000.0
totalLiab,18562000000.0,19765000000.0,18870000000.0,17426000000.0
totalStockholderEquity,14830000000.0,12893000000.0,21929000000.0,17465000000.0
minorityInterest,1916000000.0,5349000000.0,12570000000.0,17548000000.0
deferredLongTermLiab,184000000.0,181000000.0,181000000.0,200000000.0
otherCurrentLiab,4192000000.0,4678000000.0,4103000000.0,3098000000.0
totalAssets,35308000000.0,38007000000.0,53369000000.0,52439000000.0
otherCurrentAssets,541000000.0,766000000.0,695000000.0,659000000.0
retainedEarnings,-10160000000.0,-9942000000.0,,25000000.0
otherLiab,2113000000.0,2203000000.0,1914000000.0,2121000000.0
goodWill,5959000000.0,5977000000.0,20690000000.0,20717000000.0
treasuryStock,-2385000000.0,-1778000000.0,-1636000000.0,-1219000000.0
otherAssets,4454000000.0,5000000000.0,4978000000.0,4804000000.0
cash,3853000000.0,4132000000.0,3249000000.0,3723000000.0
totalCurrentLiabilities,9128000000.0,10227000000.0,10014000000.0,9020000000.0
deferredLongTermAssetCharges,735000000.0,953000000.0,954000000.0,1072000000.0
otherStockholderEquity,-2385000000.0,-1778000000.0,-1636000000.0,-1219000000.0
propertyPlantEquipment,5699000000.0,6160000000.0,7069000000.0,6228000000.0
totalCurrentAssets,15065000000.0,16455000000.0,15222000000.0,14971000000.0
netTangibleAssets,4740000000.0,2519000000.0,-4142000000.0,-8971000000.0
shortTermInvestments,1041000000.0,1514000000.0,254000000.0,
netReceivables,5651000000.0,5622000000.0,6416000000.0,5969000000.0
longTermDebt,6697000000.0,6744000000.0,6301000000.0,6285000000.0
inventory,3979000000.0,4421000000.0,4608000000.0,4620000000.0
accountsPayable,3745000000.0,3532000000.0,4268000000.0,4025000000.0
longTermInvestments,,18000000.0,29000000.0,
commonStock,,,,35013000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,428000000.0,-15202000000.0,753000000.0,541000000.0
netIncome,-219000000.0,-9940000000.0,128000000.0,195000000.0
sellingGeneralAdministrative,2447000000.0,2405000000.0,2827000000.0,2654000000.0
grossProfit,4049000000.0,3445000000.0,4432000000.0,3986000000.0
ebit,1602000000.0,1032000000.0,1605000000.0,1321000000.0
operatingIncome,1602000000.0,1032000000.0,1605000000.0,1321000000.0
otherOperatingExpenses,,8000000.0,8000000.0,11000000.0
interestExpense,-271000000.0,-264000000.0,-237000000.0,-223000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,758000000.0,559000000.0,482000000.0,258000000.0
totalRevenue,20502000000.0,20705000000.0,23838000000.0,22877000000.0
totalOperatingExpenses,18900000000.0,19673000000.0,22233000000.0,21556000000.0
costOfRevenue,16453000000.0,17260000000.0,19406000000.0,18891000000.0
totalOtherIncomeExpenseNet,-1174000000.0,-16234000000.0,-852000000.0,-780000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,-330000000.0,-15761000000.0,271000000.0,283000000.0
netIncomeApplicableToCommonShares,-219000000.0,-9940000000.0,128000000.0,195000000.0
changeToLiabilities,174000000.0,-315000000.0,1396000000.0,767000000.0
totalCashflowsFromInvestingActivities,-463000000.0,-618000000.0,-1045000000.0,-578000000.0
netBorrowings,-936000000.0,991000000.0,-587000000.0,-1060000000.0
totalCashFromFinancingActivities,-2143000000.0,225000000.0,-1534000000.0,-4363000000.0
changeToOperatingActivities,396000000.0,158000000.0,-472000000.0,129000000.0
changeInCash,-279000000.0,883000000.0,-474000000.0,-3307000000.0
repurchaseOfStock,-434000000.0,-434000000.0,-434000000.0,-387000000.0
effectOfExchangeRate,-47000000.0,-28000000.0,-21000000.0,-128000000.0
totalCashFromOperatingActivities,2374000000.0,1304000000.0,2126000000.0,1762000000.0
depreciation,1105000000.0,1317000000.0,1418000000.0,1406000000.0
otherCashflowsFromInvestingActivities,187000000.0,8000000.0,30000000.0,36000000.0
dividendsPaid,-592000000.0,-488000000.0,-395000000.0,-315000000.0
changeToInventory,170000000.0,-80000000.0,-200000000.0,-339000000.0
changeToAccountReceivables,-126000000.0,680000000.0,-583000000.0,-204000000.0
otherCashflowsFromFinancingActivities,-181000000.0,-278000000.0,-552000000.0,-2601000000.0
changeToNetincome,874000000.0,9484000000.0,439000000.0,-192000000.0
capitalExpenditures,-856000000.0,-974000000.0,-1240000000.0,-995000000.0
annualDilutedAverageShares,,,,
