,2021,2020,2019,2018
intangibleAssets,18453000000.0,18263000000.0,18369000000.0,17839000000.0
capitalSurplus,19640000000.0,19293000000.0,19186000000.0,19168000000.0
totalLiab,113755000000.0,139326000000.0,133693000000.0,126033000000.0
totalStockholderEquity,37693000000.0,35283000000.0,33547000000.0,32374000000.0
minorityInterest,1200000000.0,2373000000.0,1382000000.0,1166000000.0
otherCurrentLiab,7271000000.0,16643000000.0,15759000000.0,20996000000.0
totalAssets,152648000000.0,176982000000.0,168622000000.0,159573000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,7388000000.0,16692000000.0,15614000000.0,20858000000.0
retainedEarnings,27688000000.0,24334000000.0,21662000000.0,19282000000.0
otherLiab,92994000000.0,111218000000.0,109272000000.0,97119000000.0
goodWill,15351000000.0,14551000000.0,14562000000.0,13526000000.0
treasuryStock,-9637000000.0,-8346000000.0,-7303000000.0,-6078000000.0
otherAssets,91546000000.0,110457000000.0,107245000000.0,94635000000.0
cash,9072000000.0,8509000000.0,4698000000.0,6302000000.0
totalCurrentLiabilities,12337000000.0,20089000000.0,18690000000.0,23935000000.0
deferredLongTermAssetCharges,245000000.0,304000000.0,175000000.0,163000000.0
shortLongTermDebt,764000000.0,50000000.0,,
otherStockholderEquity,-550000000.0,-337000000.0,-571000000.0,-691000000.0
propertyPlantEquipment,2383000000.0,1330000000.0,1384000000.0,643000000.0
totalCurrentAssets,20629000000.0,29020000000.0,23892000000.0,30278000000.0
longTermInvestments,4286000000.0,3361000000.0,3170000000.0,2652000000.0
netTangibleAssets,3889000000.0,2469000000.0,616000000.0,1009000000.0
netReceivables,4169000000.0,3819000000.0,3580000000.0,3118000000.0
longTermDebt,6696000000.0,7264000000.0,4955000000.0,4979000000.0
accountsPayable,1207000000.0,897000000.0,874000000.0,951000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8173000000.0,6524000000.0,5787000000.0,5378000000.0
netIncome,5901000000.0,4932000000.0,4476000000.0,4305000000.0
sellingGeneralAdministrative,2187000000.0,2442000000.0,1705000000.0,1573000000.0
grossProfit,9818000000.0,8266000000.0,7406000000.0,7205000000.0
ebit,7484000000.0,5718000000.0,5604000000.0,5582000000.0
operatingIncome,7484000000.0,5718000000.0,5604000000.0,5582000000.0
otherOperatingExpenses,,,,
interestExpense,-205000000.0,-205000000.0,-203000000.0,-184000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1968000000.0,1238000000.0,1261000000.0,1076000000.0
totalRevenue,19374000000.0,16205000000.0,14539000000.0,14198000000.0
totalOperatingExpenses,11890000000.0,10487000000.0,8935000000.0,8616000000.0
costOfRevenue,9556000000.0,7939000000.0,7133000000.0,6993000000.0
totalOtherIncomeExpenseNet,689000000.0,806000000.0,183000000.0,-204000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6205000000.0,5286000000.0,4526000000.0,4302000000.0
netIncomeApplicableToCommonShares,5901000000.0,4932000000.0,4476000000.0,4305000000.0
investments,-490000000.0,-60000000.0,-250000000.0,95000000.0
changeToLiabilities,342000000.0,-115000000.0,-111000000.0,43000000.0
totalCashflowsFromInvestingActivities,-1937000000.0,-254000000.0,-2014000000.0,-808000000.0
netBorrowings,273000000.0,2296000000.0,103000000.0,40000000.0
totalCashFromFinancingActivities,-2287000000.0,244000000.0,-2583000000.0,-2765000000.0
changeToOperatingActivities,315000000.0,437000000.0,-43000000.0,-173000000.0
changeInCash,659000000.0,3835000000.0,-1659000000.0,-591000000.0
repurchaseOfStock,-1485000000.0,-1809000000.0,-1911000000.0,-2087000000.0
effectOfExchangeRate,-61000000.0,102000000.0,54000000.0,-93000000.0
totalCashFromOperatingActivities,4944000000.0,3743000000.0,2884000000.0,3075000000.0
depreciation,415000000.0,358000000.0,296000000.0,220000000.0
dividendsPaid,-2547000000.0,-2260000000.0,-2096000000.0,-1968000000.0
changeToAccountReceivables,-322000000.0,-313000000.0,-433000000.0,4000000.0
otherCashflowsFromFinancingActivities,1472000000.0,2017000000.0,1321000000.0,1250000000.0
changeToNetincome,-2030000000.0,-1716000000.0,-1280000000.0,-1503000000.0
capitalExpenditures,-341000000.0,-194000000.0,-254000000.0,-204000000.0
annualDilutedAverageShares,155024453.0,155462430.0,158091912.0,162599126.0
