,2021,2020,2019,2018
intangibleAssets,42527000000.0,53243000000.0,63969000000.0,1091000000.0
capitalSurplus,44361000000.0,44325000000.0,43709000000.0,2081000000.0
totalLiab,73308000000.0,80599000000.0,78246000000.0,20859000000.0
totalStockholderEquity,35946000000.0,37822000000.0,51598000000.0,14031000000.0
minorityInterest,60000000.0,60000000.0,100000000.0,96000000.0
deferredLongTermLiab,248000000.0,206000000.0,,
otherCurrentLiab,3867000000.0,4445000000.0,4413000000.0,2529000000.0
totalAssets,109314000000.0,118481000000.0,129944000000.0,34986000000.0
commonStock,292000000.0,292000000.0,292000000.0,221000000.0
otherCurrentAssets,1430000000.0,1114000000.0,1983000000.0,2015000000.0
retainedEarnings,23820000000.0,21281000000.0,34474000000.0,34065000000.0
otherLiab,10961000000.0,12340000000.0,15882000000.0,4544000000.0
goodWill,20502000000.0,20547000000.0,22488000000.0,6538000000.0
treasuryStock,-32527000000.0,-28076000000.0,-26877000000.0,-22336000000.0
otherAssets,3342000000.0,3245000000.0,3005000000.0,2165000000.0
cash,13979000000.0,14546000000.0,12346000000.0,6911000000.0
totalCurrentLiabilities,21868000000.0,19080000000.0,18304000000.0,10654000000.0
deferredLongTermAssetCharges,1439000000.0,1161000000.0,510000000.0,815000000.0
shortLongTermDebt,4764000000.0,2000000000.0,2763000000.0,1249000000.0
otherStockholderEquity,-1268000000.0,-1839000000.0,-1520000000.0,-2762000000.0
propertyPlantEquipment,6968000000.0,6745000000.0,6956000000.0,5027000000.0
totalCurrentAssets,33262000000.0,30192000000.0,29354000000.0,17716000000.0
longTermInvestments,2713000000.0,4509000000.0,4172000000.0,2449000000.0
netTangibleAssets,-27083000000.0,-35968000000.0,-34859000000.0,6402000000.0
shortTermInvestments,3242000000.0,1904000000.0,3047000000.0,1848000000.0
netReceivables,12516000000.0,10554000000.0,7685000000.0,5747000000.0
longTermDebt,39605000000.0,48346000000.0,43388000000.0,5661000000.0
inventory,2095000000.0,2074000000.0,4293000000.0,1195000000.0
accountsPayable,2949000000.0,2713000000.0,2445000000.0,1892000000.0
researchDevelopment,9531000000.0,9237000000.0,6066000000.0,6253000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,8098000000.0,-6871000000.0,4975000000.0,5968000000.0
netIncome,6994000000.0,-9015000000.0,3439000000.0,4920000000.0
sellingGeneralAdministrative,7672000000.0,7369000000.0,4969000000.0,4523000000.0
grossProfit,37048000000.0,34045000000.0,18247000000.0,16151000000.0
ebit,9822000000.0,7751000000.0,6077000000.0,5278000000.0
operatingIncome,9822000000.0,7751000000.0,6077000000.0,5278000000.0
otherOperatingExpenses,,,,
interestExpense,-1292000000.0,-1381000000.0,-898000000.0,-152000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1084000000.0,2124000000.0,1515000000.0,1021000000.0
totalRevenue,46385000000.0,42518000000.0,26145000000.0,22561000000.0
totalOperatingExpenses,36563000000.0,34767000000.0,20068000000.0,17283000000.0
costOfRevenue,9337000000.0,8473000000.0,7898000000.0,6410000000.0
totalOtherIncomeExpenseNet,-1724000000.0,-14622000000.0,-1102000000.0,690000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,7014000000.0,-8995000000.0,3460000000.0,4947000000.0
netIncomeApplicableToCommonShares,6994000000.0,-9015000000.0,3439000000.0,4920000000.0
investments,1297000000.0,2237000000.0,15000000.0,74000000.0
changeToLiabilities,245000000.0,188000000.0,229000000.0,-59000000.0
totalCashflowsFromInvestingActivities,-538000000.0,-10859000000.0,-9913000000.0,-2000000000.0
netBorrowings,-6182000000.0,3928000000.0,17653000000.0,-548000000.0
totalCashFromFinancingActivities,-16224000000.0,-1151000000.0,7621000000.0,-3535000000.0
changeToOperatingActivities,606000000.0,1074000000.0,819000000.0,718000000.0
changeInCash,-657000000.0,2153000000.0,5909000000.0,1490000000.0
repurchaseOfStock,-6287000000.0,-1546000000.0,-7300000000.0,-320000000.0
effectOfExchangeRate,-102000000.0,111000000.0,-9000000.0,-41000000.0
totalCashFromOperatingActivities,16207000000.0,14052000000.0,8210000000.0,7066000000.0
depreciation,10757000000.0,10433000000.0,1721000000.0,590000000.0
dividendsPaid,-4396000000.0,-4075000000.0,-2679000000.0,-2613000000.0
changeToInventory,13000000.0,2672000000.0,463000000.0,-216000000.0
changeToAccountReceivables,-1054000000.0,-646000000.0,752000000.0,-429000000.0
otherCashflowsFromFinancingActivities,641000000.0,542000000.0,-53000000.0,-54000000.0
changeToNetincome,-291000000.0,11651000000.0,-120000000.0,1339000000.0
capitalExpenditures,-973000000.0,-753000000.0,-836000000.0,-951000000.0
annualDilutedAverageShares,2245000000.0,2258000000.0,1712000000.0,1637000000.0
