,2022,2021,2020,2019
intangibleAssets,1077100000.0,1425000000.0,583800000.0,556200000.0
capitalSurplus,1344700000.0,1245500000.0,1178500000.0,1109300000.0
totalLiab,6249700000.0,6310700000.0,3543200000.0,2753200000.0
totalStockholderEquity,1919100000.0,1809100000.0,1346600000.0,1127500000.0
deferredLongTermLiab,1365500000.0,906600000.0,562800000.0,379200000.0
otherCurrentLiab,455400000.0,453100000.0,324700000.0,296600000.0
totalAssets,8168800000.0,8119800000.0,4889800000.0,3880700000.0
commonStock,1600000.0,1600000.0,1600000.0,1600000.0
otherCurrentAssets,126900000.0,142600000.0,118100000.0,83600000.0
retainedEarnings,2824000000.0,2583800000.0,2302600000.0,2087700000.0
otherLiab,915500000.0,872000000.0,526300000.0,480200000.0
goodWill,3484900000.0,3720100000.0,1674500000.0,1500000000.0
treasuryStock,-2251200000.0,-2021800000.0,-2136100000.0,-2071100000.0
otherAssets,1683100000.0,1080200000.0,707700000.0,492700000.0
cash,224700000.0,274500000.0,476600000.0,273200000.0
totalCurrentLiabilities,1313400000.0,1288000000.0,1341000000.0,802600000.0
deferredLongTermAssetCharges,9800000.0,5900000.0,2600000.0,5500000.0
otherStockholderEquity,-226400000.0,9100000.0,-100400000.0,-71300000.0
propertyPlantEquipment,373700000.0,439200000.0,454200000.0,189000000.0
totalCurrentAssets,1328400000.0,1261300000.0,1328000000.0,1042400000.0
longTermInvestments,221600000.0,194000000.0,141600000.0,100400000.0
netTangibleAssets,-2642900000.0,-3336000000.0,-911700000.0,-928700000.0
shortTermInvestments,600000.0,700000.0,500000.0,500000.0
netReceivables,946900000.0,820300000.0,711300000.0,664000000.0
longTermDebt,3793000000.0,3887600000.0,1387600000.0,1470400000.0
inventory,29300000.0,23200000.0,21500000.0,21100000.0
accountsPayable,244900000.0,248900000.0,151800000.0,133700000.0
shortLongTermDebt,,,399900000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,672200000.0,696200000.0,579500000.0,607300000.0
minorityInterest,,,,
netIncome,539100000.0,547500000.0,462500000.0,482100000.0
sellingGeneralAdministrative,832300000.0,744300000.0,639000000.0,577500000.0
grossProfit,1592200000.0,1422900000.0,1263900000.0,1230300000.0
ebit,759900000.0,678600000.0,624900000.0,652800000.0
operatingIncome,759900000.0,678600000.0,624900000.0,652800000.0
otherOperatingExpenses,,,,
interestExpense,-87700000.0,-57500000.0,-62500000.0,-45900000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,133100000.0,148700000.0,117000000.0,125200000.0
totalRevenue,5709100000.0,4993700000.0,4529000000.0,4362200000.0
totalOperatingExpenses,4949200000.0,4315100000.0,3904100000.0,3709400000.0
costOfRevenue,4116900000.0,3570800000.0,3265100000.0,3131900000.0
totalOtherIncomeExpenseNet,-87700000.0,17600000.0,-45400000.0,-45500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,539100000.0,547500000.0,462500000.0,482100000.0
netIncomeApplicableToCommonShares,539100000.0,547500000.0,462500000.0,482100000.0
changeToLiabilities,3500000.0,156700000.0,70800000.0,4200000.0
totalCashflowsFromInvestingActivities,-110400000.0,-2653700000.0,-441700000.0,-433500000.0
netBorrowings,-95500000.0,2094300000.0,329100000.0,415700000.0
totalCashFromFinancingActivities,-370800000.0,1797800000.0,51200000.0,-173100000.0
changeToOperatingActivities,-618500000.0,-400100000.0,-294200000.0,-111800000.0
issuanceOfStock,60200000.0,35300000.0,41800000.0,31100000.0
changeInCash,-49900000.0,-202100000.0,203400000.0,9200000.0
repurchaseOfStock,-22800000.0,-21500000.0,-69300000.0,-397800000.0
effectOfExchangeRate,-12200000.0,13800000.0,-4300000.0,-1100000.0
totalCashFromOperatingActivities,443500000.0,640100000.0,598200000.0,617000000.0
depreciation,464000000.0,334700000.0,299300000.0,260000000.0
otherCashflowsFromInvestingActivities,-24000000.0,32600000.0,-3900000.0,-6200000.0
dividendsPaid,-290700000.0,-261700000.0,-241000000.0,-211200000.0
changeToAccountReceivables,-85400000.0,-42400000.0,-33500000.0,-34900000.0
otherCashflowsFromFinancingActivities,-22000000.0,-48600000.0,-9400000.0,-10900000.0
changeToNetincome,140800000.0,43700000.0,93300000.0,17400000.0
capitalExpenditures,-29000000.0,-51900000.0,-62700000.0,-50600000.0
annualDilutedAverageShares,118500000.0,117800000.0,117000000.0,118800000.0
