,2021,2020,2019,2018
intangibleAssets,29637000000.0,30684000000.0,31646000000.0,32148000000.0
capitalSurplus,35592000000.0,35626000000.0,35658000000.0,35707000000.0
totalLiab,443854000000.0,422393000000.0,389166000000.0,355294000000.0
totalStockholderEquity,506199000000.0,443164000000.0,424791000000.0,348703000000.0
minorityInterest,8731000000.0,8172000000.0,3772000000.0,3797000000.0
deferredLongTermLiab,14039000000.0,15691000000.0,16697000000.0,16762000000.0
otherCurrentLiab,841000000.0,958000000.0,2020000000.0,3435000000.0
totalAssets,958784000000.0,873729000000.0,817729000000.0,707794000000.0
commonStock,8000000.0,8000000.0,8000000.0,8000000.0
otherCurrentAssets,851000000.0,676000000.0,602000000.0,622000000.0
retainedEarnings,534421000000.0,444626000000.0,402493000000.0,321112000000.0
otherLiab,282956000000.0,259093000000.0,241535000000.0,217294000000.0
goodWill,73875000000.0,73734000000.0,81882000000.0,81025000000.0
treasuryStock,-63822000000.0,-37096000000.0,-13368000000.0,-8124000000.0
otherAssets,66282000000.0,63806000000.0,55416000000.0,51147000000.0
cash,88184000000.0,47990000000.0,64175000000.0,30361000000.0
totalCurrentLiabilities,51373000000.0,45626000000.0,44441000000.0,44883000000.0
shortLongTermDebt,6139000000.0,,,
otherStockholderEquity,-4027000000.0,-4243000000.0,-5243000000.0,-5015000000.0
propertyPlantEquipment,196373000000.0,192596000000.0,180282000000.0,166706000000.0
totalCurrentAssets,208089000000.0,194026000000.0,184286000000.0,166788000000.0
longTermInvestments,384528000000.0,318883000000.0,284217000000.0,209980000000.0
netTangibleAssets,402687000000.0,338746000000.0,311263000000.0,235530000000.0
shortTermInvestments,58535000000.0,90300000000.0,63822000000.0,81506000000.0
netReceivables,39565000000.0,35852000000.0,35835000000.0,35230000000.0
longTermDebt,105772000000.0,113547000000.0,98682000000.0,93117000000.0
inventory,20954000000.0,19208000000.0,19852000000.0,19069000000.0
accountsPayable,40804000000.0,39978000000.0,36361000000.0,37075000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,111686000000.0,55693000000.0,102696000000.0,4001000000.0
netIncome,89795000000.0,42521000000.0,81417000000.0,4021000000.0
sellingGeneralAdministrative,,,,
grossProfit,114863000000.0,69721000000.0,105577000000.0,10403000000.0
ebit,114863000000.0,69721000000.0,105577000000.0,10403000000.0
operatingIncome,114863000000.0,69721000000.0,105577000000.0,10403000000.0
otherOperatingExpenses,,,,
interestExpense,-4172000000.0,-4083000000.0,-3961000000.0,-3853000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,20879000000.0,12440000000.0,20904000000.0,-321000000.0
totalRevenue,276094000000.0,245510000000.0,254616000000.0,247837000000.0
totalOperatingExpenses,161231000000.0,175789000000.0,149039000000.0,237434000000.0
costOfRevenue,161231000000.0,175789000000.0,149039000000.0,237434000000.0
totalOtherIncomeExpenseNet,-3177000000.0,-14028000000.0,-2881000000.0,-6402000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,90807000000.0,43253000000.0,81792000000.0,4322000000.0
netIncomeApplicableToCommonShares,89795000000.0,42521000000.0,81417000000.0,4021000000.0
investments,42354000000.0,-18252000000.0,13267000000.0,-13533000000.0
changeToLiabilities,2306000000.0,1587000000.0,1707000000.0,1794000000.0
totalCashflowsFromInvestingActivities,29392000000.0,-37757000000.0,-5621000000.0,-32849000000.0
netBorrowings,-752000000.0,6791000000.0,6077000000.0,-4123000000.0
totalCashFromFinancingActivities,-28508000000.0,-18344000000.0,730000000.0,-5812000000.0
changeToOperatingActivities,7100000000.0,8393000000.0,4623000000.0,4793000000.0
changeInCash,40310000000.0,-16236000000.0,33821000000.0,-1401000000.0
repurchaseOfStock,-27061000000.0,-24706000000.0,-4850000000.0,-1346000000.0
effectOfExchangeRate,5000000.0,92000000.0,25000000.0,-140000000.0
totalCashFromOperatingActivities,39421000000.0,39773000000.0,38687000000.0,37400000000.0
depreciation,10718000000.0,10596000000.0,10064000000.0,9779000000.0
otherCashflowsFromInvestingActivities,297000000.0,-3582000000.0,-1496000000.0,-71000000.0
changeToAccountReceivables,-5834000000.0,-1609000000.0,-2303000000.0,-3443000000.0
otherCashflowsFromFinancingActivities,-695000000.0,-429000000.0,-497000000.0,-343000000.0
changeToNetincome,-79961000000.0,-28910000000.0,-72002000000.0,25413000000.0
capitalExpenditures,-13276000000.0,-13012000000.0,-15979000000.0,-14537000000.0
annualDilutedAverageShares,,,,
