,2021,2020,2019,2018
intangibleAssets,1081465000.0,1049660000.0,916768000.0,898807000.0
capitalSurplus,849424000.0,794909000.0,716049000.0,615180000.0
totalLiab,5598550000.0,5212269000.0,4272542000.0,3688100000.0
totalStockholderEquity,4196893000.0,3754223000.0,3350279000.0,3000568000.0
deferredLongTermLiab,58200000.0,42200000.0,26900000.0,13200000.0
otherCurrentLiab,696802000.0,628936000.0,609528000.0,574344000.0
totalAssets,9795443000.0,8966492000.0,7622821000.0,6688668000.0
commonStock,30099000.0,29969000.0,29711000.0,29338000.0
otherCurrentAssets,758868000.0,602187000.0,572943000.0,467351000.0
retainedEarnings,4000681000.0,3520683000.0,3140762000.0,2833622000.0
otherLiab,770771000.0,659076000.0,558983000.0,448124000.0
goodWill,4736828000.0,4395918000.0,3746094000.0,3432786000.0
treasuryStock,-683311000.0,-591338000.0,-536243000.0,-477572000.0
otherAssets,206828000.0,149581000.0,104864000.0,71975000.0
cash,887009000.0,817398000.0,542174000.0,438961000.0
totalCurrentLiabilities,2667366000.0,2354352000.0,2045361000.0,1782986000.0
shortLongTermDebt,42500000.0,70000000.0,55000000.0,50000000.0
otherStockholderEquity,-9409000.0,,,
propertyPlantEquipment,409068000.0,388113000.0,332915000.0,100395000.0
totalCurrentAssets,3330284000.0,2958249000.0,2494802000.0,2167311000.0
longTermInvestments,30970000.0,24971000.0,27378000.0,17394000.0
netTangibleAssets,-1621400000.0,-1691355000.0,-1312583000.0,-1331025000.0
shortTermInvestments,12891000.0,18332000.0,12325000.0,12868000.0
netReceivables,1279294000.0,1142717000.0,1001339000.0,910211000.0
longTermDebt,1980437000.0,2025906000.0,1500343000.0,1456990000.0
accountsPayable,1590932000.0,1389026000.0,1114277000.0,944904000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,762823000.0,624099000.0,525929000.0,462462000.0
minorityInterest,,,,
netIncome,587104000.0,480483000.0,398514000.0,344255000.0
sellingGeneralAdministrative,,,,
grossProfit,1413388000.0,1174187000.0,1078226000.0,940943000.0
ebit,857545000.0,673415000.0,572422000.0,499447000.0
operatingIncome,857545000.0,673415000.0,572422000.0,499447000.0
otherOperatingExpenses,402941000.0,365973000.0,377089000.0,332118000.0
interestExpense,-64981000.0,-58973000.0,-63660000.0,-40580000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,175719000.0,143616000.0,127415000.0,118207000.0
totalRevenue,3050299000.0,2610564000.0,2386391000.0,2009857000.0
totalOperatingExpenses,2192754000.0,1937149000.0,1813969000.0,1510410000.0
costOfRevenue,1636911000.0,1436377000.0,1308165000.0,1068914000.0
totalOtherIncomeExpenseNet,-94722000.0,-49316000.0,-46493000.0,-36985000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,587104000.0,480483000.0,398514000.0,344255000.0
netIncomeApplicableToCommonShares,587104000.0,480483000.0,398514000.0,344255000.0
investments,-1590000.0,-3143000.0,-9026000.0,8639000.0
changeToLiabilities,194002000.0,278123000.0,194559000.0,179952000.0
totalCashflowsFromInvestingActivities,-396680000.0,-759070000.0,-413585000.0,-951771000.0
netBorrowings,-73125000.0,545000000.0,50000000.0,530000000.0
totalCashFromFinancingActivities,-343879000.0,346363000.0,-79216000.0,337750000.0
changeToOperatingActivities,-9486000.0,-119665000.0,-13880000.0,-423491000.0
issuanceOfStock,34026000.0,30104000.0,24999000.0,19432000.0
changeInCash,198341000.0,308940000.0,185379000.0,-46492000.0
repurchaseOfStock,-132347000.0,-96416000.0,-69604000.0,-112155000.0
effectOfExchangeRate,-3569000.0,-3569000.0,-3569000.0,-3569000.0
totalCashFromOperatingActivities,942469000.0,721647000.0,678180000.0,567529000.0
depreciation,152902000.0,134799000.0,128715000.0,109378000.0
dividendsPaid,-107229000.0,-100592000.0,-91344000.0,-84690000.0
changeToAccountReceivables,-92480000.0,-120331000.0,-79887000.0,318794000.0
otherCashflowsFromFinancingActivities,-65204000.0,-31733000.0,6733000.0,-14837000.0
changeToNetincome,107588000.0,65919000.0,48105000.0,37014000.0
capitalExpenditures,-45045000.0,-70700000.0,-73108000.0,-41520000.0
annualDilutedAverageShares,,,,
