,2021,2020,2019,2018
intangibleAssets,6235000000.0,6135000000.0,8218000000.0,6372000000.0
capitalSurplus,19986000000.0,19732000000.0,17561000000.0,17346000000.0
totalLiab,15607000000.0,15451000000.0,16688000000.0,12273000000.0
totalStockholderEquity,16622000000.0,15326000000.0,13877000000.0,8726000000.0
otherCurrentLiab,1265000000.0,1419000000.0,1258000000.0,1218000000.0
totalAssets,32229000000.0,30777000000.0,30565000000.0,20999000000.0
commonStock,17000000.0,17000000.0,16000000.0,16000000.0
otherCurrentAssets,1004000000.0,2078000000.0,1075000000.0,1045000000.0
retainedEarnings,-1392000000.0,-2378000000.0,-2253000000.0,-6953000000.0
otherLiab,2140000000.0,2239000000.0,2954000000.0,2210000000.0
goodWill,11988000000.0,9951000000.0,10176000000.0,7911000000.0
treasuryStock,-1989000000.0,-2045000000.0,-1447000000.0,-1683000000.0
otherAssets,4590000000.0,4537000000.0,4599000000.0,508000000.0
cash,1925000000.0,1734000000.0,217000000.0,146000000.0
totalCurrentLiabilities,4274000000.0,3681000000.0,4866000000.0,5260000000.0
deferredLongTermAssetCharges,4142000000.0,4210000000.0,4196000000.0,87000000.0
shortLongTermDebt,261000000.0,13000000.0,716000000.0,1297000000.0
otherStockholderEquity,262000000.0,206000000.0,270000000.0,34000000.0
propertyPlantEquipment,2687000000.0,2542000000.0,2415000000.0,1782000000.0
totalCurrentAssets,6317000000.0,6694000000.0,4699000000.0,4002000000.0
longTermInvestments,412000000.0,918000000.0,458000000.0,424000000.0
netTangibleAssets,-1601000000.0,-760000000.0,-4517000000.0,-5557000000.0
netReceivables,1778000000.0,1531000000.0,1828000000.0,1645000000.0
longTermDebt,8798000000.0,9123000000.0,8586000000.0,4797000000.0
inventory,1610000000.0,1351000000.0,1579000000.0,1166000000.0
accountsPayable,794000000.0,513000000.0,542000000.0,349000000.0
researchDevelopment,1204000000.0,1139000000.0,1174000000.0,1113000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1077000000.0,-80000000.0,687000000.0,1422000000.0
minorityInterest,,,,
netIncome,1041000000.0,-82000000.0,4700000000.0,1671000000.0
sellingGeneralAdministrative,4287000000.0,3736000000.0,3928000000.0,3557000000.0
grossProfit,8241000000.0,6793000000.0,7632000000.0,6993000000.0
ebit,2009000000.0,1129000000.0,1831000000.0,1724000000.0
operatingIncome,2009000000.0,1129000000.0,1831000000.0,1724000000.0
otherOperatingExpenses,,,,
interestExpense,-341000000.0,-361000000.0,-473000000.0,-241000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,36000000.0,2000000.0,-4013000000.0,-249000000.0
totalRevenue,11888000000.0,9913000000.0,10735000000.0,9823000000.0
totalOperatingExpenses,9879000000.0,8784000000.0,8904000000.0,8099000000.0
costOfRevenue,3647000000.0,3120000000.0,3103000000.0,2830000000.0
totalOtherIncomeExpenseNet,-932000000.0,-1209000000.0,-1144000000.0,-302000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1041000000.0,-82000000.0,4700000000.0,1671000000.0
netIncomeApplicableToCommonShares,986000000.0,-115000000.0,4700000000.0,1671000000.0
investments,279000000.0,-146000000.0,-149000000.0,-172000000.0
changeToLiabilities,408000000.0,-28000000.0,79000000.0,-640000000.0
totalCashflowsFromInvestingActivities,-1597000000.0,-411000000.0,-5041000000.0,-1921000000.0
totalCashFromFinancingActivities,-95000000.0,293000000.0,2973000000.0,1432000000.0
changeToOperatingActivities,-134000000.0,-265000000.0,45000000.0,-1336000000.0
issuanceOfStock,110000000.0,1086000000.0,123000000.0,101000000.0
changeInCash,173000000.0,1388000000.0,-222000000.0,-188000000.0
effectOfExchangeRate,-6000000.0,-2000000.0,10000000.0,-8000000.0
totalCashFromOperatingActivities,1870000000.0,1508000000.0,1836000000.0,310000000.0
depreciation,1093000000.0,1123000000.0,1011000000.0,894000000.0
otherCashflowsFromInvestingActivities,14000000.0,14000000.0,-198000000.0,1000000.0
dividendsPaid,-55000000.0,-28000000.0,-28000000.0,-28000000.0
changeToInventory,-346000000.0,-65000000.0,-290000000.0,-83000000.0
changeToAccountReceivables,-279000000.0,335000000.0,-130000000.0,-110000000.0
otherCashflowsFromFinancingActivities,-150000000.0,-206000000.0,56000000.0,-74000000.0
changeToNetincome,87000000.0,490000000.0,-3579000000.0,-86000000.0
capitalExpenditures,-554000000.0,-376000000.0,-461000000.0,-316000000.0
netBorrowings,,-999000000.0,2794000000.0,1405000000.0
repurchaseOfStock,,-535000000.0,-535000000.0,-535000000.0
annualDilutedAverageShares,1433800000.0,1416700000.0,1410600000.0,1401400000.0
