,2021,2020,2019,2018
intangibleAssets,1091000000.0,1096000000.0,402000000.0,439000000.0
capitalSurplus,2637000000.0,2614000000.0,1145000000.0,1146000000.0
totalLiab,9313000000.0,9305000000.0,4858000000.0,5750000000.0
totalStockholderEquity,6948000000.0,6428000000.0,4706000000.0,4226000000.0
minorityInterest,314000000.0,296000000.0,138000000.0,119000000.0
otherCurrentLiab,851000000.0,882000000.0,340000000.0,363000000.0
totalAssets,16575000000.0,16029000000.0,9702000000.0,10095000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,216000000.0,199000000.0,160000000.0,173000000.0
retainedEarnings,6671000000.0,6296000000.0,5942000000.0,5336000000.0
otherLiab,1102000000.0,1585000000.0,788000000.0,1410000000.0
goodWill,3279000000.0,2627000000.0,1842000000.0,1853000000.0
treasuryStock,-2363000000.0,-2485000000.0,-2384000000.0,-2259000000.0
otherAssets,600000000.0,568000000.0,296000000.0,842000000.0
cash,1841000000.0,1650000000.0,832000000.0,739000000.0
totalCurrentLiabilities,3798000000.0,3810000000.0,2329000000.0,2399000000.0
deferredLongTermAssetCharges,254000000.0,291000000.0,79000000.0,198000000.0
shortLongTermDebt,2000000.0,2000000.0,252000000.0,140000000.0
otherStockholderEquity,-551000000.0,-651000000.0,-727000000.0,-674000000.0
propertyPlantEquipment,4580000000.0,4802000000.0,3010000000.0,2904000000.0
totalCurrentAssets,6597000000.0,6167000000.0,3836000000.0,3805000000.0
longTermInvestments,428000000.0,769000000.0,316000000.0,252000000.0
netTangibleAssets,2578000000.0,2705000000.0,2462000000.0,1934000000.0
netReceivables,2915000000.0,2935000000.0,1931000000.0,2028000000.0
longTermDebt,4250000000.0,3726000000.0,1674000000.0,1941000000.0
inventory,1534000000.0,1286000000.0,807000000.0,781000000.0
accountsPayable,2276000000.0,2352000000.0,1325000000.0,1485000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,789000000.0,964000000.0,1265000000.0,1196000000.0
netIncome,537000000.0,500000000.0,746000000.0,931000000.0
sellingGeneralAdministrative,1415000000.0,944000000.0,900000000.0,936000000.0
grossProfit,2855000000.0,1910000000.0,2101000000.0,2230000000.0
ebit,1449000000.0,970000000.0,1203000000.0,1298000000.0
operatingIncome,1449000000.0,970000000.0,1203000000.0,1298000000.0
otherOperatingExpenses,-9000000.0,-4000000.0,-2000000.0,-4000000.0
interestExpense,-85000000.0,-73000000.0,-55000000.0,-59000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,150000000.0,397000000.0,468000000.0,211000000.0
totalRevenue,14838000000.0,10165000000.0,10168000000.0,10530000000.0
totalOperatingExpenses,13389000000.0,9195000000.0,8965000000.0,9232000000.0
costOfRevenue,11983000000.0,8255000000.0,8067000000.0,8300000000.0
totalOtherIncomeExpenseNet,-660000000.0,-6000000.0,62000000.0,-102000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,639000000.0,567000000.0,797000000.0,985000000.0
netIncomeApplicableToCommonShares,537000000.0,500000000.0,746000000.0,931000000.0
investments,-20000000.0,-2000000.0,-53000000.0,-6000000.0
changeToLiabilities,-134000000.0,186000000.0,-123000000.0,-76000000.0
totalCashflowsFromInvestingActivities,-1395000000.0,-866000000.0,-489000000.0,-514000000.0
netBorrowings,579000000.0,855000000.0,-141000000.0,-41000000.0
totalCashFromFinancingActivities,286000000.0,437000000.0,-420000000.0,-383000000.0
changeToOperatingActivities,-16000000.0,99000000.0,-1000000.0,-20000000.0
changeInCash,194000000.0,818000000.0,93000000.0,194000000.0
effectOfExchangeRate,-3000000.0,63000000.0,-6000000.0,-35000000.0
totalCashFromOperatingActivities,1306000000.0,1184000000.0,1008000000.0,1126000000.0
depreciation,772000000.0,530000000.0,439000000.0,431000000.0
otherCashflowsFromInvestingActivities,16000000.0,30000000.0,22000000.0,2000000.0
dividendsPaid,-162000000.0,-146000000.0,-140000000.0,-142000000.0
changeToInventory,-268000000.0,-28000000.0,-36000000.0,-53000000.0
changeToAccountReceivables,-59000000.0,27000000.0,19000000.0,-43000000.0
otherCashflowsFromFinancingActivities,-131000000.0,-56000000.0,-39000000.0,-50000000.0
changeToNetincome,466000000.0,-165000000.0,-28000000.0,41000000.0
capitalExpenditures,-668000000.0,-461000000.0,-481000000.0,-546000000.0
repurchaseOfStock,,-216000000.0,-100000000.0,-150000000.0
annualDilutedAverageShares,239776892.0,238930703.0,206800000.0,209500000.0
