,2021,2020,2019,2018
intangibleAssets,4495000000.0,4747000000.0,4822000000.0,5220000000.0
capitalSurplus,108003000000.0,107846000000.0,107840000000.0,107922000000.0
totalLiab,2088741000000.0,2059890000000.0,1757212000000.0,1720309000000.0
totalStockholderEquity,182977000000.0,179962000000.0,175262000000.0,177760000000.0
minorityInterest,700000000.0,758000000.0,704000000.0,854000000.0
otherCurrentLiab,115146000000.0,100070000000.0,72466000000.0,92369000000.0
totalAssets,2291413000000.0,2260090000000.0,1951158000000.0,1917383000000.0
commonStock,31000000.0,31000000.0,31000000.0,31000000.0
otherCurrentAssets,38344000000.0,27377000000.0,38751000000.0,39508000000.0
retainedEarnings,184948000000.0,168272000000.0,165369000000.0,151347000000.0
otherLiab,62671000000.0,56883000000.0,54679000000.0,56150000000.0
goodWill,21299000000.0,22162000000.0,22126000000.0,22046000000.0
treasuryStock,-110005000000.0,-96187000000.0,-97978000000.0,-81540000000.0
otherAssets,763042000000.0,758767000000.0,791248000000.0,781055000000.0
cash,234911000000.0,282238000000.0,155168000000.0,148597000000.0
totalCurrentLiabilities,1802336000000.0,1728221000000.0,1450473000000.0,1432160000000.0
deferredLongTermAssetCharges,29812000000.0,30988000000.0,28973000000.0,27685000000.0
shortLongTermDebt,32993000000.0,,,
otherStockholderEquity,-38765000000.0,-32058000000.0,-36318000000.0,-37170000000.0
propertyPlantEquipment,2900000000.0,2800000000.0,3100000000.0,
totalCurrentAssets,986855000000.0,1024255000000.0,761299000000.0,750455000000.0
longTermInvestments,512822000000.0,447359000000.0,368563000000.0,358607000000.0
netTangibleAssets,157587000000.0,153389000000.0,148809000000.0,151078000000.0
shortTermInvestments,327288000000.0,294712000000.0,251322000000.0,270684000000.0
netReceivables,54340000000.0,44806000000.0,39857000000.0,35450000000.0
longTermDebt,221381000000.0,271686000000.0,248760000000.0,231999000000.0
inventory,27000000.0,43000000.0,61000000.0,99000000.0
accountsPayable,1317230000000.0,1280671000000.0,1070590000000.0,1013170000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,27469000000.0,13632000000.0,23901000000.0,23445000000.0
netIncome,21952000000.0,11047000000.0,19401000000.0,18045000000.0
sellingGeneralAdministrative,36766000000.0,33147000000.0,32354000000.0,32216000000.0
grossProfit,74990000000.0,59572000000.0,66849000000.0,65500000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,27469000000.0,13632000000.0,23901000000.0,23445000000.0
otherOperatingExpenses,10755000000.0,12793000000.0,10594000000.0,9839000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5451000000.0,2525000000.0,4430000000.0,5357000000.0
totalRevenue,74990000000.0,59572000000.0,66849000000.0,65500000000.0
totalOperatingExpenses,47521000000.0,45940000000.0,42948000000.0,42055000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,0.0,0.0,0.0,0.0
discontinuedOperations,7000000.0,-20000000.0,-4000000.0,-8000000.0
netIncomeFromContinuingOps,22018000000.0,11107000000.0,19471000000.0,18088000000.0
netIncomeApplicableToCommonShares,20758000000.0,9879000000.0,18171000000.0,16671000000.0
investments,-122906000000.0,-107776000000.0,1095000000.0,-45598000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-124905000000.0,-95312000000.0,-23374000000.0,-73118000000.0
netBorrowings,-14073000000.0,30707000000.0,9379000000.0,11908000000.0
totalCashFromFinancingActivities,17272000000.0,233595000000.0,42933000000.0,44528000000.0
changeToOperatingActivities,-5482000000.0,49928000000.0,-22281000000.0,11734000000.0
changeInCash,-47582000000.0,115696000000.0,5814000000.0,7589000000.0
repurchaseOfStock,-7938000000.0,-3336000000.0,-17935000000.0,-14915000000.0
effectOfExchangeRate,-1198000000.0,-1966000000.0,-908000000.0,-773000000.0
totalCashFromOperatingActivities,61249000000.0,-20621000000.0,-12837000000.0,36952000000.0
depreciation,3964000000.0,3937000000.0,3905000000.0,3754000000.0
otherCashflowsFromInvestingActivities,185000000.0,116000000.0,196000000.0,181000000.0
dividendsPaid,-5198000000.0,-5352000000.0,-5447000000.0,-5020000000.0
otherCashflowsFromFinancingActivities,44966000000.0,210081000000.0,57420000000.0,53348000000.0
changeToNetincome,-2244000000.0,13464000000.0,6262000000.0,6888000000.0
capitalExpenditures,-4119000000.0,-3446000000.0,-5336000000.0,-3774000000.0
annualDilutedAverageShares,2049400000.0,2099000000.0,2265300000.0,2494800000.0
